Hund;собака;Hunde;тварини
Katze;кіт;Katzen;тварини
Vogel;птах;Vögel;тварини
Fisch;риба;Fische;тварини
Pferd;кінь;Pferde;тварини
Kuh;корова;Kühe;тварини
Schwein;свиня;Schweine;тварини
Huhn;курка;Hühner;тварини
Ente;качка;Enten;тварини
Gans;гуска;Gänse;тварини
Schaf;вівця;Schafe;тварини
Ziege;коза;Ziegen;тварини
Löwe;лев;Löwen;тварини
Tiger;тигр;Tiger;тварини
Bär;ведмідь;Bären;тварини
Elefant;слон;Elefanten;тварини
Giraffe;жирафа;Giraffen;тварини
Affe;мавпа;Affen;тварини
Känguru;кенгуру;Kängurus;тварини
Panda;панда;Pandas;тварини
Wolf;вовк;Wölfe;тварини
Fuchs;лисиця;Füchse;тварини
Hase;заєць;Hasen;тварини
Reh;олень;Rehe;тварини
Eichhörnchen;білка;Eichhörnchen;тварини
Igel;їжак;Igel;тварини
Frosch;жаба;Frösche;тварини
Schlange;змія;Schlangen;тварини
Krokodil;крокодил;Krokodile;тварини
Hai;акула;Haie;тварини
Wal;кит;Wale;тварини
Delfin;дельфін;Delfine;тварини
Schildkröte;черепаха;Schildkröten;тварини
Eule;сова;Eulen;тварини
Adler;орел;Adler;тварини
Papagei;папуга;Papageien;тварини
Pinguin;пінгвін;Pinguine;тварини
Flamingo;фламінго;Flamingos;тварини
Kamel;верблюд;Kamele;тварини
Nashorn;носоріг;Nashörner;тварини
Hirsch;олень;Hirsche;тварини
Biber;бобер;Biber;тварини
Maus;миша;Mäuse;тварини
Ratte;пацюк;Ratten;тварини
Hamster;хом'як;Hamster;тварини
Meerschweinchen;морська свинка;Meerschweinchen;тварини
Chamäleon;хамелеон;Chamäleons;тварини
Krabbe;краб;Krabben;тварини
Qualle;медуза;Quallen;тварини
Seestern;морська зірка;Seesterne;тварини
Tintenfisch;восьминіг;Tintenfische;тварини
