Geschäft;бізнес;;business
Unternehmen;підприємство;;business
Firma;фірма;;business
Gesellschaft;товариство;;business
Aktiengesellschaft;акціонерне товариство;;business
GmbH;ТзОВ;;business
Gewinn;прибуток;;business
Verlust;збиток;;business
Umsatz;оборот;;business
Kosten;витрати;;business
Investition;інвестиція;;business
Kapital;капітал;;business
Aktie;акція;;business
Börse;біржа;;business
Markt;ринок;;business
Kunde;клієнт;;business
Kundin;клієнтка;;business
Vertrag;договір;;business
Verhandlung;переговори;;business
Angebot;пропозиція;;business
Nachfrage;попит;;business
Preis;ціна;;business
Rabatt;знижка;;business
Lieferant;постачальник;;business
Lieferung;поставка;;business
Rechnung;рахунок;;business
Zahlung;оплата;;business
Mitarbeiter;співробітник;;business
Mitarbeiterin;співробітниця;;business
Chef;керівник;;business
Chefin;керівниця;;business
Manager;менеджер;;business
Abteilung;відділ;;business
Büro;офіс;;business
Projekt;проєкт;;business
Ziel;ціль;;business
Strategie;стратегія;;business
Marketing;маркетинг;;business
Werbung;реклама;;business
Verkauf;продаж;;business
Produkt;продукт;;business
Dienstleistung;послуга;;business
Qualität;якість;;business
Innovation;інновація;;business
Konkurrenz;конкуренція;;business
Wettbewerb;змагання;;business
Risiko;ризик;;business
Steuer;податок;;business
Bilanz;баланс;;business
Cashflow;грошовий потік;;business
Logistik;логістика;;business
Export;експорт;;business
Import;імпорт;;business
Partner;партнер;;business
Netzwerk;мережа;;business
Meeting;зустріч;;business
Präsentation;презентація;;business
