Кофта;Pullover;;clothing
Штани;Hose;ж.р.;clothing
Сорочка;Hemd;ж.р.;clothing
Плаття;Kleid;с.р.;clothing
Пальто;Mantel;с.р.;clothing
Шапка;Mütze;ж.р.;clothing
Шарф;Schal;ч.р.;clothing
Рукавиці;Handschuhe;ж.р. (мн.);clothing
Черевики;Schuhe;ч.р. (мн.);clothing
Чоботи;Stiefel;ч.р. (мн.);clothing
Светр;Strickjacke;ч.р.;clothing
Куртка;Jacke;ж.р.;clothing
Спідниця;Rock;ж.р.;clothing
Блуза;Bluse;ж.р.;clothing
Футболка;T-Shirt;ж.р.;clothing
Джинси;Jeans;мн.;clothing
Шорти;Shorts;мн.;clothing
Кепка;Basecap;ж.р.;clothing
Пояс;Gürtel;ч.р.;clothing
Краватка;Krawatte;ж.р.;clothing
Бюстгальтер;BH;ч.р.;clothing
Труси;Unterhose;мн.;clothing
Шкарпетки;Socken;ж.р. (мн.);clothing
Халат;Bademantel;ч.р.;clothing
Піжама;Schlafanzug;ж.р.;clothing
Сукня;Kleid;ж.р.;clothing
Жакет;Jackett;ч.р.;clothing
Жилет;Weste;ч.р.;clothing
Шаровари;Pluderhose;мн.;clothing
Берет;Baskenmütze;ч.р.;clothing
Панама;Panamahut;ж.р.;clothing
Бейсболка;Baseballcap;ж.р.;clothing
Комбінезон;Overall;ч.р.;clothing
Сандалі;Sandalen;мн.;clothing
Кросівки;Turnschuhe;мн.;clothing
Туфлі;Schuhe;мн.;clothing
Капелюх;Hut;ч.р.;clothing
Плащ;Regenmantel;ч.р.;clothing
Взуття;Schuhe;с.р. (збірн.);clothing
Білизна;Unterwäsche;ж.р.;clothing
Колготки;Strumpfhose;мн.;clothing
Шалик;Tuch;ч.р.;clothing
Ремінь;Gürtel;ч.р.;clothing
Піджак;Sakko;ч.р.;clothing
Сорочка (жіноча);Bluse;ж.р.;clothing
Брюки;Hose;мн.;clothing
Светр;Pullover;ч.р.;clothing
Фартух;Schürze;ч.р.;clothing
Шльопанці;Pantoffeln;мн.;clothing
Бандана;Bandana;ж.р.;clothing
Кардиган;Cardigan;ч.р.;clothing
В’язана шапка;Strickmütze;ж.р.;clothing
