die Mathematik;математика;;education;Mathematik;математика;noun;
das Deutsch;німецька мова;;education;Deutsch;німецька;noun;
das Englisch;англійська мова;;education;Englisch;англійська;noun;
das Französisch;французька мова;;education;Französisch;французька;noun;
das Spanisch;іспанська мова;;education;Spanisch;іспанська;noun;
das Latein;латинська мова;;education;Latein;латинська;noun;
die Biologie;біологія;;education;Biologie;біологія;noun;
die Chemie;хімія;;education;Chemie;хімія;noun;
die Physik;фізика;;education;Physik;фізика;noun;
die Geschichte;історія;;education;Geschichte;історія;noun;
die Erdkunde;географія;;education;Erdkunde;географія;noun;
die Sozialkunde;суспільствознавство;;education;Sozialkunde;суспільствознавство;noun;
die Politik;політика;;education;Politik;політика;noun;
die Wirtschaft;економіка;;education;Wirtschaft;економіка;noun;
die Religion;релігія;;education;Religion;релігія;noun;
die Ethik;етика;;education;Ethik;етика;noun;
die Philosophie;філософія;;education;Philosophie;філософія;noun;
die Informatik;інформатика;;education;Informatik;інформатика;noun;
die Technik;техніка;;education;Technik;техніка;noun;
das Werken;трудове навчання;;education;Werken;праця;noun;
die Hauswirtschaft;домоводство;;education;Hauswirtschaft;домоводство;noun;
das Textile Gestalten;текстильне оформлення;;education;Textil + Gestalten;текстиль + оформлення;noun;
das Darstellende Spiel;театральне мистецтво;;education;darstellend + Spiel;виконавський + гра;noun;
die Psychologie;психологія;;education;Psychologie;психологія;noun;
die Astronomie;астрономія;;education;Astronomie;астрономія;noun;
die Geologie;геологія;;education;Geologie;геологія;noun;
die Naturwissenschaften;природничі науки;die Naturwissenschaften;education;Natur + Wissenschaft;природа + наука;noun;
die Gesellschaftswissenschaften;суспільні науки;die Gesellschaftswissenschaften;education;Gesellschaft + Wissenschaft;суспільство + наука;noun;
die Medienkunde;медіазнавство;;education;Medien + Kunde;медіа + знання;noun;
die Rechtskunde;правознавство;;education;Recht + Kunde;право + знання;noun;
die Umweltkunde;природознавство;;education;Umwelt + Kunde;довкілля + знання;noun;
die Sachkunde;природознавство;;education;Sach + Kunde;предмет + знання;noun;
die Heimatkunde;краєзнавство;;education;Heimat + Kunde;батьківщина + знання;noun;
die Literatur;література;;education;Literatur;література;noun;
der Chor;хор;;education;Chor;хор;noun;
die Robotik;робототехніка;;education;Robotik;робототехніка;noun;
das Programmieren;програмування;;education;Programmieren;програмування;noun;
das Webdesign;веб-дизайн;;education;Webdesign;веб-дизайн;noun;
die Gesundheitslehre;здоров'язнавство;;education;Gesundheitslehre;здоров'язнавство;noun;
die Kunstgeschichte;історія мистецтва;;education;Kunst + Geschichte;мистецтво + історія;noun;
die Universität;університет;die Universitäten;education;Universität;університет;noun;
der Student;студент;die Studenten;education;Student;студент;noun;
die Studentin;студентка;die Studentinnen;education;Studentin;студентка;noun;
der Professor;професор;die Professoren;education;Professor;професор;noun;
die Professorin;професорка;die Professorinnen;education;Professorin;професорка;noun;
der Dozent;викладач;die Dozenten;education;Dozent;викладач;noun;
die Dozentin;викладачка;die Dozentinnen;education;Dozentin;викладачка;noun;
das Seminar;семінар;die Seminare;education;Seminar;семінар;noun;
die Vorlesung;лекція;die Vorlesungen;education;Vorlesung;лекція;noun;
die Klausur;письмовий іспит;die Klausuren;education;Klausur;письмовий іспит;noun;
die Prüfung;іспит;die Prüfungen;education;Prüfung;іспит;noun;
das Examen;екзамен;die Examen;education;Examen;екзамен;noun;
der Abschluss;диплом;die Abschlüsse;education;Abschluss;диплом;noun;
das Diplom;диплом;die Diplome;education;Diplom;диплом;noun;
der Bachelor;бакалавр;die Bachelor;education;Bachelor;бакалавр;noun;
der Master;магістр;die Master;education;Master;магістр;noun;
das Studium;навчання;die Studien;education;Studium;навчання;noun;
die Einschreibung;зарахування;die Einschreibungen;education;Einschreibung;зарахування;noun;
der Studiengang;навчальна програма;die Studiengänge;education;Studium + Gang;навчальна програма;noun;
das Fach;предмет;die Fächer;education;Fach;предмет;noun;
der Stundenplan;розклад занять;die Stundenpläne;education;Stunde + Plan;розклад занять;noun;
die Mensa;їдальня;die Mensen;education;Mensa;їдальня;noun;
der Campus;кампус;die Campus;education;Campus;кампус;noun;
das Studentenwohnheim;студентський гуртожиток;die Studentenwohnheime;education;Student + Wohnheim;студентський гуртожиток;noun;
der Hörsaal;лекційна зала;die Hörsäle;education;hören + Saal;лекційна зала;noun;
der Seminarraum;семінарська кімната;die Seminarräume;education;Seminar + Raum;семінарська кімната;noun;
die Hausarbeit;курсова робота;die Hausarbeiten;education;Haus + Arbeit;курсова робота;noun;
die Abschlussarbeit;дипломна робота;die Abschlussarbeiten;education;Abschluss + Arbeit;дипломна робота;noun;
die Bachelorarbeit;бакалаврська робота;die Bachelorarbeiten;education;Bachelor + Arbeit;бакалаврська робота;noun;
die Masterarbeit;магістерська робота;die Masterarbeiten;education;Master + Arbeit;магістерська робота;noun;
die Promotion;докторантура;die Promotionen;education;Promotion;докторантура;noun;
das Stipendium;стипендія;die Stipendien;education;Stipendium;стипендія;noun;
die Fachschaft;студентська рада;die Fachschaften;education;Fach + schaft;студентська рада;noun;
der Kommilitone;однокурсник;die Kommilitonen;education;Kommilitone;однокурсник;noun;
das Semester;семестр;die Semester;education;Semester;семестр;noun;
die Semesterferien;канікули;;education;Semesterferien;канікули;noun;
die Vorlesungszeit;лекційний період;die Vorlesungszeiten;education;Vorlesung + Zeit;лекційний період;noun;
die Prüfungsphase;екзаменаційна сесія;die Prüfungsphasen;education;Prüfung + Phase;екзаменаційна сесія;noun;
der Schein;сертифікат;die Scheine;education;Schein;сертифікат;noun;
die Immatrikulation;зарахування;die Immatrikulationen;education;Immatrikulation;зарахування;noun;
schwierig;важкий;;education;schwierig;важкий;adj;
einfach;легкий;;education;einfach;легкий;adj;
die Zensur;бал;die Zensuren;education;Zensur;бал;noun;
die Abschlussprüfung;випускний іспит;die Abschlussprüfungen;education;Abschluss + Prüfung;випускний іспит;noun;
die Wiederholungsprüfung;перескладання;die Wiederholungsprüfungen;education;Wiederholung + Prüfung;перескладання;noun;
der Test;тест;die Tests;education;Test;тест;noun;
die Klassenarbeit;контрольна робота;die Klassenarbeiten;education;Klasse + Arbeit;контрольна робота;noun;
die Bewertung;оцінювання;die Bewertungen;education;Bewertung;оцінювання;noun;
der Notendurchschnitt;середній бал;die Notendurchschnitte;education;Note + Durchschnitt;середній бал;noun;
die Bestehensgrenze;прохідний бал;die Bestehensgrenzen;education;Bestehen + Grenze;прохідний бал;noun;
die Punktzahl;кількість балів;die Punktzahlen;education;Punkt + Zahl;кількість балів;noun;
das Ergebnis;результат;die Ergebnisse;education;Ergebnis;результат;noun;
der Fehler;помилка;die Fehler;education;Fehler;помилка;noun;
die Korrektur;виправлення;die Korrekturen;education;Korrektur;виправлення;noun;
der Prüfungsraum;аудиторія для іспиту;die Prüfungsräume;education;Prüfung + Raum;аудиторія для іспиту;noun;
der Spickzettel;шпаргалка;die Spickzettel;education;Spick + Zettel;шпаргалка;noun;
der Prüfling;екзаменований;die Prüflinge;education;Prüfling;екзаменований;noun;
der Prüfer;екзаменатор;die Prüfer;education;Prüfer;екзаменатор;noun;
die mündliche Prüfung;усний іспит;die mündlichen Prüfungen;education;mündlich + Prüfung;усний іспит;noun;
die schriftliche Prüfung;письмовий іспит;die schriftlichen Prüfungen;education;schriftlich + Prüfung;письмовий іспит;noun;
die Wiederholung;повторення;die Wiederholungen;education;Wiederholung;повторення;noun;
