glücklich;щасливий;;emotions
traurig;сумний;;emotions
wütend;злий;;emotions
ängstlich;наляканий;;emotions
überrascht;здивований;;emotions
geliebt;коханий;;emotions
einsam;самотній;;emotions
stolz;гордий;;emotions
schuldig;винний;;emotions
neidisch;заздрісний;;emotions
verlegen;збентежений;;emotions
hoffnungsvoll;сповнений надії;;emotions
verzweifelt;відчайдушний;;emotions
zufrieden;задоволений;;emotions
enttäuscht;розчарований;;emotions
nervös;нервовий;;emotions
erschrocken;наляканий;;emotions
begeistert;захоплений;;emotions
gleichgültig;байдужий;;emotions
frustriert;розчарований;;emotions
eifersüchtig;ревнивий;;emotions
erleichtert;полегшений;;emotions
verwirrt;збентежений;;emotions
schüchtern;сором'язливий;;emotions
mutig;сміливий;;emotions
ängstlich;боязкий;;emotions
melancholisch;меланхолійний;;emotions
euphorisch;ейфоричний;;emotions
besorgt;схвильований;;emotions
ekstatisch;екстатичний;;emotions
deprimiert;пригнічений;;emotions
hasserfüllt;повний ненависті;;emotions
dankbar;вдячний;;emotions
verliebt;закоханий;;emotions
einsam;одинокий;;emotions
genervt;роздратований;;emotions
gelassen;спокійний;;emotions
optimistisch;оптимістичний;;emotions
pessimistisch;песимістичний;;emotions
schamhaft;сором'язливий;;emotions
selbstbewusst;впевнений у собі;;emotions
unsicher;невпевнений;;emotions
verärgert;розсерджений;;emotions
verzweifelt;зневірений;;emotions
zufrieden;задоволений;;emotions
begeistert;у захваті;;emotions
erschöpft;виснажений;;emotions
freudig;радісний;;emotions
misstrauisch;недовірливий;;emotions
neugierig;цікавий;;emotions
ruhig;спокійний;;emotions
unruhig;неспокійний;;emotions
verwirrt;збентжений;;emotions
