der Müll;сміття;;environment;Müll;сміття;noun;мюль
die Verschmutzung;забруднення;die Verschmutzungen;environment;Verschmutzung;забруднення;noun;фершмуцунг
das Recycling;переробка;;environment;Recycling;переробка;noun;рецайклінг
der Abfall;відходи;die Abfälle;environment;Abfall;відходи;noun;апфаль
die Mülltrennung;сортування сміття;;environment;Müll + Trennung;сортування сміття;noun;мюльтреннунг
die Plastiktüte;пластиковий пакет;die Plastiktüten;environment;Plastik + Tüte;пластиковий пакет;noun;пластіктюте
der Plastikmüll;пластикове сміття;;environment;Plastik + Müll;пластикове сміття;noun;пластікмюль
die Luftverschmutzung;забруднення повітря;;environment;Luft + Verschmutzung;забруднення повітря;noun;луфтфершмуцунг
das Ozonloch;озонова діра;die Ozonlöcher;environment;Ozon + Loch;озонова діра;noun;оцонлох
die Klimaerwärmung;глобальне потепління;;environment;Klima + Erwärmung;глобальне потепління;noun;клімаервермунг
das Kohlendioxid;вуглекислий газ;;environment;Kohlen + Dioxid;вуглекислий газ;noun;колендіоксид
die Emission;викид;die Emissionen;environment;Emission;викид;noun;еміссіон
der Feinstaub;дрібнодисперсний пил;;environment;Fein + Staub;дрібнодисперсний пил;noun;файнштауб
die Mülldeponie;сміттєзвалище;die Mülldeponien;environment;Müll + Deponie;сміттєзвалище;noun;мюльдепоні
die Wiederverwertung;вторинна переробка;;environment;Wieder + Verwertung;вторинна переробка;noun;відерфервертунг
der Biomüll;біовідходи;;environment;Bio + Müll;біовідходи;noun;біомюль
die Wertstofftonne;контейнер для вторсировини;die Wertstofftonnen;environment;Wertstoff + Tonne;контейнер для вторсировини;noun;вертштофтоне
der Altglascontainer;контейнер для скла;die Altglascontainer;environment;Altglas + Container;контейнер для скла;noun;альтгласконтейнер
der Sondermüll;небезпечні відходи;;environment;Sonder + Müll;небезпечні відходи;noun;зондермюль
das Abwasser;стічні води;die Abwässer;environment;Ab + Wasser;стічні води;noun;апвассер
die Kläranlage;очисна споруда;die Kläranlagen;environment;Klär + Anlage;очисна споруда;noun;клеранлаге
der Bioabfall;біовідходи;die Bioabfälle;environment;Bio + Abfall;біовідходи;noun;біоапфаль
die Ressource;ресурс;die Ressourcen;environment;Ressource;ресурс;noun;рессурсе
die Nachhaltigkeit;сталий розвиток;;environment;nachhaltig;сталий;noun;нахгальтіхкайт
der Umweltschutz;охорона довкілля;;environment;Umwelt + Schutz;охорона довкілля;noun;умвельтшуц
die Umweltbelastung;навантаження на довкілля;die Umweltbelastungen;environment;Umwelt + Belastung;навантаження на довкілля;noun;умвельтбеластунг
der Schadstoff;шкідлива речовина;die Schadstoffe;environment;Schade + Stoff;шкідлива речовина;noun;шадштоф
das Abgas;вихлопний газ;die Abgase;environment;Ab + Gas;вихлопний газ;noun;апгас
der Smog;смог;;environment;Smog;смог;noun;смок
die Ölverschmutzung;забруднення нафтою;die Ölverschmutzungen;environment;Öl + Verschmutzung;забруднення нафтою;noun;ельфершмуцунг
die Meeresverschmutzung;забруднення моря;;environment;Meer + Verschmutzung;забруднення моря;noun;меересфершмуцунг
das Mikroplastik;мікропластик;;environment;Mikro + Plastik;мікропластик;noun;мікропластік
die Müllverbrennungsanlage;сміттєспалювальний завод;die Müllverbrennungsanlagen;environment;Müll + Verbrennung + Anlage;сміттєспалювальний завод;noun;мюльфербреннунгсанлаге
der Elektroschrott;електронний брухт;;environment;Elektro + Schrott;електронний брухт;noun;електрошрот
die Batterieentsorgung;утилізація батарейок;;environment;Batterie + Entsorgung;утилізація батарейок;noun;батерієнтзоргунг
der Giftstoff;отруйна речовина;die Giftstoffe;environment;Gift + Stoff;отруйна речовина;noun;гіфтштоф
das Schwermetall;важкий метал;die Schwermetalle;environment;Schwer + Metall;важкий метал;noun;шверметаль
die Lärmbelästigung;шумове забруднення;die Lärmbelästigungen;environment;Lärm + Belästigung;шумове забруднення;noun;лермбелестігунг
der Verkehrslärm;транспортний шум;;environment;Verkehr + Lärm;транспортний шум;noun;феркерслерм
die Abholzung;вирубка лісів;die Abholzungen;environment;abholzen;вирубати;noun;апхольцунг
recyceln;переробляти;;environment;recyceln;переробляти;verb (weak);рецайкельн
verschmutzen;забруднювати;;environment;verschmutzen;забруднювати;verb (weak);фершмуцен
wegwerfen;викидати;;environment;wegwerfen (zu werfen);викидати;verb (separable);векверфен
vermeiden;уникати;;environment;vermeiden;уникати;verb (strong);фермайден
umweltfreundlich;екологічно чистий;;environment;umweltfreundlich;екологічно чистий;adj;умвельтфройндліх
der Hund;собака;die Hunde;environment;Hund;собака;noun;гунд
die Katze;кішка;die Katzen;environment;Katze;кішка;noun;катце
das Pferd;кінь;die Pferde;environment;Pferd;кінь;noun;пферд
der Vogel;птах;die Vögel;environment;Vogel;птах;noun;фогель
das Kaninchen;кролик;die Kaninchen;environment;Kaninchen;кролик;noun;канінхен
der Hamster;хом'як;die Hamster;environment;Hamster;хом'як;noun;гамстер
das Meerschweinchen;морська свинка;die Meerschweinchen;environment;Meer + Schweinchen;море + свинка;noun;меершвайнхен
die Schildkröte;черепаха;die Schildkröten;environment;Schild + Kröte;щит + жаба;noun;шільдкрете
der Papagei;папуга;die Papageien;environment;Papagei;папуга;noun;папагай
die Ratte;щур;die Ratten;environment;Ratte;щур;noun;ратте
der Esel;віслюк;die Esel;environment;Esel;віслюк;noun;езель
das Schwein;свиня;die Schweine;environment;Schwein;свиня;noun;швайн
das Schaf;вівця;die Schafe;environment;Schaf;вівця;noun;шаф
die Ziege;коза;die Ziegen;environment;Ziege;коза;noun;ціге
die Kuh;корова;die Kühe;environment;Kuh;корова;noun;ку
der Stier;бик;die Stiere;environment;Stier;бик;noun;штір
die Ente;качка;die Enten;environment;Ente;качка;noun;енте
die Gans;гуска;die Gänse;environment;Gans;гуска;noun;ганс
der Fuchs;лисиця;die Füchse;environment;Fuchs;лисиця;noun;фукс
der Wolf;вовк;die Wölfe;environment;Wolf;вовк;noun;вольф
der Bär;ведмідь;die Bären;environment;Bär;ведмідь;noun;бер
der Hirsch;олень;die Hirsche;environment;Hirsch;олень;noun;гірш
das Reh;козуля;die Rehe;environment;Reh;козуля;noun;ре
der Hase;заєць;die Hasen;environment;Hase;заєць;noun;газе
das Eichhörnchen;білка;die Eichhörnchen;environment;Eichhörnchen;білка;noun;айхгернхен
der Igel;їжак;die Igel;environment;Igel;їжак;noun;ігель
der Frosch;жаба;die Frösche;environment;Frosch;жаба;noun;фрош
die Biene;бджола;die Bienen;environment;Biene;бджола;noun;біне
der Schmetterling;метелик;die Schmetterlinge;environment;Schmetterling;метелик;noun;шметтерлінг
die Spinne;павук;die Spinnen;environment;Spinne;павук;noun;шпінне
