der Busbahnhof;автовокзал;die Busbahnhöfe;places;Bus + Bahnhof;автовокзал;noun;бусбанхоф
die U-Bahn-Station;станція метро;die U-Bahn-Stationen;places;U-Bahn + Station;станція метро;noun;у-бан-штаціон
die Straßenbahnhaltestelle;трамвайна зупинка;die Straßenbahnhaltestellen;places;Straßenbahn + Haltestelle;трамвайна зупинка;noun;штрасенбанхальтештеле
der Hafen;порт;die Häfen;places;Hafen;порт;noun;хафен
das Krankenhaus;лікарня;die Krankenhäuser;places;Kranken + Haus;лікарня;noun;кранкенхаус
die Polizeiwache;поліцейський відділок;die Polizeiwachen;places;Polizei + Wache;поліцейський відділок;noun;поліцайвахе
das Postamt;поштове відділення;die Postämter;places;Post + Amt;поштове відділення;noun;постамт
die Metzgerei;м'ясна крамниця;die Metzgereien;places;Metzgerei;м'ясна крамниця;noun;мецгерай
das Einkaufszentrum;торговий центр;die Einkaufszentren;places;Einkauf + Zentrum;торговий центр;noun;айнкауфсцентрум
das Kaufhaus;універмаг;die Kaufhäuser;places;Kauf + Haus;універмаг;noun;кауфхаус
die Boutique;бутік;die Boutiquen;places;Boutique;бутік;noun;бутік
der Flohmarkt;блошиний ринок;die Flohmärkte;places;Floh + Markt;блошиний ринок;noun;фломаркт
das Bistro;бістро;die Bistros;places;Bistro;бістро;noun;бістро
die Kneipe;паб;die Kneipen;places;Kneipe;паб;noun;кнайпе
die Bar;бар;die Bars;places;Bar;бар;noun;бар
die Jugendherberge;хостел;die Jugendherbergen;places;Jugend + Herberge;хостел;noun;югендхерберге
der Sportplatz;спортивний майданчик;die Sportplätze;places;Sport + Platz;спортивний майданчик;noun;шпортплац
der Brunnen;фонтан;die Brunnen;places;Brunnen;фонтан;noun;бруннен
die Moschee;мечеть;die Moscheen;places;Moschee;мечеть;noun;моше
die Synagoge;синагога;die Synagogen;places;Synagoge;синагога;noun;зюнагоге
der Friedhof;кладовище;die Friedhöfe;places;Fried + Hof;кладовище;noun;фрідхоф
die Schule;школа;die Schulen;places;Schule;школа;noun;шуле
