die Hose;штани;штани (weiblich);shopping;Hose;штани;noun
das T-Shirt;футболка;футболки (weiblich);shopping;T-Shirt;футболка;noun
der Pullover;светр;светри (männlich);shopping;Pullover;светр;noun
die Jacke;куртка;куртки (weiblich);shopping;Jacke;куртка;noun
das Kleid;сукня;сукні (weiblich);shopping;Kleid;сукня;noun
der Rock;спідниця;спідниці (weiblich);shopping;Rock;спідниця;noun
die Bluse;блуза;блузи (weiblich);shopping;Bluse;блуза;noun
das Hemd;сорочка;сорочки (weiblich);shopping;Hemd;сорочка;noun
der Anzug;костюм;костюми (männlich);shopping;Anzug;костюм;noun
der Schuh;черевик;черевики (männlich);shopping;Schuh;черевик;noun
der Stiefel;чобіт;чоботи (männlich);shopping;Stiefel;чобіт;noun
die Sandale;сандаля;сандалі (weiblich);shopping;Sandale;сандаля;noun
die Socke;шкарпетка;шкарпетки (weiblich);shopping;Socke;шкарпетка;noun
die Strumpfhose;колготки;колготки (weiblich);shopping;Strumpfhose;колготки;noun
die Unterwäsche;білизна;(weiblich);shopping;Unterwäsche;білизна;noun
der BH;бюстгальтер;бюстгальтери (männlich);shopping;BH;бюстгальтер;noun
das Unterhemd;майка;майки (weiblich);shopping;Unterhemd;майка;noun
der Slip;труси;труси (männlich);shopping;Slip;труси;noun
der Badeanzug;купальник;купальники (männlich);shopping;Badeanzug;купальник;noun
die Badehose;плавки;плавки (männlich);shopping;Badehose;плавки;noun
der Schal;шарф;шарфи (männlich);shopping;Schal;шарф;noun
die Mütze;шапка;шапки (weiblich);shopping;Mütze;шапка;noun
der Hut;капелюх;капелюхи (männlich);shopping;Hut;капелюх;noun
der Handschuh;рукавичка;рукавички (weiblich);shopping;Handschuh;рукавичка;noun
der Gürtel;ремінь;ремені (männlich);shopping;Gürtel;ремінь;noun
die Krawatte;краватка;краватки (weiblich);shopping;Krawatte;краватка;noun
die Tasche;сумка;сумки (weiblich);shopping;Tasche;сумка;noun
der Rucksack;рюкзак;рюкзаки (männlich);shopping;Rucksack;рюкзак;noun
die Größe;розмір;розміри (männlich);shopping;Größe;розмір;noun
die Anprobe;примірка;примірки (weiblich);shopping;Anprobe;примірка;noun
die Umkleidekabine;примірочна;примірочні (weiblich);shopping;Umkleidekabine;примірочна;noun
der Rabatt;знижка;знижки (weiblich);shopping;Rabatt;знижка;noun
der Preis;ціна;ціни (weiblich);shopping;Preis;ціна;noun
die Kasse;каса;каси (weiblich);shopping;Kasse;каса;noun
der Einkaufswagen;візок;візки (männlich);shopping;Einkaufswagen;візок;noun
der Kunde;покупець;покупці (männlich);shopping;Kunde;покупець;noun
die Kundin;покупниця;покупниці (weiblich);shopping;Kundin;покупниця;noun
die Quittung;чек;чеки (männlich);shopping;Quittung;чек;noun
das Etikett;етикетка;етикетки (weiblich);shopping;Etikett;етикетка;noun
der Stoff;тканина;тканини (weiblich);shopping;Stoff;тканина;noun
die Baumwolle;бавовна;(weiblich);shopping;Baumwolle;бавовна;noun
die Wolle;вовна;(weiblich);shopping;Wolle;вовна;noun
das Leder;шкіра;(weiblich);shopping;Leder;шкіра;noun
eng;вузький;;shopping;eng;вузький;adj
weit;широкий;;shopping;weit;широкий;adj
lang;довгий;;shopping;lang;довгий;adj
kurz;короткий;;shopping;kurz;короткий;adj
groß;великий;;shopping;groß;великий;adj
klein;малий;;shopping;klein;малий;adj
bequem;зручний;;shopping;bequem;зручний;adj
der Supermarkt;супермаркет;die Supermärkte (männlich);shopping;Supermarkt;супермаркет;noun
die Kasse;каса;die Kassen (weiblich);shopping;Kasse;каса;noun
das Regal;полиця;die Regale (weiblich);shopping;Regal;полиця;noun
die Tüte;пакет;die Tüten (männlich);shopping;Tüte;пакет;noun
der Einkaufswagen;візок для покупок;die Einkaufswagen (männlich);shopping;Einkaufswagen;візок для покупок;noun
das Sonderangebot;спеціальна пропозиція;die Sonderangebote (weiblich);shopping;Sonderangebot;спеціальна пропозиція;noun
die Flasche;пляшка;die Flaschen (weiblich);shopping;Flasche;пляшка;noun
die Dose;консервна банка;die Dosen (weiblich);shopping;Dose;консервна банка;noun
die Packung;упаковка;die Packungen (weiblich);shopping;Packung;упаковка;noun
das Pfand;застава;die Pfänder (жіночий рід);shopping;Pfand;застава;noun
der Kunde;клієнт;die Kunden (männlich);shopping;Kunde;клієнт;noun
die Kundin;клієнтка;die Kundinnen (weiblich);shopping;Kundin;клієнтка;noun
die Schlange;черга;die Schlangen (weiblich);shopping;Schlange;черга;noun
der Kassenzettel;чек;die Kassenzettel (männlich);shopping;Kassenzettel;чек;noun
die Quittung;квитанція;die Quittungen (weiblich);shopping;Quittung;квитанція;noun
der Rabatt;знижка;die Rabatte (weiblich);shopping;Rabatt;знижка;noun
die Ware;товар;die Waren (männlich);shopping;Ware;товар;noun
das Produkt;продукт;die Produkte (männlich);shopping;Produkt;продукт;noun
die Milch;молоко;;shopping;Milch;молоко;noun
das Brot;хліб;die Brote (männlich);shopping;Brot;хліб;noun
der Käse;сир;die Käse (männlich);shopping;Käse;сир;noun
die Wurst;ковбаса;die Würste (weiblich);shopping;Wurst;ковбаса;noun
das Fleisch;м'ясо;;shopping;Fleisch;м'ясо;noun
das Gemüse;овочі;;shopping;Gemüse;овочі;noun
das Obst;фрукти;;shopping;Obst;фрукти;noun
die Tiefkühlkost;заморожені продукти;;shopping;Tiefkühlkost;заморожені продукти;noun
die Süßigkeiten;солодощі;die Süßigkeiten;shopping;Süßigkeit;солодощ;noun
der Joghurt;йогурт;die Joghurts (männlich);shopping;Joghurt;йогурт;noun
die Butter;масло;;shopping;Butter;масло;noun
das Öl;олія;die Öle (weiblich);shopping;Öl;олія;noun
die Nudeln;локшина;die Nudeln (weiblich);shopping;Nudel;локшина;noun
der Reis;рис;;shopping;Reis;рис;noun
das Mehl;борошно;;shopping;Mehl;борошно;noun
der Zucker;цукор;;shopping;Zucker;цукор;noun
das Salz;сіль;;shopping;Salz;сіль;noun
die Tiefkühltruhe;морозильна скриня;die Tiefkühltruhen (weiblich);shopping;Tiefkühltruhe;морозильна скриня;noun
der Kühlschrank;холодильник;die Kühlschränke (männlich);shopping;Kühlschrank;холодильник;noun
die Waage;ваги;die Waagen (weiblich);shopping;Waage;ваги;noun
das Kleingeld;дрібні гроші;;shopping;Kleingeld;дрібні гроші;noun
der Geldbeutel;гаманець;die Geldbeutel (männlich);shopping;Geldbeutel;гаманець;noun
die EC-Karte;банківська картка;die EC-Karten (weiblich);shopping;EC-Karte;банківська картка;noun
der Pfandautomat;автомат для приймання тари;die Pfandautomaten (männlich);shopping;Pfandautomat;автомат для приймання тари;noun
der Scanner;сканер;die Scanner (männlich);shopping;Scanner;сканер;noun
das Etikett;етикетка;die Etiketten (weiblich);shopping;Etikett;етикетка;noun
die Verpackung;упаковка;die Verpackungen (weiblich);shopping;Verpackung;упаковка;noun
der Artikel;товар;die Artikel (männlich);shopping;Artikel;товар;noun
das Mindesthaltbarkeitsdatum;термін придатності;die Mindesthaltbarkeitsdaten (männlich);shopping;Mindesthaltbarkeitsdatum;термін придатності;noun
die Zutatenliste;список інгредієнтів;die Zutatenlisten (männlich);shopping;Zutatenliste;список інгредієнтів;noun
das Preisschild;цінник;die Preisschilder (männlich);shopping;Preisschild;цінник;noun
die Selbstbedienungskasse;каса самообслуговування;die Selbstbedienungskassen (weiblich);shopping;Selbstbedienungskasse;каса самообслуговування;noun
die Leerflasche;порожня пляшка;die Leerflaschen (weiblich);shopping;Leerflasche;порожня пляшка;noun
die Plastiktüte;поліетиленовий пакет;die Plastiktüten (männlich);shopping;Plastiktüte;поліетиленовий пакет;noun
der Stoffbeutel;тканинна сумка;die Stoffbeutel (weiblich);shopping;Stoffbeutel;тканинна сумка;noun
die Frischware;свіжі продукти;;shopping;Frischware;свіжі продукти;noun
die Kühltheke;охолоджувальний прилавок;die Kühltheken (männlich);shopping;Kühltheke;охолоджувальний прилавок;noun
die Backwaren;хлібобулочні вироби;die Backwaren;shopping;Backware;хлібобулочний виріб;noun
das Getränk;напій;die Getränke (männlich);shopping;Getränk;напій;noun
die Tiefkühlpizza;заморожена піца;die Tiefkühlpizzen (weiblich);shopping;Tiefkühlpizza;заморожена піца;noun
der Einkaufskorb;корзина для покупок;die Einkaufskörbe (weiblich);shopping;Einkaufskorb;корзина для покупок;noun
die Zahlung;платіж;платежі (männlich);shopping;Zahlung;платіж;noun
die Barzahlung;готівковий платіж;готівкові платежі (männlich);shopping;Barzahlung;готівковий платіж;noun
die Kreditkarte;кредитна картка;кредитні картки (weiblich);shopping;Kreditkarte;кредитна картка;noun
die Debitkarte;дебетова картка;дебетові картки (weiblich);shopping;Debitkarte;дебетова картка;noun
die EC-Karte;картка EC;картки EC (weiblich);shopping;EC-Karte;картка EC;noun
die Banküberweisung;банківський переказ;банківські перекази (männlich);shopping;Banküberweisung;банківський переказ;noun
der Dauerauftrag;постійне доручення;постійні доручення (sächlich);shopping;Dauerauftrag;постійне доручення;noun
die Lastschrift;дебетове списання;дебетові списання (sächlich);shopping;Lastschrift;дебетове списання;noun
die Rechnung;рахунок;рахунки (männlich);shopping;Rechnung;рахунок;noun
der Kassenbon;касовий чек;касові чеки (männlich);shopping;Kassenbon;касовий чек;noun
