Fußball;футбол;;sports
Basketball;баскетбол;;sports
Tennis;теніс;;sports
Volleyball;волейбол;;sports
Handball;гандбол;;sports
Schwimmen;плавання;;sports
Laufen;біг;;sports
Springen;стрибки;;sports
Werfen;метання;;sports
Ringen;боротьба;;sports
Boxen;бокс;;sports
Judo;дзюдо;;sports
Karate;карате;;sports
Golf;гольф;;sports
Hockey;хокей;;sports
Eishockey;хокей із шайбою;;sports
Radsport;велоспорт;;sports
Leichtathletik;легка атлетика;;sports
Turnen;гімнастика;;sports
Skifahren;лижний спорт;;sports
Snowboarden;сноубординг;;sports
Eislaufen;ковзанярство;;sports
Tauchen;дайвінг;;sports
Segeln;вітрильний спорт;;sports
Rudern;веслування;;sports
Klettern;скелелазіння;;sports
Bogenschießen;стрільба з лука;;sports
Gewichtheben;важка атлетика;;sports
Fechten;фехтування;;sports
Badminton;бадмінтон;;sports
Tischtennis;настільний теніс;;sports
Baseball;бейсбол;;sports
Rugby;регбі;;sports
Triathlon;тріатлон;;sports
Marathon;марафон;;sports
Sprint;спринт;;sports
Hürdenlauf;біг з бар’єрами;;sports
Diskuswerfen;метання диска;;sports
Speerwerfen;метання списа;;sports
Hammerwerfen;метання молота;;sports
Kugelstoßen;штовхання ядра;;sports
Staffel;естафета;;sports
Tor;ворота;;sports
Schiedsrichter;арбітр;;sports
Mannschaft;команда;;sports
Spieler;гравець;;sports
Trainer;тренер;;sports
Stadion;стадіон;;sports
Spielfeld;поле;;sports
Pokal;кубок;;sports
Medaille;медаль;;sports
Sieg;перемога;;sports
Niederlage;поразка;;sports
Unentschieden;нічия;;sports
Training;тренування;;sports
Wettkampf;змагання;;sports
Ausdauer;витривалість;;sports
Kraft;сила;;sports
Geschwindigkeit;швидкість;;sports
