der Zug;потяг;die Züge;transport
die Bahn;залізниця;die Bahnen;transport
das Auto;автомобіль;die Autos;transport
der Bus;автобус;die Busse;transport
die Straßenbahn;трамвай;die Straßenbahnen;transport
die U-Bahn;метро;die U-Bahnen;transport
das Fahrrad;велосипед;die Fahrräder;transport
das Motorrad;мотоцикл;die Motorräder;transport
der Lastwagen;вантажівка;die Lastwagen;transport
der LKW;вантажівка;die LKWs;transport
der PKW;легковий автомобіль;die PKWs;transport
das Taxi;таксі;die Taxis;transport
der Fahrer;водій;die Fahrer;transport
die Fahrerin;водійка;die Fahrerinnen;transport
die Straße;вулиця;die Straßen;transport
die Autobahn;автострада;die Autobahnen;transport
die Brücke;міст;die Brücken;transport
der Tunnel;тунель;die Tunnel;transport
der Bahnhof;вокзал;die Bahnhöfe;transport
das Gleis;колія;die Gleise;transport
die Haltestelle;зупинка;die Haltestellen;transport
der Fahrplan;розклад;die Fahrpläne;transport
die Fahrkarte;квиток;die Fahrkarten;transport
der Schaffner;кондуктор;die Schaffner;transport
die Schaffnerin;кондукторка;die Schaffnerinnen;transport
der Lokführer;машиніст;die Lokführer;transport
die Lokführerin;машиністка;die Lokführerinnen;transport
der Pilot;пілот;die Piloten;transport
die Pilotin;пілотка;die Pilotinnen;transport
das Flugzeug;літак;die Flugzeuge;transport
der Flughafen;аеропорт;die Flughäfen;transport
der Flug;рейс;die Flüge;transport
der Hubschrauber;гелікоптер;die Hubschrauber;transport
das Schiff;корабель;die Schiffe;transport
der Hafen;порт;die Häfen;transport
das Boot;човен;die Boote;transport
die Fähre;пором;die Fähren;transport
der Kapitän;капітан;die Kapitäne;transport
die Kapitänin;капітанка;die Kapitäninnen;transport
der Verkehr;транспорт;die Verkehre;transport
die Ampel;світлофор;die Ampeln;transport
das Verkehrsschild;дорожній знак;die Verkehrsschilder;transport
der Stau;пробка;die Staus;transport
die Panne;поломка;die Pannen;transport
der Reifen;шина;die Reifen;transport
der Motor;двигун;die Motoren;transport
der Kraftstoff;паливо;;transport
die Tankstelle;заправка;die Tankstellen;transport
der Kofferraum;багажник;die Kofferräume;transport
der Sicherheitsgurt;ремінь безпеки;die Sicherheitsgurte;transport
