der Frühling;весна;весни (weiblich);weather;Frühling;весна;noun
der Sommer;літо;літа (sächlich);weather;Sommer;літо;noun
der Herbst;осінь;осені (weiblich);weather;Herbst;осінь;noun
der Winter;зима;зими (weiblich);weather;Winter;зима;noun
das Klima;клімат;клімати (männlich);weather;Klima;клімат;noun
das Wetter;погода;;weather;Wetter;погода;noun
die Jahreszeit;сезон;сезони (männlich);weather;Jahreszeit;сезон;noun
der Klimawandel;зміна клімату;зміни клімату (weiblich);weather;Klimawandel;зміна клімату;noun
die globale Erwärmung;глобальне потепління;;weather;globale Erwärmung;глобальне потепління;noun
der Regen;дощ;дощі (männlich);weather;Regen;дощ;noun
der Schnee;сніг;сніги (männlich);weather;Schnee;сніг;noun
der Wind;вітер;вітри (männlich);weather;Wind;вітер;noun
die Wolke;хмара;хмари (weiblich);weather;Wolke;хмара;noun
der Nebel;туман;тумани (männlich);weather;Nebel;туман;noun
das Gewitter;гроза;грози (weiblich);weather;Gewitter;гроза;noun
der Sturm;буря;бурі (weiblich);weather;Sturm;буря;noun
der Hagel;град;гради (männlich);weather;Hagel;град;noun
die Hitze;спека;;weather;Hitze;спека;noun
die Kälte;холоднеча;;weather;Kälte;холоднеча;noun
der Sonnenschein;сонячне сяйво;;weather;Sonnenschein;сонячне сяйво;noun
der Blitz;блискавка;блискавки (weiblich);weather;Blitz;блискавка;noun
der Donner;грім;громи (männlich);weather;Donner;грім;noun
der Regenbogen;веселка;веселки (weiblich);weather;Regenbogen;веселка;noun
die Temperatur;температура;температури (weiblich);weather;Temperatur;температура;noun
die Dürre;посуха;посухи (weiblich);weather;Dürre;посуха;noun
die Überschwemmung;повінь;повені (weiblich);weather;Überschwemmung;повінь;noun
der Orkan;буревій;буревії (männlich);weather;Orkan;буревій;noun
der Hurrikan;ураган;урагани (männlich);weather;Hurrikan;ураган;noun
der Tornado;торнадо;торнадо (männlich);weather;Tornado;торнадо;noun
die Wettervorhersage;прогноз погоди;прогнози погоди (männlich);weather;Wettervorhersage;прогноз погоди;noun
das Hochdruckgebiet;область високого тиску;області високого тиску (weiblich);weather;Hochdruckgebiet;область високого тиску;noun
das Tiefdruckgebiet;область низького тиску;області низького тиску (weiblich);weather;Tiefdruckgebiet;область низького тиску;noun
sonnig;сонячний;;weather;sonnig;сонячний;adj
regnerisch;дощовий;;weather;regnerisch;дощовий;adj
windig;вітряний;;weather;windig;вітряний;adj
bewölkt;хмарний;;weather;bewölkt;хмарний;adj
kalt;холодний;;weather;kalt;холодний;adj
heiß;спекотний;;weather;heiß;спекотний;adj
warm;теплий;;weather;warm;теплий;adj
kühl;прохолодний;;weather;kühl;прохолодний;adj
mild;помірний;;weather;mild;помірний;adj
feucht;вологий;;weather;feucht;вологий;adj
trocken;сухий;;weather;trocken;сухий;adj
stürmisch;штормовий;;weather;stürmisch;штормовий;adj
neblig;туманний;;weather;neblig;туманний;adj
regnen;дощити;;weather;regnen;дощити;verb
schneien;сніжити;;weather;schneien;сніжити;verb
hageln;градити;;weather;hageln;градити;verb
donnern;гриміти;;weather;donnern;гриміти;verb
wehen;віяти;;weather;wehen;віяти;verb
die Wettervorhersage;прогноз погоди;die Wettervorhersagen (männlich);weather;Wettervorhersage;прогноз погоди;noun
die Vorhersage;прогноз;die Vorhersagen (männlich);weather;Vorhersage;прогноз;noun
die Prognose;прогноз;die Prognosen (männlich);weather;Prognose;прогноз;noun
das Wetter;погода;(weiblich);weather;Wetter;погода;noun
die Temperatur;температура;die Temperaturen (weiblich);weather;Temperatur;температура;noun
der Grad;градус;die Grade (männlich);weather;Grad;градус;noun
das Thermometer;термометр;die Thermometer (männlich);weather;Thermometer;термометр;noun
der Wind;вітер;die Winde (männlich);weather;Wind;вітер;noun
