perro;собака;perros;animals
gato;кіт;gatos;animals
pájaro;птах;pájaros;animals
pez;риба;peces;animals
vaca;корова;vacas;animals
cerdo;свиня;cerdos;animals
caballo;кінь;caballos;animals
oveja;вівця;ovejas;animals
cabra;коза;cabras;animals
pollo;курка;pollos;animals
gallo;півень;gallos;animals
pato;качка;patos;animals
conejo;кролик;conejos;animals
ratón;миша;ratones;animals
rata;пацюк;ratas;animals
león;лев;leones;animals
tigre;тигр;tigres;animals
elefante;слон;elefantes;animals
jirafa;жирафа;jirafas;animals
mono;мавпа;monos;animals
oso;ведмідь;osos;animals
lobo;вовк;lobos;animals
zorro;лисиця;zorros;animals
ardilla;білка;ardillas;animals
erizo;їжак;erizos;animals
tortuga;черепаха;tortugas;animals
serpiente;змія;serpientes;animals
cocodrilo;крокодил;cocodrilos;animals
rana;жаба;ranas;animals
sapo;ропуха;sapos;animals
ballena;кит;ballenas;animals
delfín;дельфін;delfines;animals
tiburón;акула;tiburones;animals
pulpo;восьминіг;pulpos;animals
medusa;медуза;medusas;animals
mariposa;метелик;mariposas;animals
abeja;бджола;abejas;animals
mosca;муха;moscas;animals
mosquito;комар;mosquitos;animals
hormiga;мураха;hormigas;animals
araña;павук;arañas;animals
escorpión;скорпіон;escorpiones;animals
caracol;равлик;caracoles;animals
lombriz;дощовий черв'як;lombrices;animals
cisne;лебідь;cisnes;animals
águila;орел;águilas;animals
búho;сова;búhos;animals
paloma;голуб;palomas;animals
cuervo;ворон;cuervos;animals
pingüino;пінгвін;pingüinos;animals
canguro;кенгуру;canguros;animals
koala;коала;koalas;animals
murciélago;кажан;murciélagos;animals
camello;верблюд;camellos;animals
rinoceronte;носоріг;rinocerontes;animals
hipopótamo;бегемот;hipopótamos;animals
