empresa;підприємство;empresas;business
negocio;бізнес;negocios;business
mercado;ринок;mercados;business
cliente;клієнт;clientes;business
proveedor;постачальник;proveedores;business
producto;продукт;productos;business
servicio;послуга;servicios;business
venta;продаж;ventas;business
compra;покупка;compras;business
contrato;контракт;contratos;business
factura;рахунок-фактура;facturas;business
precio;ціна;precios;business
beneficio;прибуток;beneficios;business
pérdida;збиток;;business
inversión;інвестиція;inversiones;business
accionista;акціонер;accionistas;business
socio;партнер;socios;business
gerente;менеджер;gerentes;business
empleado;працівник;empleados;business
jefe;начальник;jefes;business
reunión;зустріч;reuniones;business
presentación;презентація;presentaciones;business
informe;звіт;informes;business
estrategia;стратегія;estrategias;business
objetivo;ціль;objetivos;business
competencia;конкуренція;competencias;business
oferta;пропозиція;ofertas;business
demanda;попит;;business
publicidad;реклама;publicidades;business
marca;бренд;marcas;business
logística;логістика;;business
transporte;транспорт;transportes;business
almacén;склад;almacenes;business
inventario;інвентаризація;inventarios;business
calidad;якість;;business
producción;виробництво;producciones;business
eficiencia;ефективність;;business
innovación;інновація;innovaciones;business
tecnología;технологія;tecnologías;business
recursos;ресурси;recursos;business
capital;капітал;;business
finanzas;фінанси;;business
presupuesto;бюджет;presupuestos;business
impuesto;податок;impuestos;business
deuda;борг;deudas;business
crédito;кредит;créditos;business
interés;відсоток;intereses;business
banco;банк;bancos;business
moneda;валюта;monedas;business
exportación;експорт;exportaciones;business
importación;імпорт;importaciones;business
comercio;торгівля;comercios;business
economía;економіка;;business
globalización;глобалізація;;business
