щастя;felicidad;с.р.;emotion
сум;tristeza;ч.р.;emotion
гнів;ira;ч.р.;emotion
радість;alegría;ж.р.;emotion
страх;miedo;ч.р.;emotion
любов;amor;ж.р.;emotion
ненависть;odio;ж.р.;emotion
заздрість;envidia;ж.р.;emotion
сором;vergüenza;ч.р.;emotion
гордість;orgullo;ж.р.;emotion
тривога;ansiedad;ж.р.;emotion
спокій;calma;ч.р.;emotion
надія;esperanza;ж.р.;emotion
розчарування;decepción;с.р.;emotion
здивування;sorpresa;с.р.;emotion
захоплення;admiración;с.р.;emotion
відчай;desesperación;ч.р.;emotion
вдячність;gratitud;ж.р.;emotion
байдужість;indiferencia;ж.р.;emotion
роздратування;irritación;с.р.;emotion
співчуття;compasión;с.р.;emotion
ревнощі;celos;мн.;emotion
задоволення;satisfacción;с.р.;emotion
розгубленість;confusión;ж.р.;emotion
смуток;melancolía;ч.р.;emotion
злість;enojo;ж.р.;emotion
ентузіазм;entusiasmo;ч.р.;emotion
страждання;sufrimiento;с.р.;emotion
втома;cansancio;ж.р.;emotion
натхнення;inspiración;с.р.;emotion
розчарування;desilusión;с.р.;emotion
задоволення;placer;ч.р.;emotion
тривожність;inquietud;ж.р.;emotion
збентеження;turbación;с.р.;emotion
самотність;soledad;ж.р.;emotion
впевненість;confianza;ж.р.;emotion
нервовість;nerviosismo;ч.р.;emotion
заздрість;celos;мн.;emotion
розгубленість;perplejidad;ж.р.;emotion
збудження;emoción;ж.р.;emotion
спокій;tranquilidad;ж.р.;emotion
відраза;repugnancia;ж.р.;emotion
зацікавленість;interés;ч.р.;emotion
розчарування;frustración;ж.р.;emotion
вдячність;agradecimiento;ч.р.;emotion
зніяковілість;vergüenza;ж.р.;emotion
задоволення;contento;ч.р.;emotion
роздратування;molestia;ж.р.;emotion
співпереживання;empatía;с.р.;emotion
захват;éxtasis;ч.р.;emotion
страждання;dolor;ч.р.;emotion
