la contaminación;забруднення;;environment;contaminación;забруднення;noun;контамінасьйон
el reciclaje;переробка;;environment;reciclaje;переробка;noun;ресіклахе
el plástico;пластик;los plásticos;environment;plástico;пластик;noun;пластіко
el vidrio;скло;los vidrios;environment;vidrio;скло;noun;відріо
el cartón;картон;los cartones;environment;cartón;картон;noun;картон
la lata;бляшанка;las latas;environment;lata;бляшанка;noun;лата
la bolsa de plástico;пластиковий пакет;las bolsas de plástico;environment;bolsa de plástico;пластиковий пакет;noun;больса де пластіко
el residuo;відходи;los residuos;environment;residuo;відходи;noun;ресідуо
el desecho;відходи;los desechos;environment;desecho;відходи;noun;десечо
la pila;батарейка;las pilas;environment;pila;батарейка;noun;піла
el vertedero;сміттєзвалище;los vertederos;environment;vertedero;сміттєзвалище;noun;вертедеро
el humo;дим;los humos;environment;humo;дим;noun;умо
la contaminación del aire;забруднення повітря;;environment;contaminación del aire;забруднення повітря;noun;контамінасьйон дель айре
la calidad del aire;якість повітря;;environment;calidad del aire;якість повітря;noun;калідад дель айре
el smog;смог;;environment;smog;смог;noun;смог
la deforestación;вирубка лісів;;environment;deforestación;вирубка лісів;noun;дефорестасьйон
la reforestación;заліснення;;environment;reforestación;заліснення;noun;рефорестасьйон
la energía renovable;відновлювана енергія;las energías renovables;environment;energía renovable;відновлювана енергія;noun;енерхіа ренобабле
el combustible fósil;викопне паливо;los combustibles fósiles;environment;combustible fósil;викопне паливо;noun;комбустібле фосіль
el dióxido de carbono;вуглекислий газ;los dióxidos de carbono;environment;dióxido de carbono;вуглекислий газ;noun;діоксідо де карбоно
el efecto invernadero;парниковий ефект;;environment;efecto invernadero;парниковий ефект;noun;ефекто інбернадеро
el calentamiento global;глобальне потепління;;environment;calentamiento global;глобальне потепління;noun;калентамієнто глобаль
el cambio climático;зміна клімату;;environment;cambio climático;зміна клімату;noun;камбіо кліматіко
el medio ambiente;довкілля;;environment;medio ambiente;довкілля;noun;медьо амбієнте
el ecosistema;екосистема;los ecosistemas;environment;ecosistema;екосистема;noun;екосістема
la biodiversidad;біорізноманіття;;environment;biodiversidad;біорізноманіття;noun;біодіберсідад
la capa de ozono;озоновий шар;;environment;capa de ozono;озоновий шар;noun;капа де осоно
el agujero de ozono;озонова діра;los agujeros de ozono;environment;agujero de ozono;озонова діра;noun;агухеро де осоно
el petróleo;нафта;;environment;petróleo;нафта;noun;петролео
