padre;батько;padres;family
madre;мати;madres;family
hijo;син;hijos;family
hija;донька;hijas;family
hermano;брат;hermanos;family
hermana;сестра;hermanas;family
abuelo;дідусь;abuelos;family
abuela;бабуся;abuelas;family
nieto;онук;nietos;family
nieta;онука;nietas;family
tío;дядько;tíos;family
tía;тітка;tías;family
primo;двоюрідний брат;primos;family
prima;двоюрідна сестра;primas;family
sobrino;племінник;sobrinos;family
sobrina;племінниця;sobrinas;family
esposo;чоловік;esposos;family
esposa;дружина;esposas;family
marido;чоловік;maridos;family
mujer;дружина;mujeres;family
padrastro;вітчим;padrastros;family
madrastra;мачуха;madrastras;family
hijastro;пасинок;hijastros;family
hijastra;падчерка;hijastras;family
hermanastro;зведений брат;hermanastros;family
hermanastra;зведена сестра;hermanastras;family
suegro;тесть;свекор;suegros;family
suegra;теща;свекруха;suegras;family
yerno;зять;yernos;family
nuera;невістка;nueras;family
cuñado;шурин;дівер;cuñados;family
cuñada;зовиця;своячка;cuñadas;family
bisabuelo;прадід;bisabuelos;family
bisabuela;прабабуся;bisabuelas;family
bisnieto;правнук;bisnietos;family
bisnieta;правнучка;bisnietas;family
tatarabuelo;прапрадід;tatarabuelos;family
tatarabuela;прапрабабуся;tatarabuelas;family
familia;родина;familias;family
pariente;родич;parientes;family
parienta;родичка;parientas;family
gemelo;близнюк;gemelos;family
gemela;близнючка;gemelas;family
bebé;немовля;bebés;family
niño;хлопчик;niños;family
niña;дівчинка;niñas;family
adolescente;підліток;adolescentes;family
adulta;доросла;adultas;family
adulto;дорослий;adultos;family
anciano;старий;ancianos;family
anciana;старенька;ancianas;family
