футбол;fútbol;ч.р.;sports
баскетбол;baloncesto;ч.р.;sports
теніс;tenis;ч.р.;sports
волейбол;voleibol;ч.р.;sports
хокей;hockey;ч.р.;sports
бокс;boxeo;ч.р.;sports
бейсбол;béisbol;ч.р.;sports
гольф;golf;ч.р.;sports
регбі;rugby;ч.р.;sports
плавання;natación;с.р.;sports
біг;carrera;ч.р.;sports
стрибки;salto;ч.р.;sports
метання;lanzamiento;с.р.;sports
гімнастика;gimnasia;ж.р.;sports
велоспорт;ciclismo;ч.р.;sports
лижі;esquí;ч.р.;sports
ковзани;patinaje;ч.р.;sports
шахи;ajedrez;ч.р.;sports
шашки;damas;ж.р.;sports
дзюдо;yudo;с.р.;sports
карате;kárate;с.р.;sports
тхеквондо;taekwondo;с.р.;sports
фехтування;esgrima;с.р.;sports
боротьба;lucha;ж.р.;sports
атлетика;atletismo;ж.р.;sports
марафон;maratón;ч.р.;sports
турнір;torneo;ч.р.;sports
команда;equipo;ж.р.;sports
гравець;jugador;ч.р.;sports
воротар;portero;ч.р.;sports
суддя;árbitro;ч.р.;sports
м'яч;pelota;ч.р.;sports
ракетка;raqueta;ж.р.;sports
ключка;palo;ж.р.;sports
шолом;casco;ч.р.;sports
форма;uniforme;ж.р.;sports
стадіон;estadio;ч.р.;sports
арена;arena;ж.р.;sports
фінал;final;ч.р.;sports
перемога;victoria;ж.р.;sports
поразка;derrota;ж.р.;sports
нічия;empate;ж.р.;sports
тренування;entrenamiento;с.р.;sports
тренер;entrenador;ч.р.;sports
спортивний;deportivo;ч.р.;sports
змагання;competición;с.р.;sports
олімпіада;olimpiada;ж.р.;sports
рекорд;récord;ч.р.;sports
медаль;medalla;ж.р.;sports
кубок;copa;ч.р.;sports
чемпіон;campeón;ч.р.;sports
спринт;sprint;ч.р.;sports
естафета;relevo;ж.р.;sports
диск;disco;ч.р.;sports
спис;jabalina;ч.р.;sports
