smartphone;смартфон;;technology
computer;комп'ютер;;technology
laptop;ноутбук;;technology
tablet;планшет;;technology
software;програмне забезпечення;;technology
hardware;апаратне забезпечення;;technology
internet;інтернет;;technology
network;мережа;;technology
router;роутер;;technology
server;сервер;;technology
database;база даних;;technology
cloud;хмара;;technology
algorithm;алгоритм;;technology
programming;програмування;;technology
code;код;;technology
application;додаток;;technology
app;додаток;;technology
browser;браузер;;technology
website;вебсайт;;technology
email;електронна пошта;;technology
password;пароль;;technology
encryption;шифрування;;technology
firewall;брандмауер;;technology
virus;вірус;;technology
malware;шкідливе ПЗ;;technology
hacker;хакер;;technology
cybersecurity;кібербезпека;;technology
artificial intelligence;штучний інтелект;;technology
machine learning;машинне навчання;;technology
data;дані;;technology
big data;великі дані;;technology
blockchain;блокчейн;;technology
cryptocurrency;криптовалюта;;technology
virtual reality;віртуальна реальність;;technology
augmented reality;доповнена реальність;;technology
gadget;гаджет;;technology
device;пристрій;;technology
processor;процесор;;technology
memory;пам'ять;;technology
storage;сховище;;technology
RAM;ОЗП;;technology
GPU;графічний процесор;;technology
monitor;монітор;;technology
keyboard;клавіатура;;technology
mouse;миша;;technology
printer;принтер;;technology
scanner;сканер;;technology
camera;камера;;technology
microphone;мікрофон;;technology
speaker;динамік;;technology
battery;батарея;;technology
charger;зарядний пристрій;;technology
USB;USB;;technology
Bluetooth;Bluetooth;;technology
Wi-Fi;Wi-Fi;;technology
5G;5G;;technology
IoT;інтернет речей;;technology
robot;робот;;technology
automation;автоматизація;;technology
drone;дрон;;technology
smartwatch;розумний годинник;;technology
smart home;розумний дім;;technology
