el autobús;автобус;los autobuses;travel;autobús;автобус;noun;ауто́бус
el tren;поїзд;los trenes;travel;tren;поїзд;noun;трен
el metro;метро;los metros;travel;metro;метро;noun;ме́тро
el tranvía;трамвай;los tranvías;travel;tranvía;трамвай;noun;транбі́а
el billete;квиток;los billetes;travel;billete;квиток;noun;бійє́те
el abono;проїзний квиток;los abonos;travel;abono;проїзний квиток;noun;або́но
el viaje;подорож;los viajes;travel;viaje;подорож;noun;бя́хе
el pasajero;пасажир;los pasajeros;travel;pasajero;пасажир;noun;пасахе́ро
el revisor;контролер;los revisores;travel;revisor;контролер;noun;ревісо́р
la línea;лінія;las líneas;travel;línea;лінія;noun;лі́неа
la tarifa;тариф;las tarifas;travel;tarifa;тариф;noun;тарі́фа
el transbordo;пересадка;los transbordos;travel;transbordo;пересадка;noun;трансбо́рдо
el andén;платформа;los andenes;travel;andén;платформа;noun;анде́н
la salida;відправлення;las salidas;travel;salida;відправлення;noun;салі́да
la llegada;прибуття;las llegadas;travel;llegada;прибуття;noun;йєга́да
el destino;призначення;los destinos;travel;destino;призначення;noun;десті́но
el billete sencillo;квиток в один кінець;los billetes sencillos;travel;billete sencillo;квиток в один кінець;noun;бійє́те сенсі́йо
la terminal;термінал;las terminales;travel;terminal;термінал;noun;терміна́ль
el plano;схема;los planos;travel;plano;схема;noun;пла́но
la puerta;двері;las puertas;travel;puerta;двері;noun;пуе́рта
tomar;сідати (на транспорт);;travel;tomar;сідати;verb (-ar);тома́р
coger;ловити (транспорт);;travel;coger;ловити;verb (-er);кохе́р
subir;підніматися / сідати;;travel;subir;підніматися;verb (-ir);субі́р
bajar;спускатися / виходити;;travel;bajar;спускатися;verb (-ar);баха́р
transbordar;пересідати;;travel;transbordar;пересідати;verb (-ar);трансборда́р
esperar;чекати;;travel;esperar;чекати;verb (-ar);еспера́р
consultar;перевіряти;;travel;consultar;перевіряти;verb (-ar);консульта́р
validar;валідувати;;travel;validar;валідувати;verb (-ar);баліда́р
pasar;проходити;;travel;pasar;проходити;verb (-ar);паса́р
facturar;зареєструвати (багаж);;travel;facturar;зареєструвати;verb (-ar);фактура́р
puntual;пунктуальний;;travel;puntual;пунктуальний;adj;пунтуа́ль
retrasado;запізнений;;travel;retrasado;запізнений;adj;ретраса́до
lleno;повний / переповнений;;travel;lleno;повний;adj;йє́но
vacío;порожній;;travel;vacío;порожній;adj;басі́о
cómodo;зручний;;travel;cómodo;зручний;adj;ко́модо
rápido;швидкий;;travel;rápido;швидкий;adj;ра́підо
lento;повільний;;travel;lento;повільний;adj;ле́нто
directo;прямий;;travel;directo;прямий;adj;діре́кто
frecuente;частий;;travel;frecuente;частий;adj;фрекуе́нте
gratuito;безкоштовний;;travel;gratuito;безкоштовний;adj;гратуї́то
el vuelo;політ;los vuelos;travel;vuelo;політ;noun;буело
el boleto;квиток;los boletos;travel;boleto;квиток;noun;болето
el pasaje;квиток;los pasajes;travel;pasaje;квиток;noun;пасахе
la tarjeta de embarque;посадковий талон;las tarjetas de embarque;travel;tarjeta de embarque;посадковий талон;noun;тархета де ембарке
el pasaporte;паспорт;los pasaportes;travel;pasaporte;паспорт;noun;пасапорте
el equipaje;багаж;;travel;equipaje;багаж;noun;екіпахе
la maleta;валіза;las maletas;travel;maleta;валіза;noun;малета
el asiento;місце;los asientos;travel;asiento;місце;noun;асьєнто
la ventanilla;ілюмінатор;las ventanillas;travel;ventanilla;ілюмінатор;noun;вентанілья
la reserva;бронювання;las reservas;travel;reserva;бронювання;noun;ресерва
la confirmación;підтвердження;;travel;confirmación;підтвердження;noun;конфірмасьйон
la cancelación;скасування;las cancelaciones;travel;cancelación;скасування;noun;канселасьйон
el descuento;знижка;los descuentos;travel;descuento;знижка;noun;дескуенто
la tarjeta de crédito;кредитна картка;las tarjetas de crédito;travel;tarjeta de crédito;кредитна картка;noun;тархета де кредіто
el efectivo;готівка;;travel;efectivo;готівка;noun;ефектіво
el cambio;обмін;los cambios;travel;cambio;обмін;noun;камбіо
la moneda;монета;las monedas;travel;moneda;монета;noun;монеда
el alojamiento;проживання;;travel;alojamiento;проживання;noun;алохам'єнто
el hotel;готель;los hoteles;travel;hotel;готель;noun;отель
la llave;ключ;las llaves;travel;llave;ключ;noun;йяве
la recepción;рецепція;las recepciones;travel;recepción;рецепція;noun;ресепсьйон
el equipaje de mano;ручна поклажа;;travel;equipaje de mano;ручна поклажа;noun;екіпахе де мано
el mostrador de facturación;стійка реєстрації;los mostradores de facturación;travel;mostrador de facturación;стійка реєстрації;noun;мострадор де фактурасьйон
el check-in;реєстрація;;travel;check-in;реєстрація;noun;чекін
la salida de emergencia;аварійний вихід;las salidas de emergencia;travel;salida de emergencia;аварійний вихід;noun;саліда де емерхенсія
el retraso;затримка;los retrasos;travel;retraso;затримка;noun;ретрасо
la escala;пересадка;las escalas;travel;escala;пересадка;noun;ескала
el origen;пункт відправлення;los orígenes;travel;origen;пункт відправлення;noun;оріхен
la aerolínea;авіакомпанія;las aerolíneas;travel;aerolínea;авіакомпанія;noun;аеролінеа
el mostrador;стійка;los mostradores;travel;mostrador;стійка;noun;мострадор
la agencia de viajes;туристична агенція;las agencias de viajes;travel;agencia de viajes;туристична агенція;noun;ахенсія де в'яхес
el seguro de viaje;туристична страховка;los seguros de viaje;travel;seguro de viaje;туристична страховка;noun;сегуро де в'яхе
la fecha;дата;las fechas;travel;fecha;дата;noun;феча
la hora;час;las horas;travel;hora;час;noun;ора
reservar;бронювати;;travel;reservar;бронювати;verb (-ar);ресервар
confirmar;підтверджувати;;travel;confirmar;підтверджувати;verb (-ar);конфірмар
cancelar;скасовувати;;travel;cancelar;скасовувати;verb (-ar);канселар
volar;летіти;;travel;volar;летіти;verb (-ar);болар
el castillo;замок;los castillos;travel;castillo;замок;noun;кастійо
el guía;гід;los guías;travel;guía;гід;noun;гіа
el mapa;карта;los mapas;travel;mapa;карта;noun;мапа
el mirador;оглядовий майданчик;los miradores;travel;mirador;оглядовий майданчик;noun;мірадор
el monumento;пам'ятник;los monumentos;travel;monumento;пам'ятник;noun;монументо
el palacio;палац;los palacios;travel;palacio;палац;noun;паласіо
el puente;міст;los puentes;travel;puente;міст;noun;пуенте
el recuerdo;сувенір;los recuerdos;travel;recuerdo;сувенір;noun;рекуердо
el turista;турист;los turistas;travel;turista;турист;noun;туріста
el visitante;відвідувач;los visitantes;travel;visitante;відвідувач;noun;вісітанте
la audioguía;аудіогід;las audioguías;travel;audioguía;аудіогід;noun;аудіогіа
la catedral;собор;las catedrales;travel;catedral;собор;noun;катедрал
la ciudad;місто;las ciudades;travel;ciudad;місто;noun;сіудад
la estatua;статуя;las estatuas;travel;estatua;статуя;noun;естатуа
la postal;листівка;las postales;travel;postal;листівка;noun;посталь
la torre;вежа;las torres;travel;torre;вежа;noun;торре
la vista;вид;las vistas;travel;vista;вид;noun;віста
visitar;відвідувати;;travel;visitar;відвідувати;verb (-ar);вісітар
admirar;милуватися;;travel;admirar;милуватися;verb (-ar);адмірар
recorrer;обходити;;travel;recorrer;обходити;verb (-er);рекоррер
disfrutar;насолоджуватися;;travel;disfrutar;насолоджуватися;verb (-ar);дісфрутар
la cámara de fotos;фотоапарат;las cámaras de fotos;travel;cámara;камера;noun;ла камара де фотос
la mochila;рюкзак;las mochilas;travel;mochila;рюкзак;noun;мочіла
el bolso;сумка;los bolsos;travel;bolso;сумка;noun;болсо
el neceser;несесер;los neceseres;travel;neceser;несесер;noun;несесер
el visado;віза;los visados;travel;visado;віза;noun;вісадо
el adaptador;адаптер;los adaptadores;travel;adaptador;адаптер;noun;адаптадор
la cartera;гаманець;las carteras;travel;cartera;гаманець;noun;картера
el dinero;гроші;;travel;dinero;гроші;noun;дінеро
la ropa;одяг;;travel;ropa;одяг;noun;ропа
el cepillo de dientes;зубна щітка;los cepillos de dientes;travel;cepillo de dientes;зубна щітка;noun;сепійо де дьєнтес
la pasta de dientes;зубна паста;;travel;pasta de dientes;зубна паста;noun;паста де дьєнтес
el gel de ducha;гель для душу;los geles de ducha;travel;gel de ducha;гель для душу;noun;хель де дуча
el desodorante;дезодорант;los desodorantes;travel;desodorante;дезодорант;noun;десодоранте
la camisa;сорочка;las camisas;travel;camisa;сорочка;noun;каміса
el zapato;черевик;los zapatos;travel;zapato;черевик;noun;сапато
el abrigo;пальто;los abrigos;travel;abrigo;пальто;noun;абріго
la chaqueta;куртка;las chaquetas;travel;chaqueta;куртка;noun;чакета
empacar;пакувати;;travel;empacar;пакувати;verb (-ar);емпакар
desempacar;розпаковувати;;travel;desempacar;розпаковувати;verb (-ar);десемпакар
enrollar;згортати;;travel;enrollar;згортати;verb (-ar);енройар
recoger;забирати;;travel;recoger;забирати;verb (-er);рекохер
guardar;зберігати;;travel;guardar;зберігати;verb (-ar);гуардар
abrir;відкривати;;travel;abrir;відкривати;verb (-ir);абрір
pesado;важкий;;travel;pesado;важкий;adj;песадо
ligero;легкий;;travel;ligero;легкий;adj;ліхеро
grande;великий;;travel;grande;великий;adj;гранде
pequeño;маленький;;travel;pequeño;маленький;adj;пекеньо
arrugado;пом'ятий;;travel;arrugado;пом'ятий;adj;арругадо
esencial;суттєвий;;travel;esencial;суттєвий;adj;есенсіаль
importante;важливий;;travel;importante;важливий;adj;імпортанте
necesario;необхідний;;travel;necesario;необхідний;adj;несесаріо
demasiado;занадто;;travel;demasiado;занадто;adv;демасіадо
encima;зверху;;travel;encima;зверху;adv;енсіма
abajo;внизу;;travel;abajo;внизу;adv;абахо
