das Fach;предмет;die Fächer;education;Fach;предмет;noun;фах
die Mathematik;математика;;education;Mathematik;математика;noun;математік
das Deutsch;німецька мова;;education;Deutsch;німецька мова;noun;дойч
das Englisch;англійська мова;;education;Englisch;англійська мова;noun;енгліш
das Französisch;французька мова;;education;Französisch;французька мова;noun;францьозіш
das Latein;латинська мова;;education;Latein;латинська мова;noun;латайн
das Spanisch;іспанська мова;;education;Spanisch;іспанська мова;noun;шпаніш
die Erdkunde;географія;;education;Erdkunde;географія;noun;ерткунде
die Geographie;географія;;education;Geographie;географія;noun;географі
die Biologie;біологія;;education;Biologie;біологія;noun;біологі
die Chemie;хімія;;education;Chemie;хімія;noun;хемі
die Physik;фізика;;education;Physik;фізика;noun;фюзік
die Religion;релігія;;education;Religion;релігія;noun;релігіон
die Ethik;етика;;education;Ethik;етика;noun;етік
die Informatik;інформатика;;education;Informatik;інформатика;noun;інформатік
die Wirtschaft;економіка;;education;Wirtschaft;економіка;noun;віртшафт
die Politik;політика;;education;Politik;політика;noun;політік
die Sozialkunde;суспільствознавство;;education;Sozialkunde;суспільствознавство;noun;зоціалькунде
die Hauswirtschaft;домашнє господарство;;education;Hauswirtschaft;домашнє господарство;noun;хаусвіртшафт
das Werken;ручна праця;;education;Werken;ручна праця;noun;веркен
die Technik;техніка;;education;Technik;техніка;noun;технік
die Philosophie;філософія;;education;Philosophie;філософія;noun;філозофі
der Stundenplan;розклад уроків;die Stundenpläne;education;Stunde + Plan;розклад уроків;noun;штунденплан
die Prüfung;іспит;die Prüfungen;education;Prüfung;іспит;noun;прюфунг
der Test;тест;die Tests;education;Test;тест;noun;тест
die Klassenarbeit;контрольна робота;die Klassenarbeiten;education;Klasse + Arbeit;контрольна робота;noun;класенаарбайт
die Hausaufgabe;домашнє завдання;die Hausaufgaben;education;Haus + Aufgabe;домашнє завдання;noun;хаусауфгабе
der Unterricht;заняття;;education;Unterricht;заняття;noun;унтерріхт
die Lehrerin;учителька;die Lehrerinnen;education;Lehrerin;учителька;noun;лерерін
der Schüler;учень;die Schüler;education;Schüler;учень;noun;шюлер
die Schülerin;учениця;die Schülerinnen;education;Schülerin;учениця;noun;шюлерін
die Klasse;клас;die Klassen;education;Klasse;клас;noun;класе
das Klassenzimmer;класна кімната;die Klassenzimmer;education;Klasse + Zimmer;класна кімната;noun;класенціммер
die Tafel;дошка;die Tafeln;education;Tafel;дошка;noun;тафель
die Kreide;крейда;die Kreiden;education;Kreide;крейда;noun;крайде
der Füller;авторучка;die Füller;education;Füller;авторучка;noun;фюллер
das Heft;зошит;die Hefte;education;Heft;зошит;noun;хефт
das Schulbuch;шкільний підручник;die Schulbücher;education;Schule + Buch;шкільний підручник;noun;шульбух
das Lineal;лінійка;die Lineale;education;Lineal;лінійка;noun;лінеаль
der Radiergummi;гумка;die Radiergummis;education;Radier + Gummi;гумка;noun;радіргуммі
der Spitzer;точилка;die Spitzer;education;Spitzer;точилка;noun;шпітцер
die Federtasche;пенал;die Federtaschen;education;Feder + Tasche;пенал;noun;федераше
der Student;студент;die Studenten;education;Student;студент;noun;штудент
die Studentin;студентка;die Studentinnen;education;Studentin;студентка;noun;штудентін
der Professor;професор;die Professoren;education;Professor;професор;noun;професор
die Professorin;професорка;die Professorinnen;education;Professorin;професорка;noun;професорін
die Universität;університет;die Universitäten;education;Universität;університет;noun;універзітет
die Vorlesung;лекція;die Vorlesungen;education;Vorlesung;лекція;noun;форлезунґ
das Seminar;семінар;die Seminare;education;Seminar;семінар;noun;земінар
der Hörsaal;аудиторія;die Hörsäle;education;Hören + Saal;аудиторія;noun;хьорзаль
die Bibliothek;бібліотека;die Bibliotheken;education;Bibliothek;бібліотека;noun;бібліотек
die Klausur;контрольна робота;die Klausuren;education;Klausur;контрольна робота;noun;клаузур
das Referat;реферат;die Referate;education;Referat;реферат;noun;реферат
die Abschlussarbeit;дипломна робота;die Abschlussarbeiten;education;Abschluss + Arbeit;дипломна робота;noun;абшлюсарбайт
der Abschluss;закінчення;die Abschlüsse;education;Abschluss;закінчення;noun;абшлюс
das Semester;семестр;die Semester;education;Semester;семестр;noun;земестер
die Vorlesungszeit;лекційний період;die Vorlesungszeiten;education;Vorlesung + Zeit;лекційний період;noun;форлезунґсцайт
die Semesterferien;канікули;;education;Semester + Ferien;канікули;noun;земестерферієн
die Mensa;їдальня;die Mensen;education;Mensa;їдальня;noun;менза
die Lerngruppe;навчальна група;die Lerngruppen;education;lernen + Gruppe;навчальна група;noun;лернґруппе
der Kommilitone;однокурсник;die Kommilitonen;education;Kommilitone;однокурсник;noun;комілітоне
die Kommilitonin;однокурсниця;die Kommilitoninnen;education;Kommilitonin;однокурсниця;noun;комілітонін
der Dozent;викладач;die Dozenten;education;Dozent;викладач;noun;доцент
die Dozentin;викладачка;die Dozentinnen;education;Dozentin;викладачка;noun;доцентін
die Fakultät;факультет;die Fakultäten;education;Fakultät;факультет;noun;факултет
der Studiengang;навчальна програма;die Studiengänge;education;Studium + Gang;навчальна програма;noun;штудієнґанґ
das Stipendium;стипендія;die Stipendien;education;Stipendium;стипендія;noun;штіпендіум
der Campus;кампус;die Campus;education;Campus;кампус;noun;кампус
die Einschreibung;запис;die Einschreibungen;education;einschreiben + -ung;запис;noun;айншрайбунґ
die Immatrikulation;зарахування;die Immatrikulationen;education;Immatrikulation;зарахування;noun;імматрікуляціон
der Austausch;обмін;die Austausche;education;Austausch;обмін;noun;аустауш
die Exkursion;екскурсія;die Exkursionen;education;Exkursion;екскурсія;noun;екскурзіон
das Tutorium;тьюторіум;die Tutorien;education;Tutorium;тьюторіум;noun;туторіум
die Prüfungsordnung;положення про іспити;die Prüfungsordnungen;education;Prüfung + Ordnung;положення про іспити;noun;прюфунґсорднунґ
das Vorlesungsverzeichnis;розклад лекцій;die Vorlesungsverzeichnisse;education;Vorlesung + Verzeichnis;розклад лекцій;noun;форлезунґсферцайхніс
der Semesterbeitrag;семестровий внесок;die Semesterbeiträge;education;Semester + Beitrag;семестровий внесок;noun;земестербайтраґ
die Hochschule;вищий навчальний заклад;die Hochschulen;education;Hoch + Schule;вищий навчальний заклад;noun;гохшуле
das Wohnheim;гуртожиток;die Wohnheime;education;wohnen + Heim;гуртожиток;noun;вонгайм
die Studienberatung;консультація з навчання;die Studienberatungen;education;Studium + Beratung;консультація з навчання;noun;штудієнбератунґ
der Lehrstuhl;кафедра;die Lehrstühle;education;lehren + Stuhl;кафедра;noun;лерштуль
die Fachschaft;студентська рада факультету;die Fachschaften;education;Fach + -schaft;студентська рада;noun;фахшафт
der AStA;студентський парламент;;education;AStA (Allgemeiner Studierendenausschuss);студентський парламент;noun;аста
das BAföG;державна допомога для навчання;;education;BAföG (Bundesausbildungsförderungsgesetz);державна допомога;noun;бафьоґ
studieren;навчатися;;education;studieren;навчатися;verb (weak);штудірен
sich einschreiben;записатися;;education;einschreiben (zu schreiben);записатися;verb (separable);зіх айншрайбен
das Abitur;атестат зрілості;;education;Abitur;атестат зрілості;noun;абітур
das Examen;іспит;die Examina;education;Examen;іспит;noun;ексамен
die Zensur;оцінка;die Zensuren;education;Zensur;оцінка;noun;цензур
die Bestnote;найвища оцінка;die Bestnoten;education;Best + Note;найвища оцінка;noun;бестноте
die Durchfallquote;відсоток нездач;die Durchfallquoten;education;Durchfall + Quote;відсоток нездач;noun;дурхфальквоте
der Notendurchschnitt;середній бал;die Notendurchschnitte;education;Note + Durchschnitt;середній бал;noun;нотендурхшніт
die Punktzahl;кількість балів;die Punktzahlen;education;Punkt + Zahl;кількість балів;noun;пунктцаль
das Prüfungsergebnis;результат іспиту;die Prüfungsergebnisse;education;Prüfung + Ergebnis;результат іспиту;noun;прюфунґсерґебніс
die Mündliche;усний іспит;die Mündlichen;education;mündlich;усний;noun;мюндліхе
