die Kellnerin;офіціантка;die Kellnerinnen;food;Kellnerin;офіціантка;noun;кельнерін
die Speisekarte;меню;die Speisekarten;food;Speisekarte;меню;noun;шпайзекарте
das Gericht;страва;die Gerichte;food;Gericht;страва;noun;геріхьт
die Gabel;виделка;die Gabeln;food;Gabel;виделка;noun;ґабель
das Messer;ніж;die Messer;food;Messer;ніж;noun;мессер
der Löffel;ложка;die Löffel;food;Löffel;ложка;noun;льоффель
die Tasse;чашка;die Tassen;food;Tasse;чашка;noun;тассе
die Vorspeise;закуска;die Vorspeisen;food;Vorspeise;закуска;noun;форшпайзе
die Hauptspeise;основна страва;die Hauptspeisen;food;Hauptspeise;основна страва;noun;гауптшпайзе
die Nachspeise;десерт;die Nachspeisen;food;Nachspeise;десерт;noun;нахшпайзе
der Nachtisch;десерт;die Nachtische;food;Nachtisch;десерт;noun;нахтіш
das Menü;комплексний обід;die Menüs;food;Menü;комплексний обід;noun;меню
die Speise;блюдо;die Speisen;food;Speise;блюдо;noun;шпайзе
die Karte;меню;die Karten;food;Karte;меню;noun;карте
bestellen;замовляти;;food;bestellen;замовляти;verb (weak);бештеллен
servieren;подавати;;food;servieren;подавати;verb (weak);зервірен
empfehlen;рекомендувати;;food;empfehlen;рекомендувати;verb (strong);емпфелен
der Saft;сік;die Säfte;food;Saft;сік;noun;зафт
die Limonade;лимонад;die Limonaden;food;Limonade;лимонад;noun;лімонаде
das Mineralwasser;мінеральна вода;die Mineralwässer;food;Mineral + Wasser;мінеральна вода;noun;мінеральвассер
die Suppe;суп;die Suppen;food;Suppe;суп;noun;зуппе
die Nudeln;локшина;die Nudeln;food;Nudel;локшина;noun;нудельн
der Reis;рис;;food;Reis;рис;noun;райс
das Dessert;десерт;die Desserts;food;Dessert;десерт;noun;десерт
schmecken;смакувати;;food;schmecken;смакувати;verb (weak);шмекен
die Reservierung;бронювання;die Reservierungen;food;Reservierung;бронювання;noun;резервірунг
schneiden;нарізати;;food;schneiden;нарізати;verb (strong);шнайден
braten;смажити;;food;braten;смажити;verb (strong);братен
rühren;мішати;;food;rühren;мішати;verb (weak);рюрен
würzen;приправляти;;food;würzen;приправляти;verb (weak);вюрцен
abschmecken;пробувати на смак;;food;abschmecken (zu schmecken);смакувати;verb (separable);апшмекен
zubereiten;готувати;;food;zubereiten (zu bereiten);готувати;verb (separable);цуберайтен
erhitzen;нагрівати;;food;erhitzen;нагрівати;verb (weak);ергіцен
abkühlen;охолоджувати;;food;abkühlen (zu kühlen);охолоджувати;verb (separable);апкюлен
einfrieren;заморожувати;;food;einfrieren (zu frieren);заморожувати;verb (separable);айнфрірен
auftauen;розморожувати;;food;auftauen (zu tauen);танути;verb (separable);ауфтауен
marinieren;маринувати;;food;marinieren;маринувати;verb (weak);маринірен
panieren;панірувати;;food;panieren;панірувати;verb (weak);панірен
frittieren;фритюрити;;food;frittieren;фритюрити;verb (weak);фритірен
dünsten;припускати;;food;dünsten;припускати;verb (weak);дюнстен
dämpfen;парити;;food;dämpfen;парити;verb (weak);демпфен
schmoren;тушкувати;;food;schmoren;тушкувати;verb (weak);шморен
grillen;грилювати;;food;grillen;грилювати;verb (weak);грилен
rösten;обсмажувати;;food;rösten;обсмажувати;verb (weak);рестен
mixen;змішувати;;food;mixen;змішувати;verb (weak);міксен
pürieren;пюрувати;;food;pürieren;пюрувати;verb (weak);пюрирен
zerkleinern;подрібнювати;;food;zerkleinern;подрібнювати;verb (weak);церкляйнерн
hacken;рубати;;food;hacken;рубати;verb (weak);гакен
raspeln;натирати;;food;raspeln;натирати;verb (weak);распельн
