die Moschee;мечеть;die Moscheen;places;Moschee;мечеть;noun;моше
die Synagoge;синагога;die Synagogen;places;Synagoge;синагога;noun;зюнагоґе
der Markt;ринок;die Märkte;places;Markt;ринок;noun;маркт
das Einkaufszentrum;торговий центр;die Einkaufszentren;places;Einkauf + s + Zentrum;торговий центр;noun;айнкауфсцентрум
die Fußgängerzone;пішохідна зона;die Fußgängerzonen;places;Fußgänger + Zone;пішохідна зона;noun;фусґенґерцоне
die Straße;вулиця;die Straßen;places;Straße;вулиця;noun;штрасе
die Kreuzung;перехрестя;die Kreuzungen;places;Kreuzung;перехрестя;noun;кройцунґ
der Flughafen;аеропорт;die Flughäfen;places;Flug + Hafen;аеропорт;noun;флюггафен
der Hafen;порт;die Häfen;places;Hafen;порт;noun;гафен
das Gefängnis;в'язниця;die Gefängnisse;places;Gefängnis;в'язниця;noun;ґефенґніс
das Hotel;готель;die Hotels;places;Hotel;готель;noun;готель
das Restaurant;ресторан;die Restaurants;places;Restaurant;ресторан;noun;ресторан
das Café;кафе;die Cafés;places;Café;кафе;noun;кафе
die Kneipe;бар;die Kneipen;places;Kneipe;бар;noun;кнайпе
das Bürgeramt;відділ реєстрації;die Bürgerämter;places;Bürger + Amt;відділ реєстрації;noun;бюрґерамт
das Finanzamt;податкова інспекція;die Finanzämter;places;Finanz + Amt;податкова інспекція;noun;фінанцамт
der Friedhof;цвинтар;die Friedhöfe;places;Fried + Hof;цвинтар;noun;фрідгоф
der Zoo;зоопарк;die Zoos;places;Zoo;зоопарк;noun;цо
die Bäckerei;пекарня;die Bäckereien;places;Bäckerei;пекарня;noun;бекерай
die Metzgerei;м'ясний магазин;die Metzgereien;places;Metzgerei;м'ясний магазин;noun;мецґерай
der Blumenladen;квітковий магазин;die Blumenläden;places;Blumen + Laden;квітковий магазин;noun;блуменладен
die Eisdiele;кафе-морозиво;die Eisdielen;places;Eis + Diele;кафе-морозиво;noun;айсділе
die Tankstelle;автозаправка;die Tankstellen;places;Tank + Stelle;автозаправка;noun;танкштелє
der Parkplatz;парковка;die Parkplätze;places;Park + Platz;парковка;noun;паркплац
die Ampel;світлофор;die Ampeln;places;Ampel;світлофор;noun;ампель
der Acker;поле (рілля);die Äcker;places;Acker;поле;noun;акер
die Alm;альпійський луг;die Almen;places;Alm;альпійський луг;noun;альм
der Bach;струмок;die Bäche;places;Bach;струмок;noun;бах
der Bauernhof;ферма;die Bauernhöfe;places;Bauer + Hof;селянин + двір;noun;бауернгоф
der Berg;гора;die Berge;places;Berg;гора;noun;берг
die Blumenwiese;квітковий луг;die Blumenwiesen;places;Blume + Wiese;квітка + луг;noun;блюменвізе
das Dorf;село;die Dörfer;places;Dorf;село;noun;дорф
die Dorfkirche;сільська церква;die Dorfkirchen;places;Dorf + Kirche;село + церква;noun;дорфкірхе
der Dünger;добриво;die Dünger;places;Dünger;добриво;noun;дюнгер
