der Mantel;пальто;die Mäntel;shopping;Mantel;пальто;noun;мантель
der Rock;спідниця;die Röcke;shopping;Rock;спідниця;noun;рок
die Bluse;блуза;die Blusen;shopping;Bluse;блуза;noun;блузе
das T-Shirt;футболка;die T-Shirts;shopping;T-Shirt;футболка;noun;тішерт
der Stiefel;чобіт;die Stiefel;shopping;Stiefel;чобіт;noun;штіфель
die Mütze;шапка;die Mützen;shopping;Mütze;шапка;noun;мютце
der Hut;капелюх;die Hüte;shopping;Hut;капелюх;noun;гут
der Handschuh;рукавичка;die Handschuhe;shopping;Handschuh;рукавичка;noun;гандшу
der Schal;шарф;die Schals;shopping;Schal;шарф;noun;шаль
die Kleidergröße;розмір одягу;die Kleidergrößen;shopping;Kleider + Größe;розмір одягу;noun;кляйдергрьосе
das Maß;мірка;die Maße;shopping;Maß;мірка;noun;мас
die Anprobe;примірка;die Anproben;shopping;Anprobe;примірка;noun;анпробе
der Stoff;тканина;die Stoffe;shopping;Stoff;тканина;noun;штоф
das Material;матеріал;die Materialien;shopping;Material;матеріал;noun;матеріал
die Baumwolle;бавовна;;shopping;Baumwolle;бавовна;noun;баумволле
die Seide;шовк;;shopping;Seide;шовк;noun;зайде
die Wolle;вовна;;shopping;Wolle;вовна;noun;волле
das Leder;шкіра;;shopping;Leder;шкіра;noun;ледер
der Gürtel;ремінь;die Gürtel;shopping;Gürtel;ремінь;noun;гюртель
die Krawatte;краватка;die Krawatten;shopping;Krawatte;краватка;noun;краватте
der Anzug;костюм;die Anzüge;shopping;Anzug;костюм;noun;анцуг
die Jeans;джинси;;shopping;Jeans;джинси;noun;джінс
die Shorts;шорти;;shopping;Shorts;шорти;noun;шортс
die Leggings;легенси;;shopping;Leggings;легенси;noun;леґінґс
der Pulli;светр;die Pullis;shopping;Pulli;светр;noun;пуллі
das Top;топ;die Tops;shopping;Top;топ;noun;топ
der Blazer;блейзер;die Blazer;shopping;Blazer;блейзер;noun;блейцер
die Strickjacke;в'язана кофта;die Strickjacken;shopping;Strick + Jacke;в'язана кофта;noun;штрікяке
die Strumpfhose;колготки;die Strumpfhosen;shopping;Strumpf + Hose;колготки;noun;штрумпфгозе
die Sandale;сандаля;die Sandalen;shopping;Sandale;сандаля;noun;зандале
der Badeanzug;купальник;die Badeanzüge;shopping;Bade + Anzug;купальник;noun;бадеанцуг
anprobieren;приміряти;;shopping;anprobieren (zu probieren);приміряти;verb (separable);анпробірен
passen;підходити;;shopping;passen;підходити;verb (weak);пасен
zurückgeben;повертати;;shopping;zurückgeben (zu geben);повертати;verb (separable);цурюкгебен
umtauschen;обмінювати;;shopping;umtauschen (zu tauschen);обмінювати;verb (separable);умтаушен
eng;тісний;;shopping;eng;тісний;adj;енг
weit;широкий;;shopping;weit;широкий;adj;вайт
der Einkaufswagen;візок для покупок;die Einkaufswagen;shopping;Einkauf + Wagen;візок для покупок;noun;айнкауфсваґен
der Korb;кошик;die Körbe;shopping;Korb;кошик;noun;корп
die Kreditkarte;кредитна картка;die Kreditkarten;shopping;Kredit + Karte;кредитна картка;noun;кредиткарте
die EC-Karte;дебетова картка;die EC-Karten;shopping;EC + Karte;дебетова картка;noun;ецекарте
das Bargeld;готівка;;shopping;Bar + Geld;готівка;noun;барґельд
der Bon;чек;die Bons;shopping;Bon;чек;noun;бон
der Kassenzettel;касовий чек;die Kassenzettel;shopping;Kasse + Zettel;касовий чек;noun;кассецетель
die Tüte;пакет;die Tüten;shopping;Tüte;пакет;noun;тюте
die Plastiktüte;пластиковий пакет;die Plastiktüten;shopping;Plastik + Tüte;пластиковий пакет;noun;пластиктюте
die Papiertüte;паперовий пакет;die Papiertüten;shopping;Papier + Tüte;паперовий пакет;noun;папіртюте
das Pfand;застава;die Pfänder;shopping;Pfand;застава;noun;пфант
die Pfandflasche;пляшка із заставою;die Pfandflaschen;shopping;Pfand + Flasche;пляшка із заставою;noun;пфантфлаше
der Leergutautomat;автомат для прийому тари;die Leergutautomaten;shopping;Leergut + Automat;автомат для прийому тари;noun;леерґутаутомат
der Einkaufszettel;список покупок;die Einkaufszettel;shopping;Einkauf + Zettel;список покупок;noun;айнкауфсцетель
das Sonderangebot;спеціальна пропозиція;die Sonderangebote;shopping;Sonder + Angebot;спеціальна пропозиція;noun;зондеранґебот
