die Journalistin;журналістка;die Journalistinnen;society;Journalistin;журналістка;noun;журналістін
die Schlagzeile;заголовок;die Schlagzeilen;society;Schlag + Zeile;заголовок;noun;шлагцайле
die Pressemitteilung;прес-реліз;die Pressemitteilungen;society;Presse + Mitteilung;прес-реліз;noun;пресеміттайлунг
die Meldung;повідомлення;die Meldungen;society;Meldung;повідомлення;noun;мельдунг
das Interview;інтерв'ю;die Interviews;society;Interview;інтерв'ю;noun;інтерв'ю
der Sender;канал;die Sender;society;Sender;канал;noun;зендер
das Programm;програма;die Programme;society;Programm;програма;noun;програм
der Rundfunk;радіомовлення;;society;Rundfunk;радіомовлення;noun;рундфунк
die Fernsehnachrichten;теленовини;;society;Fernsehen + Nachrichten;теленовини;noun;фернзеенахріхтен
die Radionachrichten;радіоновини;;society;Radio + Nachrichten;радіоновини;noun;радіонахріхтен
die Sendung;передача;die Sendungen;society;Sendung;передача;noun;зендунг
der Beitrag;внесок;die Beiträge;society;Beitrag;внесок;noun;байтрак
der Kommentar;коментар;die Kommentare;society;Kommentar;коментар;noun;коментар
die Kolumne;колонка;die Kolumnen;society;Kolumne;колонка;noun;колюмне
der Leser;читач;die Leser;society;Leser;читач;noun;лезер
die Leserin;читачка;die Leserinnen;society;Leserin;читачка;noun;лезерін
der Zuhörer;слухач;die Zuhörer;society;Zuhörer;слухач;noun;цухьорер
das Medium;медіа;die Medien;society;Medium;медіа;noun;медіум
das Radio;радіо;die Radios;society;Radio;радіо;noun;радіо
das Fernsehen;телебачення;;society;Fernsehen;телебачення;noun;фернзеен
die Presse;преса;;society;Presse;преса;noun;прессе
der Journalismus;журналістика;;society;Journalismus;журналістика;noun;журналісмус
die Veröffentlichung;публікація;die Veröffentlichungen;society;Veröffentlichung;публікація;noun;фероеффентліхунг
veröffentlichen;публікувати;;society;veröffentlichen;публікувати;verb (weak);фероеффентліхен
berichten;повідомляти;;society;berichten;повідомляти;verb (weak);беріхтен
senden;транслювати;;society;senden;транслювати;verb (weak);зенден
schauen;дивитися;;society;schauen;дивитися;verb (weak);шауен
hören;слухати;;society;hören;слухати;verb (weak);хьорен
kommentieren;коментувати;;society;kommentieren;коментувати;verb (weak);коментірен
beeinflussen;впливати;;society;beeinflussen;впливати;verb (weak);беайнфлюссен
informieren;інформувати;;society;informieren;інформувати;verb (weak);інформірен
teilen;ділитися;;society;teilen;ділитися;verb (weak);тайлен
liken;лайкати;;society;liken;лайкати;verb (weak);лайкен
aktuell;актуальний;;society;aktuell;актуальний;adj;актуелль
wichtig;важливий;;society;wichtig;важливий;adj;віхтіхь
falsch;хибний;;society;falsch;хибний;adj;фальш
objektiv;об'єктивний;;society;objektiv;об'єктивний;adj;об'єктів
subjektiv;суб'єктивний;;society;subjektiv;суб'єктивний;adj;суб'єктів
die Wahl;вибори;die Wahlen;society;Wahl;вибір;noun;валь
