el dormitorio;спальня;los dormitorios;house_and_home;dormitorio;спальня;noun;
el salón;вітальня;los salones;house_and_home;salón;вітальня;noun;
el comedor;їдальня;los comedores;house_and_home;comedor;їдальня;noun;
el pasillo;коридор;los pasillos;house_and_home;pasillo;коридор;noun;
la terraza;тераса;las terrazas;house_and_home;terraza;тераса;noun;
el balcón;балкон;los balcones;house_and_home;balcón;балкон;noun;
el jardín;сад;los jardines;house_and_home;jardín;сад;noun;
el garaje;гараж;los garajes;house_and_home;garaje;гараж;noun;
el sótano;підвал;los sótanos;house_and_home;sótano;підвал;noun;
el ático;горище;los áticos;house_and_home;ático;горище;noun;
la escalera;сходи;las escaleras;house_and_home;escalera;сходи;noun;
el armario;шафа;los armarios;house_and_home;armario;шафа;noun;
el colchón;матрац;los colchones;house_and_home;colchón;матрац;noun;
la sábana;простирадло;las sábanas;house_and_home;sábana;простирадло;noun;
la manta;ковдра;las mantas;house_and_home;manta;ковдра;noun;
el edredón;пухова ковдра;los edredones;house_and_home;edredón;пухова ковдра;noun;
la mesita de noche;нічний столик;las mesitas de noche;house_and_home;mesita de noche;нічний столик;noun;
el escritorio;письмовий стіл;los escritorios;house_and_home;escritorio;письмовий стіл;noun;
la silla;стілець;las sillas;house_and_home;silla;стілець;noun;
el sillón;крісло;los sillones;house_and_home;sillón;крісло;noun;
el sofá;диван;los sofás;house_and_home;sofá;диван;noun;
la mesa;стіл;las mesas;house_and_home;mesa;стіл;noun;
la estantería;книжкова полиця;las estanterías;house_and_home;estantería;книжкова полиця;noun;
el estante;полиця;los estantes;house_and_home;estante;полиця;noun;
la lámpara;лампа;las lámparas;house_and_home;lámpara;лампа;noun;
la cortina;завіса;las cortinas;house_and_home;cortina;завіса;noun;
la alfombra;килим;las alfombras;house_and_home;alfombra;килим;noun;
el espejo;дзеркало;los espejos;house_and_home;espejo;дзеркало;noun;
el cuadro;картина;los cuadros;house_and_home;cuadro;картина;noun;
la puerta;двері;las puertas;house_and_home;puerta;двері;noun;
la ventana;вікно;las ventanas;house_and_home;ventana;вікно;noun;
el enchufe;розетка;los enchufes;house_and_home;enchufe;розетка;noun;
el interruptor;вимикач;los interruptores;house_and_home;interruptor;вимикач;noun;
la lavadora;пральна машина;las lavadoras;house_and_home;lavadora;пральна машина;noun;
el lavavajillas;посудомийна машина;los lavavajillas;house_and_home;lavavajillas;посудомийна машина;noun;
el horno;духовка;los hornos;house_and_home;horno;духовка;noun;
el microondas;мікрохвильовка;los microondas;house_and_home;microondas;мікрохвильовка;noun;
la bañera;ванна;las bañeras;house_and_home;bañera;ванна;noun;
el lavabo;раковина;los lavabos;house_and_home;lavabo;раковина;noun;
el grifo;кран;los grifos;house_and_home;grifo;кран;noun;
el inodoro;унітаз;los inodoros;house_and_home;inodoro;унітаз;noun;
la cómoda;комод;las cómodas;house_and_home;cómoda;комод;noun;
el perchero;вішалка;los percheros;house_and_home;perchero;вішалка;noun;
la despensa;комора;las despensas;house_and_home;despensa;комора;noun;
la escoba;мітла;las escobas;house_and_home;escoba;мітла;noun;
el recogedor;совок;los recogedores;house_and_home;recogedor;совок;noun;
la fregona;швабра;las fregonas;house_and_home;fregona;швабра;noun;
el cubo;відро;los cubos;house_and_home;cubo;відро;noun;
la bayeta;ганчірка;las bayetas;house_and_home;bayeta;ганчірка;noun;
el detergente;мийний засіб;los detergentes;house_and_home;detergente;мийний засіб;noun;
la aspiradora;пилосос;las aspiradoras;house_and_home;aspiradora;пилосос;noun;
la plancha;праска;las planchas;house_and_home;plancha;праска;noun;
la tabla de planchar;прасувальна дошка;las tablas de planchar;house_and_home;tabla de planchar;прасувальна дошка;noun;
el tendedero;сушарка для білизни;los tendederos;house_and_home;tendedero;сушарка для білизни;noun;
la pinza de la ropa;прищіпка;las pinzas de la ropa;house_and_home;pinza de la ropa;прищіпка;noun;
el estropajo;мочалка;los estropajos;house_and_home;estropajo;мочалка;noun;
la esponja;губка;las esponjas;house_and_home;esponja;губка;noun;
el plumero;щітка для пилу;los plumeros;house_and_home;plumero;щітка для пилу;noun;
el desatascador;вантуз;los desatascadores;house_and_home;desatascador;вантуз;noun;
el cubo de basura;відро для сміття;los cubos de basura;house_and_home;cubo de basura;відро для сміття;noun;
la bolsa de basura;сміттєвий пакет;las bolsas de basura;house_and_home;bolsa de basura;сміттєвий пакет;noun;
el cepillo;щітка;los cepillos;house_and_home;cepillo;щітка;noun;
la lejía;відбілювач;las lejías;house_and_home;lejía;відбілювач;noun;
el quitamanchas;засіб для виведення плям;los quitamanchas;house_and_home;quitamanchas;засіб для виведення плям;noun;
el martillo;молоток;los martillos;house_and_home;martillo;молоток;noun;
el destornillador;викрутка;los destornilladores;house_and_home;destornillador;викрутка;noun;
la llave inglesa;гайковий ключ;las llaves inglesas;house_and_home;llave inglesa;гайковий ключ;noun;
los alicates;плоскогубці;los alicates;house_and_home;alicate;плоскогубці;noun;
la cinta métrica;рулетка;las cintas métricas;house_and_home;cinta métrica;рулетка;noun;
el taladro;дриль;los taladros;house_and_home;taladro;дриль;noun;
el fusible;запобіжник;los fusibles;house_and_home;fusible;запобіжник;noun;
la herramienta;інструмент;las herramientas;house_and_home;herramienta;інструмент;noun;
limpiar;прибирати;;house_and_home;limpiar;прибирати;verb (-ar);
barrer;підмітати;;house_and_home;barrer;підмітати;verb (-er);
fregar;мити підлогу;;house_and_home;fregar;мити підлогу;verb (-ar);
aspirar;пилососити;;house_and_home;aspirar;пилососити;verb (-ar);
planchar;прасувати;;house_and_home;planchar;прасувати;verb (-ar);
tender;вішати білизну;;house_and_home;tender;вішати білизну;verb (-er);
lavar;прати;;house_and_home;lavar;прати;verb (-ar);
secar;сушити;;house_and_home;secar;сушити;verb (-ar);
desempolvar;витирати пил;;house_and_home;desempolvar;витирати пил;verb (-ar);
doblar;складати;;house_and_home;doblar;складати;verb (-ar);
ordenar;упорядковувати;;house_and_home;ordenar;упорядковувати;verb (-ar);
reparar;ремонтувати;;house_and_home;reparar;ремонтувати;verb (-ar);
arreglar;лагодити;;house_and_home;arreglar;лагодити;verb (-ar);
pintar;фарбувати;;house_and_home;pintar;фарбувати;verb (-ar);
colgar;вішати;;house_and_home;colgar;вішати;verb (-ar);
desatascar;прочищати;;house_and_home;desatascar;прочищати;verb (-ar);
cambiar;змінювати;;house_and_home;cambiar;змінювати;verb (-ar);
el alquiler;оренда;los alquileres;house_and_home;alquiler;оренда;noun;
la renta;квартплата;las rentas;house_and_home;renta;квартплата;noun;
la fianza;завдаток;las fianzas;house_and_home;fianza;завдаток;noun;
el contrato de alquiler;договір оренди;los contratos de alquiler;house_and_home;contrato de alquiler;договір оренди;noun;
la hipoteca;іпотека;las hipotecas;house_and_home;hipoteca;іпотека;noun;
el préstamo hipotecario;іпотечний кредит;los préstamos hipotecarios;house_and_home;préstamo hipotecario;іпотечний кредит;noun;
la entrada;початковий внесок;las entradas;house_and_home;entrada;початковий внесок;noun;
la tasación;оцінка;las tasaciones;house_and_home;tasación;оцінка;noun;
la escritura;свідоцтво про власність;las escrituras;house_and_home;escritura;свідоцтво про власність;noun;
el notario;нотаріус;los notarios;house_and_home;notario;нотаріус;noun;
la inmobiliaria;агентство нерухомості;las inmobiliarias;house_and_home;inmobiliaria;агентство нерухомості;noun;
el agente inmobiliario;агент з нерухомості;los agentes inmobiliarios;house_and_home;agente inmobiliario;агент з нерухомості;noun;
el propietario;власник;los propietarios;house_and_home;propietario;власник;noun;
el inquilino;орендар;los inquilinos;house_and_home;inquilino;орендар;noun;
el casero;орендодавець;los caseros;house_and_home;casero;орендодавець;noun;
la vivienda;житло;las viviendas;house_and_home;vivienda;житло;noun;
el piso;квартира;los pisos;house_and_home;piso;квартира;noun;
el apartamento;апартаменти;los apartamentos;house_and_home;apartamento;апартаменти;noun;
la casa;будинок;las casas;house_and_home;casa;будинок;noun;
el seguro de hogar;страхування житла;los seguros de hogar;house_and_home;seguro de hogar;страхування житла;noun;
la comisión;комісія;las comisiones;house_and_home;comisión;комісія;noun;
los gastos;витрати;;house_and_home;gasto;витрата;noun;
el impuesto;податок;los impuestos;house_and_home;impuesto;податок;noun;
la plusvalía;приріст вартості;las plusvalías;house_and_home;plusvalía;приріст вартості;noun;
el préstamo;кредит;los préstamos;house_and_home;préstamo;кредит;noun;
la cuota;платіж;las cuotas;house_and_home;cuota;платіж;noun;
el interés;відсоток;los intereses;house_and_home;interés;відсоток;noun;
el tipo de interés;відсоткова ставка;los tipos de interés;house_and_home;tipo de interés;відсоткова ставка;noun;
la amortización;амортизація;las amortizaciones;house_and_home;amortización;амортизація;noun;
el plazo;строк;los plazos;house_and_home;plazo;строк;noun;
la cláusula;пункт;las cláusulas;house_and_home;cláusula;пункт;noun;
el desahucio;виселення;los desahucios;house_and_home;desahucio;виселення;noun;
la renovación;продовження;las renovaciones;house_and_home;renovación;продовження;noun;
la rescisión;розірвання;las rescisiones;house_and_home;rescisión;розірвання;noun;
el subarriendo;суборенда;los subarriendos;house_and_home;subarriendo;суборенда;noun;
el fiador;поручитель;los fiadores;house_and_home;fiador;поручитель;noun;
alquilar;орендувати;;house_and_home;alquilar;орендувати;verb (-ar);
comprar;купувати;;house_and_home;comprar;купувати;verb (-ar);
vender;продавати;;house_and_home;vender;продавати;verb (-er);
hipotecar;іпотекувати;;house_and_home;hipotecar;іпотекувати;verb (-ar);
mudarse;переїжджати;;house_and_home;mudar;переїжджати;verb (-ar);
renovar;продовжувати;;house_and_home;renovar;продовжувати;verb (-ar);
rescindir;розривати;;house_and_home;rescindir;розривати;verb (-ir);
pagar;платити;;house_and_home;pagar;платити;verb (-ar);
firmar;підписувати;;house_and_home;firmar;підписувати;verb (-ar);
negociar;вести переговори;;house_and_home;negociar;вести переговори;verb (-ar);
tasar;оцінювати;;house_and_home;tasar;оцінювати;verb (-ar);
asegurar;страхувати;;house_and_home;asegurar;страхувати;verb (-ar);
amueblado;мебльований;;house_and_home;amueblado;мебльований;adj;
vacío;порожній;;house_and_home;vacío;порожній;adj;
el barrio;район;los barrios;house_and_home;barrio;район;noun;
la calle;вулиця;las calles;house_and_home;calle;вулиця;noun;
la avenida;проспект;las avenidas;house_and_home;avenida;проспект;noun;
el callejón;провулок;los callejones;house_and_home;callejón;провулок;noun;
la acera;тротуар;las aceras;house_and_home;acera;тротуар;noun;
la plaza;площа;las plazas;house_and_home;plaza;площа;noun;
el parque;парк;los parques;house_and_home;parque;парк;noun;
el árbol;дерево;los árboles;house_and_home;árbol;дерево;noun;
la farola;ліхтар;las farolas;house_and_home;farola;ліхтар;noun;
la papelera;урна;las papeleras;house_and_home;papelera;урна;noun;
el banco;лавка;los bancos;house_and_home;banco;лавка;noun;
la fuente;фонтан;las fuentes;house_and_home;fuente;фонтан;noun;
la parada;зупинка;las paradas;house_and_home;parada;зупинка;noun;
la estación;станція;las estaciones;house_and_home;estación;станція;noun;
el metro;метро;los metros;house_and_home;metro;метро;noun;
el supermercado;супермаркет;los supermercados;house_and_home;supermercado;супермаркет;noun;
la tienda;магазин;las tiendas;house_and_home;tienda;магазин;noun;
la panadería;пекарня;las panaderías;house_and_home;panadería;пекарня;noun;
la farmacia;аптека;las farmacias;house_and_home;farmacia;аптека;noun;
la biblioteca;бібліотека;las bibliotecas;house_and_home;biblioteca;бібліотека;noun;
la escuela;школа;las escuelas;house_and_home;escuela;школа;noun;
el hospital;лікарня;los hospitales;house_and_home;hospital;лікарня;noun;
la iglesia;церква;las iglesias;house_and_home;iglesia;церква;noun;
la comisaría;поліцейський відділок;las comisarías;house_and_home;comisaría;поліцейський відділок;noun;
el mercado;ринок;los mercados;house_and_home;mercado;ринок;noun;
el centro comercial;торговий центр;los centros comerciales;house_and_home;centro comercial;торговий центр;noun;
el quiosco;кіоск;los quioscos;house_and_home;quiosco;кіоск;noun;
el semáforo;світлофор;los semáforos;house_and_home;semáforo;світлофор;noun;
el cruce;перехрестя;los cruces;house_and_home;cruce;перехрестя;noun;
la esquina;ріг;las esquinas;house_and_home;esquina;ріг;noun;
la manzana;квартал;las manzanas;house_and_home;manzana;квартал;noun;
el edificio;будівля;los edificios;house_and_home;edificio;будівля;noun;
el vecino;сусід;los vecinos;house_and_home;vecino;сусід;noun;
el buzón;поштова скринька;los buzones;house_and_home;buzón;поштова скринька;noun;
la salida;вихід;las salidas;house_and_home;salida;вихід;noun;
la piscina;басейн;las piscinas;house_and_home;piscina;басейн;noun;
el gimnasio;спортзал;los gimnasios;house_and_home;gimnasio;спортзал;noun;
la lavandería;пральня;las lavanderías;house_and_home;lavandería;пральня;noun;
el estanco;тютюнова крамниця;los estancos;house_and_home;estanco;тютюнова крамниця;noun;
la peluquería;перукарня;las peluquerías;house_and_home;peluquería;перукарня;noun;
el cine;кінотеатр;los cines;house_and_home;cine;кінотеатр;noun;
el teatro;театр;los teatros;house_and_home;teatro;театр;noun;
el restaurante;ресторан;los restaurantes;house_and_home;restaurante;ресторан;noun;
la cafetería;кафе;las cafeterías;house_and_home;cafetería;кафе;noun;
