la conjunción;сполучник;las conjunciones;language;conjunción;сполучник;noun;
la interjección;вигук;las interjecciones;language;interjección;вигук;noun;
el pronombre;займенник;los pronombres;language;pronombre;займенник;noun;
el artículo;артикль;los artículos;language;artículo;артикль;noun;
el género;рід;los géneros;language;género;рід;noun;
el singular;однина;los singulares;language;singular;однина;noun;
el plural;множина;los plurales;language;plural;множина;noun;
el caso;відмінок;los casos;language;caso;відмінок;noun;
la declinación;відмінювання;las declinaciones;language;declinación;відмінювання;noun;
el tiempo;час;los tiempos;language;tiempo;час;noun;
el presente;теперішній час;los presentes;language;presente;теперішній час;noun;
el pasado;минулий час;los pasados;language;pasado;минулий час;noun;
el futuro;майбутній час;los futuros;language;futuro;майбутній час;noun;
el modo;спосіб;los modos;language;modo;спосіб;noun;
el indicativo;дійсний спосіб;los indicativos;language;indicativo;дійсний спосіб;noun;
el subjuntivo;суб'юнктив;los subjuntivos;language;subjuntivo;суб'юнктив;noun;
el imperativo;наказовий спосіб;los imperativos;language;imperativo;наказовий спосіб;noun;
el infinitivo;інфінітив;los infinitivos;language;infinitivo;інфінітив;noun;
el gerundio;герундій;los gerundios;language;gerundio;герундій;noun;
el participio;дієприкметник;los participios;language;participio;дієприкметник;noun;
la voz;стан;las voces;language;voz;стан;noun;
la voz activa;активний стан;las voces activas;language;voz activa;активний стан;noun;
la voz pasiva;пасивний стан;las voces pasivas;language;voz pasiva;пасивний стан;noun;
el sujeto;підмет;los sujetos;language;sujeto;підмет;noun;
el predicado;присудок;los predicados;language;predicado;присудок;noun;
el complemento;додаток;los complementos;language;complemento;додаток;noun;
el objeto directo;прямий додаток;los objetos directos;language;objeto directo;прямий додаток;noun;
el objeto indirecto;непрямий додаток;los objetos indirectos;language;objeto indirecto;непрямий додаток;noun;
la oración;речення;las oraciones;language;oración;речення;noun;
el sintagma;словосполучення;los sintagmas;language;sintagma;словосполучення;noun;
el nombre;іменник;los nombres;language;nombre;іменник;noun;
el adjetivo demostrativo;вказівний прикметник;los adjetivos demostrativos;language;adjetivo demostrativo;вказівний прикметник;noun;
el adjetivo posesivo;присвійний прикметник;los adjetivos posesivos;language;adjetivo posesivo;присвійний прикметник;noun;
el pronombre personal;особовий займенник;los pronombres personales;language;pronombre personal;особовий займенник;noun;
el pronombre reflexivo;зворотний займенник;los pronombres reflexivos;language;pronombre reflexivo;зворотний займенник;noun;
la concordancia;узгодження;las concordancias;language;concordancia;узгодження;noun;
el acento;наголос;los acentos;language;acento;наголос;noun;
la tilde;знак наголосу;las tildes;language;tilde;знак наголосу;noun;
la barrera lingüística;мовний бар'єр;las barreras lingüísticas;language;barrera lingüística;мовний бар'єр;noun;
la interpretación;інтерпретація;las interpretaciones;language;interpretación;інтерпретація;noun;
la traducción;переклад;las traducciones;language;traducción;переклад;noun;
el ruido;шум;los ruidos;language;ruido;шум;noun;
el silencio;тиша;los silencios;language;silencio;тиша;noun;
la tartamudez;заїкання;;language;tartamudez;заїкання;noun;
el gesto;жест;los gestos;language;gesto;жест;noun;
el hablante;мовець;los hablantes;language;hablante;мовець;noun;
el oyente;слухач;los oyentes;language;oyente;слухач;noun;
