la carretera;дорога;las carreteras;places;carretera;дорога;noun;
la clínica;клініка;las clínicas;places;clínica;клініка;noun;
el bar;бар;los bares;places;bar;бар;noun;
la pescadería;рибний магазин;las pescaderías;places;pescadería;рибний магазин;noun;
la verdulería;овочевий магазин;las verdulerías;places;verdulería;овочевий магазин;noun;
el zoológico;зоопарк;los zoológicos;places;zoológico;зоопарк;noun;
el ayuntamiento;мерія;los ayuntamientos;places;ayuntamiento;мерія;noun;
la embajada;посольство;las embajadas;places;embajada;посольство;noun;
el consulado;консульство;los consulados;places;consulado;консульство;noun;
el instituto;ліцей;los institutos;places;instituto;ліцей;noun;
el campo;поле;los campos;places;campo;поле;noun;
la granja;ферма;las granjas;places;granja;ферма;noun;
el río;річка;los ríos;places;río;річка;noun;
la montaña;гора;las montañas;places;montaña;гора;noun;
la colina;пагорб;las colinas;places;colina;пагорб;noun;
el bosque;ліс;los bosques;places;bosque;ліс;noun;
el sendero;стежка;los senderos;places;sendero;стежка;noun;
el lago;озеро;los lagos;places;lago;озеро;noun;
la aldea;село;las aldeas;places;aldea;село;noun;
el pueblo;містечко;los pueblos;places;pueblo;містечко;noun;
el camino;дорога;los caminos;places;camino;дорога;noun;
la pradera;луг;las praderas;places;pradera;луг;noun;
el granero;амбар;los graneros;places;granero;амбар;noun;
el molino;млин;los molinos;places;molino;млин;noun;
la cascada;водоспад;las cascadas;places;cascada;водоспад;noun;
el arroyo;струмок;los arroyos;places;arroyo;струмок;noun;
el valle;долина;los valles;places;valle;долина;noun;
la cueva;печера;las cuevas;places;cueva;печера;noun;
la charca;ставок;las charcas;places;charca;ставок;noun;
el establo;стайня;los establos;places;establo;стайня;noun;
el corral;загін;los corrales;places;corral;загін;noun;
la huerta;город;las huertas;places;huerta;город;noun;
el manantial;джерело;los manantiales;places;manantial;джерело;noun;
la arboleda;гай;las arboledas;places;arboleda;гай;noun;
el matorral;чагарник;los matorrales;places;matorral;чагарник;noun;
la llanura;рівнина;las llanuras;places;llanura;рівнина;noun;
la ladera;схил;las laderas;places;ladera;схил;noun;
la cima;вершина;las cimas;places;cima;вершина;noun;
el barranco;яр;los barrancos;places;barranco;яр;noun;
el pantano;болото;los pantanos;places;pantano;болото;noun;
la finca;маєток;las fincas;places;finca;маєток;noun;
la ermita;каплиця;las ermitas;places;ermita;каплиця;noun;
el huerto;сад;los huertos;places;huerto;сад;noun;
rural;сільський;;places;rural;сільський;adj;
verde;зелений;;places;verde;зелений;adj;
fértil;родючий;;places;fértil;родючий;adj;
agrícola;сільськогосподарський;;places;agrícola;сільськогосподарський;adj;
cultivar;вирощувати;;places;cultivar;вирощувати;verb (-ar);
sembrar;сіяти;;places;sembrar;сіяти;verb (-ar);
cosechar;збирати врожай;;places;cosechar;збирати врожай;verb (-ar);
pastar;пасти;;places;pastar;пасти;verb (-ar);
ordeñar;доїти;;places;ordeñar;доїти;verb (-ar);
recolectar;збирати;;places;recolectar;збирати;verb (-ar);
regar;поливати;;places;regar;поливати;verb (-ar);
arar;орати;;places;arar;орати;verb (-ar);
plantar;садити;;places;plantar;садити;verb (-ar);
criar;розводити;;places;criar;розводити;verb (-ar);
el continente;континент;los continentes;places;continente;континент;noun;
el país;країна;los países;places;país;країна;noun;
la ciudad;місто;las ciudades;places;ciudad;місто;noun;
el océano;океан;los océanos;places;océano;океан;noun;
el mar;море;los mares;places;mar;море;noun;
la meseta;плато;las mesetas;places;meseta;плато;noun;
el desierto;пустеля;los desiertos;places;desierto;пустеля;noun;
la selva;джунглі;las selvas;places;selva;джунглі;noun;
la costa;узбережжя;las costas;places;costa;узбережжя;noun;
la playa;пляж;las playas;places;playa;пляж;noun;
la isla;острів;las islas;places;isla;острів;noun;
la península;півострів;las penínsulas;places;península;півострів;noun;
el volcán;вулкан;los volcanes;places;volcán;вулкан;noun;
el glaciar;льодовик;los glaciares;places;glaciar;льодовик;noun;
el cañón;каньйон;los cañones;places;cañón;каньйон;noun;
el cabo;мис;los cabos;places;cabo;мис;noun;
la bahía;бухта;las bahías;places;bahía;бухта;noun;
el golfo;затока;los golfos;places;golfo;затока;noun;
el istmo;перешийок;los istmos;places;istmo;перешийок;noun;
la frontera;кордон;las fronteras;places;frontera;кордон;noun;
el límite;межа;los límites;places;límite;межа;noun;
la región;регіон;las regiones;places;región;регіон;noun;
el territorio;територія;los territorios;places;territorio;територія;noun;
el clima;клімат;los climas;places;clima;клімат;noun;
la población;населення;las poblaciones;places;población;населення;noun;
la capital;столиця;las capitales;places;capital;столиця;noun;
el paisaje;пейзаж;los paisajes;places;paisaje;пейзаж;noun;
el terreno;рельєф;los terrenos;places;terreno;рельєф;noun;
el norte;північ;;places;norte;північ;noun;
el sur;південь;;places;sur;південь;noun;
el este;схід;;places;este;схід;noun;
el oeste;захід;;places;oeste;захід;noun;
la brújula;компас;las brújulas;places;brújula;компас;noun;
el globo;глобус;los globos;places;globo;глобус;noun;
el atlas;атлас;los atlas;places;atlas;атлас;noun;
la coordenada;координата;las coordenadas;places;coordenada;координата;noun;
la señal;знак;las señales;places;señal;знак;noun;
la izquierda;ліва сторона;;places;izquierda;ліва сторона;noun;
