la amiga;подруга;las amigas;relationships;amiga;подруга;noun;
la amistad;дружба;;relationships;amistad;дружба;noun;
la confianza;довіра;;relationships;confianza;довіра;noun;
el apoyo;підтримка;;relationships;apoyo;підтримка;noun;
la lealtad;вірність;;relationships;lealtad;вірність;noun;
la sinceridad;щирість;;relationships;sinceridad;щирість;noun;
el secreto;секрет;los secretos;relationships;secreto;секрет;noun;
el chisme;плітка;los chismes;relationships;chisme;плітка;noun;
la pelea;сварка;las peleas;relationships;pelea;сварка;noun;
la reconciliación;примирення;;relationships;reconciliación;примирення;noun;
la disculpa;вибачення;las disculpas;relationships;disculpa;вибачення;noun;
el consejo;порада;los consejos;relationships;consejo;порада;noun;
la promesa;обіцянка;las promesas;relationships;promesa;обіцянка;noun;
la mentira;брехня;las mentiras;relationships;mentira;брехня;noun;
la verdad;правда;las verdades;relationships;verdad;правда;noun;
el respeto;повага;;relationships;respeto;повага;noun;
el cariño;ніжність;;relationships;cariño;ніжність;noun;
la ayuda;допомога;;relationships;ayuda;допомога;noun;
el abrazo;обійми;los abrazos;relationships;abrazo;обійми;noun;
el grupo;група;los grupos;relationships;grupo;група;noun;
confiar;довіряти;;relationships;confiar;довіряти;verb (-ar);
apoyar;підтримувати;;relationships;apoyar;підтримувати;verb (-ar);
ayudar;допомагати;;relationships;ayudar;допомагати;verb (-ar);
perdonar;прощати;;relationships;perdonar;прощати;verb (-ar);
disculpar;вибачати;;relationships;disculpar;вибачати;verb (-ar);
mentir;брехати;;relationships;mentir;брехати;verb (-ir);
prometer;обіцяти;;relationships;prometer;обіцяти;verb (-er);
pelear;сваритися;;relationships;pelear;сваритися;verb (-ar);
reconciliar;примиряти;;relationships;reconciliar;примиряти;verb (-ar);
aconsejar;радити;;relationships;aconsejar;радити;verb (-ar);
respetar;поважати;;relationships;respetar;поважати;verb (-ar);
leal;вірний;;relationships;leal;вірний;adj;
sincero;щирий;;relationships;sincero;щирий;adj;
confiable;надійний;;relationships;confiable;надійний;adj;
juntos;разом;;relationships;junto;разом;adv;
la fiesta;вечірка;las fiestas;relationships;fiesta;вечірка;noun;
el invitado;гість;los invitados;relationships;invitado;гість;noun;
la invitación;запрошення;las invitaciones;relationships;invitación;запрошення;noun;
el conocido;знайомий;los conocidos;relationships;conocido;знайомий;noun;
la conversación;розмова;las conversaciones;relationships;conversación;розмова;noun;
el regalo;подарунок;los regalos;relationships;regalo;подарунок;noun;
la bebida;напій;las bebidas;relationships;bebida;напій;noun;
la copa;келих;las copas;relationships;copa;келих;noun;
el brindis;тост;los brindis;relationships;brindis;тост;noun;
la risa;сміх;las risas;relationships;risa;сміх;noun;
la charla;бесіда;las charlas;relationships;charla;бесіда;noun;
el saludo;привітання;los saludos;relationships;saludo;привітання;noun;
la despedida;прощання;las despedidas;relationships;despedida;прощання;noun;
el anfitrión;господар;los anfitriones;relationships;anfitrión;господар;noun;
la anfitriona;господиня;las anfitrionas;relationships;anfitriona;господиня;noun;
la compañera;товаришка;las compañeras;relationships;compañera;товаришка;noun;
el chiste;жарт;los chistes;relationships;chiste;жарт;noun;
la diversión;розвага;las diversiones;relationships;diversión;розвага;noun;
celebrar;святкувати;;relationships;celebrar;святкувати;verb (-ar);
invitar;запрошувати;;relationships;invitar;запрошувати;verb (-ar);
conversar;розмовляти;;relationships;conversar;розмовляти;verb (-ar);
reír;сміятися;;relationships;reír;сміятися;verb (-ir);
divertirse;розважатися;;relationships;divertir;розважатися;verb (-ir);
brindar;проголошувати тост;;relationships;brindar;проголошувати тост;verb (-ar);
organizar;організовувати;;relationships;organizar;організовувати;verb (-ar);
disfrutar;насолоджуватися;;relationships;disfrutar;насолоджуватися;verb (-ar);
felicitar;вітати;;relationships;felicitar;вітати;verb (-ar);
conocer;знайомитися;;relationships;conocer;знайомитися;verb (-er);
quedar;домовлятися про зустріч;;relationships;quedar;домовлятися про зустріч;verb (-ar);
acompañar;супроводжувати;;relationships;acompañar;супроводжувати;verb (-ar);
amistoso;дружній;;relationships;amistoso;дружній;adj;
animado;жвавий;;relationships;animado;жвавий;adj;
ruidoso;гучний, шумний;;relationships;ruidoso;гучний, шумний;adj;
tranquilo;спокійний;;relationships;tranquilo;спокійний;adj;
formal;формальний;;relationships;formal;формальний;adj;
informal;неформальний;;relationships;informal;неформальний;adj;
el conflicto;конфлікт;los conflictos;relationships;conflicto;конфлікт;noun;
la discusión;дискусія;las discusiones;relationships;discusión;дискусія;noun;
el malentendido;непорозуміння;los malentendidos;relationships;malentendido;непорозуміння;noun;
la ofensa;образа;las ofensas;relationships;ofensa;образа;noun;
el insulto;образа;los insultos;relationships;insulto;образа;noun;
el grito;крик;los gritos;relationships;grito;крик;noun;
el llanto;плач;;relationships;llanto;плач;noun;
la culpa;вина;;relationships;culpa;вина;noun;
la vergüenza;сором;;relationships;vergüenza;сором;noun;
la excusa;виправдання;las excusas;relationships;excusa;виправдання;noun;
el arrepentimiento;каяття;;relationships;arrepentimiento;каяття;noun;
el enfado;гнів;;relationships;enfado;гнів;noun;
el enojo;гнів;;relationships;enojo;гнів;noun;
el rencor;злість;;relationships;rencor;злість;noun;
el beso;поцілунок;los besos;relationships;beso;поцілунок;noun;
la comprensión;розуміння;;relationships;comprensión;розуміння;noun;
ofender;ображати;;relationships;ofender;ображати;verb (-er);
insultar;ображати;;relationships;insultar;ображати;verb (-ar);
gritar;кричати;;relationships;gritar;кричати;verb (-ar);
quejarse;скаржитися;;relationships;quejar;скаржити;verb (-ar);
arrepentirse;каятися;;relationships;arrepentir;каяти;verb (-ir);
enfadarse;сердитися;;relationships;enfadar;сердити;verb (-ar);
enojarse;сердитися;;relationships;enojar;сердити;verb (-ar);
llorar;плакати;;relationships;llorar;плакати;verb (-ar);
criticar;критикувати;;relationships;criticar;критикувати;verb (-ar);
evitar;уникати;;relationships;evitar;уникати;verb (-ar);
ignorar;ігнорувати;;relationships;ignorar;ігнорувати;verb (-ar);
culpar;звинувачувати;;relationships;culpar;звинувачувати;verb (-ar);
excusar;виправдовувати;;relationships;excusar;виправдовувати;verb (-ar);
comprender;розуміти;;relationships;comprender;розуміти;verb (-er);
pedir;просити;;relationships;pedir;просити;verb (-ir);
