el depósito;депозит;los depósitos;services;depósito;депозит;noun;
el retiro;зняття;los retiros;services;retiro;зняття;noun;
la tasa de cambio;обмінний курс;las tasas de cambio;services;tasa de cambio;обмінний курс;noun;
la oficina de correos;поштове відділення;las oficinas de correos;services;oficina de correos;поштове відділення;noun;
el sello;марка;los sellos;services;sello;марка;noun;
el sobre;конверт;los sobres;services;sobre;конверт;noun;
el paquete;посилка;los paquetes;services;paquete;посилка;noun;
el correo;пошта;los correos;services;correo;пошта;noun;
el cartero;листоноша;los carteros;services;cartero;листоноша;noun;
el código postal;поштовий індекс;los códigos postales;services;código postal;поштовий індекс;noun;
la transferencia;переказ;las transferencias;services;transferencia;переказ;noun;
el extracto bancario;банківська виписка;los extractos bancarios;services;extracto bancario;банківська виписка;noun;
el talonario de cheques;чекова книжка;los talonarios de cheques;services;talonario de cheques;чекова книжка;noun;
la libreta de ahorros;ощадна книжка;las libretas de ahorros;services;libreta de ahorros;ощадна книжка;noun;
el PIN;ПІН-код;los PIN;services;PIN;ПІН-код;noun;
la contraseña;пароль;las contraseñas;services;contraseña;пароль;noun;
la ventanilla;віконце;las ventanillas;services;ventanilla;віконце;noun;
la firma;підпис;las firmas;services;firma;підпис;noun;
el titular de la cuenta;власник рахунку;los titulares de la cuenta;services;titular de la cuenta;власник рахунку;noun;
el beneficiario;отримувач;los beneficiarios;services;beneficiario;отримувач;noun;
el giro postal;поштовий переказ;los giros postales;services;giro postal;поштовий переказ;noun;
la estampilla;марка;las estampillas;services;estampilla;марка;noun;
el apartado de correos;абонентська скринька;los apartados de correos;services;apartado de correos;абонентська скринька;noun;
el franqueo;франкування;;services;franqueo;франкування;noun;
depositar;вносити;;services;depositar;вносити;verb (-ar);
el peluquero;перукар;los peluqueros;services;peluquero;перукар;noun;
el corte;стрижка;los cortes;services;corte;стрижка;noun;
el peinado;зачіска;los peinados;services;peinado;зачіска;noun;
la tijera;ножиці;las tijeras;services;tijera;ножиці;noun;
el secador;фен;los secadores;services;secador;фен;noun;
el acondicionador;кондиціонер;los acondicionadores;services;acondicionador;кондиціонер;noun;
el tinte;фарба;los tintes;services;tinte;фарба;noun;
la permanente;хімічна завивка;las permanentes;services;permanente;хімічна завивка;noun;
el rizador;плойка;los rizadores;services;rizador;плойка;noun;
las tenacillas;щипці для завивки;;services;tenacillas;щипці для завивки;noun;
la capa;накидка;las capas;services;capa;накидка;noun;
el flequillo;чубчик;los flequillos;services;flequillo;чубчик;noun;
la raya;проділ;las rayas;services;raya;проділ;noun;
la trenza;коса;las trenzas;services;trenza;коса;noun;
el moño;пучок;los moños;services;moño;пучок;noun;
el rizo;локон;los rizos;services;rizo;локон;noun;
la mecha;пасмо;las mechas;services;mecha;пасмо;noun;
la melena;довге волосся;las melenas;services;melena;довге волосся;noun;
la barba;борода;las barbas;services;barba;борода;noun;
el bigote;вуса;los bigotes;services;bigote;вуса;noun;
la laca;лак для волосся;las lacas;services;laca;лак для волосся;noun;
el gel;гель;los geles;services;gel;гель;noun;
la espuma;пінка;las espumas;services;espuma;пінка;noun;
la cera;віск;las ceras;services;cera;віск;noun;
