la noticia;новина;las noticias;society;noticia;новина;noun;
el periódico;газета;los periódicos;society;periódico;газета;noun;
la revista;журнал;las revistas;society;revista;журнал;noun;
el titular;заголовок;los titulares;society;titular;заголовок;noun;
la prensa;преса;;society;prensa;преса;noun;
el canal;канал;los canales;society;canal;канал;noun;
el programa;програма;los programas;society;programa;програма;noun;
el reportaje;репортаж;los reportajes;society;reportaje;репортаж;noun;
el lector;читач;los lectores;society;lector;читач;noun;
la audiencia;аудиторія;las audiencias;society;audiencia;аудиторія;noun;
la información;інформація;;society;información;інформація;noun;
el editorial;передовиця;los editoriales;society;editorial;передовиця;noun;
el reportero;репортер;los reporteros;society;reportero;репортер;noun;
la publicación;публікація;las publicaciones;society;publicación;публікація;noun;
la agencia;агенція;las agencias;society;agencia;агенція;noun;
el corresponsal;кореспондент;los corresponsales;society;corresponsal;кореспондент;noun;
la suscripción;підписка;las suscripciones;society;suscripción;підписка;noun;
el noticiero;випуск новин;los noticieros;society;noticiero;випуск новин;noun;
el blog;блог;los blogs;society;blog;блог;noun;
la red;мережа;las redes;society;red;мережа;noun;
la cobertura;висвітлення;las coberturas;society;cobertura;висвітлення;noun;
informar;інформувати;;society;informar;інформувати;verb (-ar);
publicar;публікувати;;society;publicar;публікувати;verb (-ar);
transmitir;транслювати;;society;transmitir;транслювати;verb (-ir);
suscribir;підписувати;;society;suscribir;підписувати;verb (-ir);
informativo;інформативний;;society;informativo;інформативний;adj;
sensacionalista;сенсаційний;;society;sensacionalista;сенсаційний;adj;
veraz;правдивий;;society;veraz;правдивий;adj;
objetivo;об'єктивний;;society;objetivo;об'єктивний;adj;
digital;цифровий;;society;digital;цифровий;adj;
impreso;друкований;;society;impreso;друкований;adj;
directo;прямий;;society;directo;прямий;adj;
actualmente;наразі;;society;actualmente;наразі;adv;
recientemente;нещодавно;;society;recientemente;нещодавно;adv;
diariamente;щодня;;society;diariamente;щодня;adv;
el voto;голос;los votos;society;voto;голос;noun;
la urna;урна;las urnas;society;urna;урна;noun;
el partido político;політична партія;los partidos políticos;society;partido político;політична партія;noun;
la campaña electoral;виборча кампанія;las campañas electorales;society;campaña electoral;виборча кампанія;noun;
el gobierno;уряд;los gobiernos;society;gobierno;уряд;noun;
la elección;вибори;las elecciones;society;elección;вибори;noun;
la democracia;демократія;las democracias;society;democracia;демократія;noun;
el referéndum;референдум;los referéndums;society;referéndum;референдум;noun;
la ley;закон;las leyes;society;ley;закон;noun;
la constitución;конституція;las constituciones;society;constitución;конституція;noun;
el parlamento;парламент;los parlamentos;society;parlamento;парламент;noun;
el senado;сенат;los senados;society;senado;сенат;noun;
el diputado;депутат;los diputados;society;diputado;депутат;noun;
el presidente;президент;los presidentes;society;presidente;президент;noun;
