matka;мати;matki;personal_info;matka;мати;noun;
ojciec;батько;ojcowie;personal_info;ojciec;батько;noun;
córka;дочка;córki;personal_info;córka;дочка;noun;
syn;син;synowie;personal_info;syn;син;noun;
babcia;бабуся;babcie;personal_info;babcia;бабуся;noun;
dziadek;дідусь;dziadkowie;personal_info;dziadek;дідусь;noun;
wnuk;онук;wnukowie;personal_info;wnuk;онук;noun;
wnuczka;онучка;wnuczki;personal_info;wnuczka;онучка;noun;
siostra;сестра;siostry;personal_info;siostra;сестра;noun;
brat;брат;bracia;personal_info;brat;брат;noun;
kuzyn;кузен;kuzyni;personal_info;kuzyn;кузен;noun;
kuzynka;кузина;kuzynki;personal_info;kuzynka;кузина;noun;
ciocia;тітка;ciocie;personal_info;ciocia;тітка;noun;
wujek;дядько;wujkowie;personal_info;wujek;дядько;noun;
teściowa;теща;teściowe;personal_info;teściowa;теща;noun;
teść;тесть;teściowie;personal_info;teść;тесть;noun;
szwagier;швагер;szwagrowie;personal_info;szwagier;швагер;noun;
szwagierka;швагрова;szwagierki;personal_info;szwagierka;швагрова;noun;
rodzina;родина;rodziny;personal_info;rodzina;родина;noun;
małżeństwo;подружжя;małżeństwa;personal_info;małżeństwo;подружжя;noun;
ślub;весілля;śluby;personal_info;ślub;весілля;noun;
rozwód;розлучення;rozwody;personal_info;rozwód;розлучення;noun;
wdowa;вдова;wdowy;personal_info;wdowa;вдова;noun;
wdowiec;вдівець;wdowcy;personal_info;wdowiec;вдівець;noun;
sierota;сирота;sieroty;personal_info;sierota;сирота;noun;
narzeczony;наречений;narzeczeni;personal_info;narzeczony;наречений;noun;
narzeczona;наречена;narzeczone;personal_info;narzeczona;наречена;noun;
partner;партнер;partnerzy;personal_info;partner;партнер;noun;
partnerka;партнерка;partnerki;personal_info;partnerka;партнерка;noun;
związek;зв'язок;związki;personal_info;związek;зв'язок;noun;
miłość;любов;;personal_info;miłość;любов;noun;
przyjaźń;дружба;;personal_info;przyjaźń;дружба;noun;
przyjaciel;друг;przyjaciele;personal_info;przyjaciel;друг;noun;
przyjaciółka;подруга;przyjaciółki;personal_info;przyjaciółka;подруга;noun;
kolega;колега;koledzy;personal_info;kolega;колега;noun;
koleżanka;колежанка;koleżanki;personal_info;koleżanka;колежанка;noun;
sąsiad;сусід;sąsiedzi;personal_info;sąsiad;сусід;noun;
sąsiadka;сусідка;sąsiadki;personal_info;sąsiadka;сусідка;noun;
dziecko;дитина;dzieci;personal_info;dziecko;дитина;noun;
mąż;чоловік;mężowie;personal_info;mąż;чоловік;noun;
żona;дружина;żony;personal_info;żona;дружина;noun;
chłopak;хлопець;chłopcy;personal_info;chłopak;хлопець;noun;
dziewczyna;дівчина;dziewczyny;personal_info;dziewczyna;дівчина;noun;
kochać;кохати;;personal_info;kochać;кохати;verb (imperfective);
zakochać się;закохатися;;personal_info;zakochać się;закохатися;verb (perfective);
brać ślub;брати шлюб;;personal_info;brać ślub;брати шлюб;verb (imperfective);
wziąć ślub;взяти шлюб;;personal_info;wziąć ślub;взяти шлюб;verb (perfective);
być;бути;;personal_info;być;бути;verb (imperfective);
mieć;мати;;personal_info;mieć;мати;verb (imperfective);
mieszkać;жити;;personal_info;mieszkać;жити;verb (imperfective);
twarz;обличчя;twarze;personal_info;twarz;обличчя;noun;
oko;око;oczy;personal_info;oko;око;noun;
ucho;вухо;uszy;personal_info;ucho;вухо;noun;
nos;ніс;nosy;personal_info;nos;ніс;noun;
usta;вуста;;personal_info;usta;вуста;noun;
ząb;зуб;zęby;personal_info;ząb;зуб;noun;
język;язик;języki;personal_info;język;язик;noun;
szyja;шия;szyje;personal_info;szyja;шия;noun;
ramię;плече;ramiona;personal_info;ramię;плече;noun;
plecy;спина;;personal_info;plecy;спина;noun;
brzuch;живіт;brzuchy;personal_info;brzuch;живіт;noun;
nogi;ноги;nogi;personal_info;noga;нога;noun;
stopa;стопа;stopy;personal_info;stopa;стопа;noun;
dłoń;долоня;dłonie;personal_info;dłoń;долоня;noun;
palec;палець;palce;personal_info;palec;палець;noun;
paznokieć;ніготь;paznokcie;personal_info;paznokieć;ніготь;noun;
skóra;шкіра;;personal_info;skóra;шкіра;noun;
piegi;веснянки;piegi;personal_info;pieg;веснянка;noun;
zmarszczka;зморшка;zmarszczki;personal_info;zmarszczka;зморшка;noun;
broda;борода;brody;personal_info;broda;борода;noun;
wąsy;вуса;;personal_info;wąsy;вуса;noun;
brew;брова;brwi;personal_info;brew;брова;noun;
rzęsa;вія;rzęsy;personal_info;rzęsa;вія;noun;
cera;колір обличчя;;personal_info;cera;колір обличчя;noun;
sylwetka;фігура;sylwetki;personal_info;sylwetka;фігура;noun;
wzrost;зріст;;personal_info;wzrost;зріст;noun;
waga;вага;;personal_info;waga;вага;noun;
wygląd;вигляд;;personal_info;wygląd;вигляд;noun;
starość;старість;;personal_info;starość;старість;noun;
młodość;молодість;;personal_info;młodość;молодість;noun;
wysoki;високий;;personal_info;wysoki;високий;adj;
niski;низький;;personal_info;niski;низький;adj;
szczupły;стрункий;;personal_info;szczupły;стрункий;adj;
gruby;товстий;;personal_info;gruby;товстий;adj;
chudy;худий;;personal_info;chudy;худий;adj;
muskularny;мускулистий;;personal_info;muskularny;мускулистий;adj;
silny;сильний;;personal_info;silny;сильний;adj;
słaby;слабкий;;personal_info;słaby;слабкий;adj;
ładny;гарний;;personal_info;ładny;гарний;adj;
brzydki;негарний;;personal_info;brzydki;негарний;adj;
przystojny;вродливий;;personal_info;przystojny;вродливий;adj;
atrakcyjny;привабливий;;personal_info;atrakcyjny;привабливий;adj;
elegancki;елегантний;;personal_info;elegancki;елегантний;adj;
modny;модний;;personal_info;modny;модний;adj;
młody;молодий;;personal_info;młody;молодий;adj;
stary;старий;;personal_info;stary;старий;adj;
dorosły;дорослий;;personal_info;dorosły;дорослий;adj;
łysy;лисий;;personal_info;łysy;лисий;adj;
siwy;сивий;;personal_info;siwy;сивий;adj;
wyglądać;виглядати;;personal_info;wyglądać;виглядати;verb (imperfective);
ambitny;амбітний;;personal_info;ambitny;амбітний;adj;
leniwy;лінивий;;personal_info;leniwy;лінивий;adj;
pracowity;працьовитий;;personal_info;pracowity;працьовитий;adj;
miły;приємний;;personal_info;miły;приємний;adj;
uczciwy;чесний;;personal_info;uczciwy;чесний;adj;
szczery;щирий;;personal_info;szczery;щирий;adj;
uprzejmy;ввічливий;;personal_info;uprzejmy;ввічливий;adj;
koleżeński;дружній;;personal_info;koleżeński;дружній;adj;
towarzyski;товариський;;personal_info;towarzyski;товариський;adj;
cierpliwy;терплячий;;personal_info;cierpliwy;терплячий;adj;
niecierpliwy;нетерплячий;;personal_info;niecierpliwy;нетерплячий;adj;
odważny;сміливий;;personal_info;odważny;сміливий;adj;
tchórzliwy;боягузливий;;personal_info;tchórzliwy;боягузливий;adj;
skromny;скромний;;personal_info;skromny;скромний;adj;
pewny siebie;впевнений у собі;;personal_info;pewny siebie;впевнений у собі;adj;
nieśmiały;сором'язливий;;personal_info;nieśmiały;сором'язливий;adj;
gadatliwy;балакучий;;personal_info;gadatliwy;балакучий;adj;
małomówny;мовчазний;;personal_info;małomówny;мовчазний;adj;
spokojny;спокійний;;personal_info;spokojny;спокійний;adj;
nerwowy;нервовий;;personal_info;nerwowy;нервовий;adj;
wesoły;веселий;;personal_info;wesoły;веселий;adj;
smutny;сумний;;personal_info;smutny;сумний;adj;
optymistyczny;оптимістичний;;personal_info;optymistyczny;оптимістичний;adj;
pesymistyczny;песимістичний;;personal_info;pesymistyczny;песимістичний;adj;
rozsądny;розсудливий;;personal_info;rozsądny;розсудливий;adj;
lekkomyślny;легковажний;;personal_info;lekkomyślny;легковажний;adj;
odpowiedzialny;відповідальний;;personal_info;odpowiedzialny;відповідальний;adj;
nieodpowiedzialny;безвідповідальний;;personal_info;nieodpowiedzialny;безвідповідальний;adj;
sumienny;сумлінний;;personal_info;sumienny;сумлінний;adj;
niedbały;недбалий;;personal_info;niedbały;недбалий;adj;
dokładny;акуратний;;personal_info;dokładny;акуратний;adj;
wrażliwy;чутливий;;personal_info;wrażliwy;чутливий;adj;
uparty;впертий;;personal_info;uparty;впертий;adj;
wyrozumiały;поблажливий;;personal_info;wyrozumiały;поблажливий;adj;
zazdrosny;заздрісний;;personal_info;zazdrosny;заздрісний;adj;
chciwy;жадібний;;personal_info;chciwy;жадібний;adj;
hojny;щедрий;;personal_info;hojny;щедрий;adj;
egoistyczny;егоїстичний;;personal_info;egoistyczny;егоїстичний;adj;
altruistyczny;альтруїстичний;;personal_info;altruistyczny;альтруїстичний;adj;
skąpy;скупий;;personal_info;skąpy;скупий;adj;
otwarty;відкритий;;personal_info;otwarty;відкритий;adj;
zamknięty w sobie;замкнений у собі;;personal_info;zamknięty w sobie;замкнений у собі;adj;
lojalny;лояльний;;personal_info;lojalny;лояльний;adj;
wierny;вірний;;personal_info;wierny;вірний;adj;
fałszywy;фальшивий;;personal_info;fałszywy;фальшивий;adj;
przebiegły;хитрий;;personal_info;przebiegły;хитрий;adj;
naiwny;наївний;;personal_info;naiwny;наївний;adj;
uczciwość;чесність;;personal_info;uczciwość;чесність;noun;
odpowiedzialność;відповідальність;;personal_info;odpowiedzialność;відповідальність;noun;
cierpliwość;терплячість;;personal_info;cierpliwość;терплячість;noun;
budzik;будильник;budziki;personal_info;budzik;будильник;noun;
pobudka;підйом;;personal_info;pobudka;підйом;noun;
wstawać;вставати;;personal_info;wstawać;вставати;verb (imperfective);
wstać;встати;;personal_info;wstać;встати;verb (perfective);
