miasto;місто;miasta;places;miasto;місто;noun;
aleja;алея;aleje;places;aleja;алея;noun;
skwer;сквер;skwery;places;skwer;сквер;noun;
targ;ринок;targi;places;targ;ринок;noun;
bar;бар;bary;places;bar;бар;noun;
pub;паб;puby;places;pub;паб;noun;
archiwum;архів;archiwa;places;archiwum;архів;noun;
przedszkole;дитячий садок;przedszkola;places;przedszkole;дитячий садок;noun;
liceum;ліцей;licea;places;liceum;ліцей;noun;
uczelnia;вищий навчальний заклад;uczelnie;places;uczelnia;вищий навчальний заклад;noun;
uniwersytet;університет;uniwersytety;places;uniwersytet;університет;noun;
politechnika;політехніка;politechniki;places;politechnika;політехніка;noun;
cerkiew;церква;cerkwie;places;cerkiew;церква;noun;
synagoga;синагога;synagogi;places;synagoga;синагога;noun;
meczet;мечеть;meczety;places;meczet;мечеть;noun;
cmentarz;цвинтар;cmentarze;places;cmentarz;цвинтар;noun;
urząd;установа;urzędy;places;urząd;установа;noun;
hostel;хостел;hostele;places;hostel;хостел;noun;
schronisko;притулок;schroniska;places;schronisko;притулок;noun;
remiza;пожежна частина;remizy;places;remiza;пожежна частина;noun;
posterunek;відділок;posterunki;places;posterunek;відділок;noun;
wzgórze;пагорб;wzgórza;places;wzgórze;пагорб;noun;
dolina;долина;doliny;places;dolina;долина;noun;
strumień;струмок;strumienie;places;strumiеń;струмок;noun;
zagroda;садиба;zagrody;places;zagroda;садиба;noun;
gospodarstwo;господарство;gospodarstwa;places;gospodarstwo;господарство;noun;
sad;сад;sady;places;sad;сад;noun;
pasieka;пасіка;pasieki;places;pasieka;пасіка;noun;
stodoła;стодола;stodoły;places;stodoła;стодола;noun;
obora;корівник;obory;places;obora;корівник;noun;
chlew;свинарник;chlewy;places;chlew;свинарник;noun;
kurnik;курник;kurniki;places;kurnik;курник;noun;
droga;дорога;drogi;places;droga;дорога;noun;
ścieżka;стежка;ścieżki;places;ścieżka;стежка;noun;
młyn;млин;młyny;places;młyn;млин;noun;
źródełko;джерельце;źródełka;places;źródełko;джерельце;noun;
bagno;болото;bagna;places;bagno;болото;noun;
torfowisko;торфовище;torfowiska;places;torfowisko;торфовище;noun;
pastwisko;пасовище;pastwiska;places;pastwisko;пасовище;noun;
kapliczka;капличка;kapliczki;places;kapliczka;капличка;noun;
wiatrak;вітряк;wiatraki;places;wiatrak;вітряк;noun;
zagajnik;гай;zagajniki;places;zagajnik;гай;noun;
polana;галявина;polany;places;polana;галявина;noun;
ugór;переліг;ugory;places;ugór;переліг;noun;
sadzawka;сажалка;sadzawki;places;sadzawka;сажалка;noun;
sielski;сільський;;places;sielski;сільський;adj;
wiejski;сільський;;places;wiejski;сільський;adj;
malowniczy;мальовничий;;places;malowniczy;мальовничий;adj;
zielony;зелений;;places;zielony;зелений;adj;
świeży;свіжий;;places;świeży;свіжий;adj;
czysty;чистий;;places;czysty;чистий;adj;
cichy;тихий;;places;cichy;тихий;adj;
daleki;далекий;;places;daleki;далекий;adj;
pagórkowaty;пагорбкуватий;;places;pagórkowaty;пагорбкуватий;adj;
polny;польовий;;places;polny;польовий;adj;
leśny;лісовий;;places;leśny;лісовий;adj;
rzeczny;річковий;;places;rzeczny;річковий;adj;
jeziorny;озерний;;places;jeziorny;озерний;adj;
wieś;село;wsie;places;wieś;село;noun;
pole;поле;pola;places;pole;поле;noun;
łąka;лука;łąki;places;łąka;лука;noun;
las;ліс;lasy;places;las;ліс;noun;
jezioro;озеро;jeziora;places;jezioro;озеро;noun;
morze;море;morza;places;morze;море;noun;
ocean;океан;oceany;places;ocean;океан;noun;
pustynia;пустеля;pustynie;places;pustynia;пустеля;noun;
półwysep;півострів;półwyspy;places;półwysep;півострів;noun;
kraj;країна;kraje;places;kraj;країна;noun;
granica;кордон;granice;places;granica;кордон;noun;
stolica;столиця;stolice;places;stolica;столиця;noun;
region;регіон;regiony;places;region;регіон;noun;
płaskowyż;плато;płaskowyże;places;płaskowyż;плато;noun;
wulkan;вулкан;wulkany;places;wulkan;вулкан;noun;
lodowiec;льодовик;lodowce;places;lodowiec;льодовик;noun;
jaskinia;печера;jaskinie;places;jaskinia;печера;noun;
wybrzeże;узбережжя;wybrzeża;places;wybrzeże;узбережжя;noun;
klif;кліф;klify;places;klif;кліф;noun;
wodospad;водоспад;wodospady;places;wodospad;водоспад;noun;
zatoka;затока;zatoki;places;zatoka;затока;noun;
cieśnina;протока;cieśniny;places;cieśnina;протока;noun;
kontynent;континент;kontynenty;places;kontynent;континент;noun;
półkula;півкуля;półkule;places;półkula;півкуля;noun;
północ;північ;;places;północ;північ;noun;
południe;південь;;places;południe;південь;noun;
wschód;схід;;places;wschód;схід;noun;
zachód;захід;;places;zachód;захід;noun;
kompas;компас;kompasy;places;kompas;компас;noun;
równina;рівнина;równiny;places;równina;рівнина;noun;
step;степ;stepy;places;step;степ;noun;
pagórek;пагорбок;pagórki;places;pagórek;пагорбок;noun;
kanion;каньйон;kaniony;places;kanion;каньйон;noun;
delta;дельта;delty;places;delta;дельта;noun;
ujście;гирло;ujścia;places;ujście;гирло;noun;
źródło;джерело;źródła;places;źródło;джерело;noun;
szczyt;вершина;szczyty;places;szczyt;вершина;noun;
przełęcz;перевал;przełęcze;places;przełęcz;перевал;noun;
grzbiet;хребет;grzbiety;places;grzbiet;хребет;noun;
archipelag;архіпелаг;archipelagi;places;archipelag;архіпелаг;noun;
atol;атол;atole;places;atol;атол;noun;
róg;кут;rogi;places;róg;кут;noun;
przejście;перехід;przejścia;places;przejście;перехід;noun;
rondo;кільце;ronda;places;rondo;кільце;noun;
wejście;вхід;wejścia;places;wejście;вхід;noun;
wyjście;вихід;wyjścia;places;wyjście;вихід;noun;
taksówka;таксі;taksówki;places;taksówka;таксі;noun;
lewo;ліворуч;;places;lewo;ліворуч;adv;
prosto;прямо;;places;prosto;прямо;adv;
skręcać;повертати;;places;skręcać;повертати;verb (imperfective);
skręcić;повернути;;places;skręcić;повернути;verb (perfective);
pytać;питати;;places;pytać;питати;verb (imperfective);
gdzie;де;;places;gdzie;де;adv;
dokąd;куди;;places;dokąd;куди;adv;
