bluzka;блузка;bluzki;shopping;bluzka;блузка;noun;
spodnie;штани;spodnie;shopping;spodnie;штани;noun;
sukienka;сукня;sukienki;shopping;sukienka;сукня;noun;
koszula;сорочка;koszule;shopping;koszula;сорочка;noun;
kurtka;куртка;kurtki;shopping;kurtka;куртка;noun;
płaszcz;пальто;płaszcze;shopping;płaszcz;пальто;noun;
sweter;светр;swetry;shopping;sweter;светр;noun;
buty;взуття;buty;shopping;buty;взуття;noun;
skarpetki;шкарпетки;skarpetki;shopping;skarpetka;шкарпетка;noun;
bielizna;білизна;;shopping;bielizna;білизна;noun;
rajstopy;колготки;rajstopy;shopping;rajstopy;колготки;noun;
czapka;шапка;czapki;shopping;czapka;шапка;noun;
szalik;шарф;szaliki;shopping;szalik;шарф;noun;
rękawiczki;рукавички;rękawiczki;shopping;rękawiczka;рукавичка;noun;
parasol;парасоля;parasole;shopping;parasol;парасоля;noun;
adidasy;кросівки;adidasy;shopping;adidas;кросівка;noun;
torebka;сумочка;torebki;shopping;torebka;сумочка;noun;
portfel;гаманець;portfele;shopping;portfel;гаманець;noun;
okulary;окуляри;okulary;shopping;okulary;окуляри;noun;
koszulka;футболка;koszulki;shopping;koszulka;футболка;noun;
dżinsy;джинси;dżinsy;shopping;dżinsy;джинси;noun;
spódnica;спідниця;spódnice;shopping;spódnica;спідниця;noun;
garnitur;костюм;garnitury;shopping;garnitur;костюм;noun;
marynarka;піджак;marynarki;shopping;marynarka;піджак;noun;
kamizelka;жилетка;kamizelki;shopping;kamizelka;жилетка;noun;
krawat;краватка;krawaty;shopping;krawat;краватка;noun;
szorty;шорти;szorty;shopping;szorty;шорти;noun;
kostium kąpielowy;купальник;kostiumy kąpielowe;shopping;kostium kąpielowy;купальник;noun;
piżama;піжама;piżamy;shopping;piżama;піжама;noun;
kapcie;капці;kapcie;shopping;kapeć;капець;noun;
sandały;сандалі;sandały;shopping;sandał;сандаль;noun;
kozaki;чоботи;kozaki;shopping;kozak;чобіт;noun;
klapki;в'єтнамки;klapki;shopping;klapek;в'єтнамка;noun;
rozmiar;розмір;rozmiary;shopping;rozmiar;розмір;noun;
mały;малий;;shopping;mały;малий;adj;
duży;великий;;shopping;duży;великий;adj;
średni;середній;;shopping;średni;середній;adj;
wąski;вузький;;shopping;wąski;вузький;adj;
szeroki;широкий;;shopping;szeroki;широкий;adj;
luźny;вільний;;shopping;luźny;вільний;adj;
dopasowany;приталений;;shopping;dopasowany;приталений;adj;
tani;дешевий;;shopping;tani;дешевий;adj;
drogi;дорогий;;shopping;drogi;дорогий;adj;
przymierzać;приміряти;;shopping;przymierzać;приміряти;verb (imperfective);
kosztować;коштувати;;shopping;kosztować;коштувати;verb (imperfective);
mierzyć;міряти;;shopping;mierzyć;міряти;verb (imperfective);
supermarket;супермаркет;supermarkety;shopping;supermarket;супермаркет;noun;
kasa;каса;kasy;shopping;kasa;каса;noun;
kasjer;касир;kasjerzy;shopping;kasjer;касир;noun;
paragon;чек;paragony;shopping;paragon;чек;noun;
wózek;візок;wózki;shopping;wózek;візок;noun;
koszyk;кошик;koszyki;shopping;koszyk;кошик;noun;
alejka;прохід;alejki;shopping;alejka;прохід;noun;
produkt;продукт;produkty;shopping;produkt;продукт;noun;
kupon;купон;kupony;shopping;kupon;купон;noun;
karta lojalnościowa;картка лояльності;karty lojalnościowe;shopping;karta lojalnościowa;картка лояльності;noun;
samoobsługa;самообслуговування;;shopping;samoobsługa;самообслуговування;noun;
metka;цінник;metki;shopping;metka;цінник;noun;
opakowanie;упаковка;opakowania;shopping;opakowanie;упаковка;noun;
butelka;пляшка;butelki;shopping;butelka;пляшка;noun;
słoik;банка;słoiki;shopping;słoik;банка;noun;
puszka;бляшанка;puszki;shopping;puszka;бляшанка;noun;
karton;коробка;kartony;shopping;karton;коробка;noun;
worek;пакет;worki;shopping;worek;пакет;noun;
reklamówka;пакет;reklamówki;shopping;reklamówka;пакет;noun;
gotówka;готівка;;shopping;gotówka;готівка;noun;
karta płatnicza;платіжна картка;karty płatnicze;shopping;karta płatnicza;платіжна картка;noun;
kolejka;черга;kolejki;shopping;kolejka;черга;noun;
klientka;клієнтка;klientki;shopping;klientka;клієнтка;noun;
menedżer;менеджер;menedżerowie;shopping;menedżer;менеджер;noun;
dział;відділ;działy;shopping;dział;відділ;noun;
piekarnia;пекарня;piekarnie;shopping;piekarnia;пекарня;noun;
mięso;м'ясо;;shopping;mięso;м'ясо;noun;
wędliny;ковбаси;wędliny;shopping;wędlina;ковбаса;noun;
nabiał;молочні продукти;;shopping;nabiał;молочні продукти;noun;
pieczywo;хлібобулочні вироби;;shopping;pieczywo;хлібобулочні вироби;noun;
napój;напій;napoje;shopping;napój;напій;noun;
chleb;хліб;chleby;shopping;chleb;хліб;noun;
bułka;булка;bułki;shopping;bułka;булка;noun;
ser;сир;sery;shopping;ser;сир;noun;
masło;масло;;shopping;masło;масло;noun;
jajko;яйце;jajka;shopping;jajko;яйце;noun;
mąka;борошно;;shopping;mąka;борошно;noun;
cukier;цукор;;shopping;cukier;цукор;noun;
sól;сіль;;shopping;sól;сіль;noun;
karta kredytowa;кредитна картка;karty kredytowe;shopping;karta kredytowa;кредитна картка;noun;
karta debetowa;дебетова картка;karty debetowe;shopping;karta debetowa;дебетова картка;noun;
banknot;банкнота;banknoty;shopping;banknot;банкнота;noun;
reszta;решта;;shopping;reszta;решта;noun;
portmonetka;портмоне;portmonetki;shopping;portmonetka;портмоне;noun;
terminal płatniczy;платіжний термінал;terminale płatnicze;shopping;terminal płatniczy;платіжний термінал;noun;
bankomat;банкомат;bankomaty;shopping;bankomat;банкомат;noun;
wpłata;внесок;wpłaty;shopping;wpłata;внесок;noun;
wypłata;виплата;wypłaty;shopping;wypłata;виплата;noun;
przelew;переказ;przelewy;shopping;przelew;переказ;noun;
czek;чек;czeki;shopping;czek;чек;noun;
karta podarunkowa;подарункова картка;karty podarunkowe;shopping;karta podarunkowa;подарункова картка;noun;
bon;ваучер;bony;shopping;bon;ваучер;noun;
kod rabatowy;код знижки;kody rabatowe;shopping;kod rabatowy;код знижки;noun;
faktura;рахунок-фактура;faktury;shopping;faktura;рахунок-фактура;noun;
rachunek;рахунок;rachunki;shopping;rachunek;рахунок;noun;
podatek;податок;podatki;shopping;podatek;податок;noun;
napiwek;чайові;napiwki;shopping;napiwek;чайові;noun;
suma;сума;sumy;shopping;suma;сума;noun;
kwota;сума;kwoty;shopping;kwota;сума;noun;
waluta;валюта;waluty;shopping;waluta;валюта;noun;
kurs wymiany;курс обміну;kursy wymiany;shopping;kurs wymiany;курс обміну;noun;
płatność;платіж;płatności;shopping;płatność;платіж;noun;
płatność zbliżeniowa;безконтактний платіж;płatności zbliżeniowe;shopping;płatność zbliżeniowa;безконтактний платіж;noun;
przelew błyskawiczny;миттєвий переказ;przelewy błyskawiczne;shopping;przelew błyskawiczny;миттєвий переказ;noun;
aplikacja płatnicza;платіжний застосунок;aplikacje płatnicze;shopping;aplikacja płatnicza;платіжний застосунок;noun;
portfel elektroniczny;електронний гаманець;portfele elektroniczne;shopping;portfel elektroniczny;електронний гаманець;noun;
bezgotówkowy;безготівковий;;shopping;bezgotówkowy;безготівковий;adj;
gotówkowy;готівковий;;shopping;gotówkowy;готівковий;adj;
dług;борг;długi;shopping;dług;борг;noun;
rabat;рабат;rabaty;shopping;rabat;рабат;noun;
wydawać;витрачати;;shopping;wydawać;витрачати;verb (imperfective);
oszczędzać;заощаджувати;;shopping;oszczędzać;заощаджувати;verb (imperfective);
liczyć;рахувати;;shopping;liczyć;рахувати;verb (imperfective);
przeliczyć;перерахувати;;shopping;przeliczyć;перерахувати;verb (perfective);
reklamacja;рекламація;reklamacje;shopping;reklamacja;рекламація;noun;
zwrot;повернення;zwroty;shopping;zwrot;повернення;noun;
wada;дефект;wady;shopping;wada;дефект;noun;
gwarancja;гарантія;gwarancje;shopping;gwarancja;гарантія;noun;
rękojmia;гарантія якості;rękojmie;shopping;rękojmia;гарантія якості;noun;
wymiana;обмін;wymiany;shopping;wymiana;обмін;noun;
odstąpienie;відмова;odstąpienia;shopping;odstąpienie;відмова;noun;
konsument;споживач;konsumenci;shopping;konsument;споживач;noun;
towar;товар;towary;shopping;towar;товар;noun;
przecena;розпродаж;przeceny;shopping;przecena;розпродаж;noun;
szkoda;пошкодження;szkody;shopping;szkoda;пошкодження;noun;
niezgodność;невідповідність;niezgodności;shopping;niezgodność;невідповідність;noun;
usterka;несправність;usterki;shopping;usterka;несправність;noun;
zgłoszenie;заява;zgłoszenia;shopping;zgłoszenie;заява;noun;
protokół;протокол;protokoły;shopping;protokół;протокол;noun;
reklamować;рекламувати;;shopping;reklamować;рекламувати;verb (imperfective);
zareklamować;порекламувати;;shopping;zareklamować;порекламувати;verb (perfective);
zwrócić;повернути;;shopping;zwrócić;повернути;verb (perfective);
zwracać;повертати;;shopping;zwracać;повертати;verb (imperfective);
wymienić;обміняти;;shopping;wymienić;обміняти;verb (perfective);
wymieniać;обмінювати;;shopping;wymieniać;обмінювати;verb (imperfective);
odstąpić;відмовитися;;shopping;odstąpić;відмовитися;verb (perfective);
odstępować;відмовлятися;;shopping;odstępować;відмовлятися;verb (imperfective);
zgłosić;повідомити;;shopping;zgłosić;повідомити;verb (perfective);
zgłaszać;повідомляти;;shopping;zgłaszać;повідомляти;verb (imperfective);
naprawić;відремонтувати;;shopping;naprawić;відремонтувати;verb (perfective);
naprawiać;ремонтувати;;shopping;naprawiać;ремонтувати;verb (imperfective);
uszkodzony;пошкоджений;;shopping;uszkodzony;пошкоджений;adj;
wadliwy;дефектний;;shopping;wadliwy;дефектний;adj;
niezgodny;невідповідний;;shopping;niezgodny;невідповідний;adj;
zwrotny;зворотний;;shopping;zwrotny;зворотний;adj;
niezadowolony;незадоволений;;shopping;niezadowolony;незадоволений;adj;
wadliwie;дефектно;;shopping;wadliwie;дефектно;adv;
niesprawny;несправний;;shopping;niesprawny;несправний;adj;
przysługiwać;належати;;shopping;przysługiwać;належати;verb (imperfective);
uznać;визнати;;shopping;uznać;визнати;verb (perfective);
uznawać;визнавати;;shopping;uznawać;визнавати;verb (imperfective);
odszkodowanie;компенсація;odszkodowania;shopping;odszkodowanie;компенсація;noun;
