mathematics;математика;mathematics (uncountable);education;mathematics;математика;noun;месіма́тікс
physics;фізика;physics (uncountable);education;physics;фізика;noun;фі́зикс
chemistry;хімія;chemistry (uncountable);education;chemistry;хімія;noun;ке́містрі
biology;біологія;biology (uncountable);education;biology;біологія;noun;байо́леджі
science;наука;science (uncountable);education;science;наука;noun;са́йенс
history;історія;history (uncountable);education;history;історія;noun;хі́сторі
geography;географія;geography (uncountable);education;geography;географія;noun;джіо́графі
literature;література;literature (uncountable);education;literature;література;noun;лі́тереча
grammar;граматика;grammar (uncountable);education;grammar;граматика;noun;ґре́мер
spelling;правопис;spelling (uncountable);education;spelling;правопис;noun;спе́лінґ
reading;читання;reading (uncountable);education;reading;читання;noun;рі́дінґ
writing;письмо;writing (uncountable);education;writing;письмо;noun;ра́йтінґ
art;мистецтво;art (uncountable);education;art;мистецтво;noun;арт
drawing;малювання;drawing (uncountable);education;drawing;малювання;noun;дро́вінґ
physical education;фізкультура;physical education (uncountable);education;physical education;фізкультура;noun;фі́зікел едьюке́йшен
computer science;інформатика;computer science (uncountable);education;computer science;інформатика;noun;комп'ю́тер са́йенс
information technology;інформаційні технології;information technology (uncountable);education;information technology;інформаційні технології;noun;інферме́йшен текно́леджі
economics;економіка;economics (uncountable);education;economics;економіка;noun;ікено́мікс
business studies;бізнес-дослідження;business studies (uncountable);education;business studies;бізнес-дослідження;noun;бі́знес ста́діз
sociology;соціологія;sociology (uncountable);education;sociology;соціологія;noun;соусіо́леджі
psychology;психологія;psychology (uncountable);education;psychology;психологія;noun;сайко́леджі
philosophy;філософія;philosophy (uncountable);education;philosophy;філософія;noun;філо́софі
law;право;law (uncountable);education;law;право;noun;ло
political science;політологія;political science (uncountable);education;political science;політологія;noun;полі́тікел са́йенс
foreign language;іноземна мова;foreign languages (feminine);education;foreign language;іноземна мова;noun;фо́рін ленґвідж
English;англійська;English (uncountable);education;English;англійська;noun;і́нґліш
French;французька;French (uncountable);education;French;французька;noun;френч
German;німецька;German (uncountable);education;German;німецька;noun;дже́рмен
Spanish;іспанська;Spanish (uncountable);education;Spanish;іспанська;noun;спе́ніш
Ukrainian;українська;Ukrainian (uncountable);education;Ukrainian;українська;noun;юкре́йніан
Russian;російська;Russian (uncountable);education;Russian;російська;noun;ра́шн
Chinese;китайська;Chinese (uncountable);education;Chinese;китайська;noun;чайні́з
Japanese;японська;Japanese (uncountable);education;Japanese;японська;noun;джепе́ніз
Latin;латинська;Latin (uncountable);education;Latin;латинська;noun;ле́тін
ancient Greek;давньогрецька;ancient Greek (uncountable);education;ancient Greek;давньогрецька;noun;ейншент грі́к
religious education;релігієзнавство;religious education (uncountable);education;religious education;релігієзнавство;noun;рілі́джес едьюке́йшен
ethics;етика;ethics (uncountable);education;ethics;етика;noun;е́θікс
civics;громадянська освіта;civics (uncountable);education;civics;громадянська освіта;noun;сі́вікс
home economics;домоводство;home economics (uncountable);education;home economics;домоводство;noun;гоум екено́мікс
woodworking;столярна справа;woodworking (uncountable);education;woodworking;столярна справа;noun;ву́дверкінґ
metalworking;слюсарна справа;metalworking (uncountable);education;metalworking;слюсарна справа;noun;ме́тлверкінґ
drama;драма;drama (uncountable);education;drama;драма;noun;дра́ма
algebra;алгебра;algebra (uncountable);education;algebra;алгебра;noun;е́лджебра
geometry;геометрія;geometry (uncountable);education;geometry;геометрія;noun;джіо́метрі
trigonometry;тригонометрія;trigonometry (uncountable);education;trigonometry;тригонометрія;noun;трігономітрі
calculus;математичний аналіз;calculus (uncountable);education;calculus;математичний аналіз;noun;ке́лкюлес
statistics;статистика;statistics (uncountable);education;statistics;статистика;noun;стеті́стікс
студент;student;students (masculine);education;студент;student;noun;стюдент
студентка;student;students (feminine);education;студентка;student;noun;стюдент
викладач;lecturer;lecturers (masculine);education;викладач;lecturer;noun;лекчерер
професор;professor;professors (masculine);education;професор;professor;noun;професор
університет;university;universities (masculine);education;університет;university;noun;юніверсіті
лекція;lecture;lectures (feminine);education;лекція;lecture;noun;лекчер
семінар;seminar;seminars (masculine);education;семінар;seminar;noun;семінар
іспит;exam;exams (masculine);education;іспит;exam;noun;ігзам
залік;test;tests (masculine);education;залік;test;noun;тест
бібліотека;library;libraries (feminine);education;бібліотека;library;noun;лайбрері
гуртожиток;dormitory;dormitories (masculine);education;гуртожиток;dormitory;noun;дорміторі
стипендія;scholarship;scholarships (feminine);education;стипендія;scholarship;noun;сколаршип
підручник;textbook;textbooks (masculine);education;підручник;textbook;noun;текстбук
пара;class;classes (feminine);education;пара;class;noun;клас
аудиторія;classroom;classrooms (feminine);education;аудиторія;classroom;noun;класрум
деканат;dean's office;dean's offices (masculine);education;деканат;dean's office;noun;дінз офіс
ректор;rector;rectors (masculine);education;ректор;rector;noun;ректор
куратор;mentor;mentors (masculine);education;куратор;mentor;noun;ментор
диплом;diploma;diplomas (masculine);education;диплом;diploma;noun;диплома
курс;course;courses (masculine);education;курс;course;noun;корс
сесія;exam session;exam sessions (feminine);education;сесія;exam session;noun;ігзам сешн
оцінка;grade;grades (feminine);education;оцінка;grade;noun;грейд
знання;knowledge;knowledge (uncountable);education;знання;knowledge;noun;ноледж
вивчати;to study;;education;вивчати;to study;verb;стаді
навчатися;to learn;;education;навчатися;to learn;verb;лерн
відвідувати;to attend;;education;відвідувати;to attend;verb;атенд
складати;to take;;education;складати;to take;verb;тейк
здавати;to pass;;education;здавати;to pass;verb;пас
провалити;to fail;;education;провалити;to fail;verb;фейл
читати;to read;;education;читати;to read;verb;рід
слухати;to listen;;education;слухати;to listen;verb;лісен
конспект;notes;notes (masculine);education;конспект;note;noun;нотс
реферат;essay;essays (masculine);education;реферат;essay;noun;есей
доповідь;report;reports (feminine);education;доповідь;report;noun;рипорт
їдальня;cafeteria;cafeterias (feminine);education;їдальня;cafeteria;noun;кафетіріа
канікули;holidays;holidays (plural);education;канікули;holidays;noun;холідейз
практика;internship;internships (feminine);education;практика;internship;noun;інтерншип
лаборант;lab assistant;lab assistants (masculine);education;лаборант;lab assistant;noun;лаб асистент
доцент;associate professor;associate professors (masculine);education;доцент;associate professor;noun;асоушиейт професор
бакалавр;bachelor;bachelors (masculine);education;бакалавр;bachelor;noun;бачелор
магістр;master;masters (masculine);education;магістр;master;noun;мастер
аспірант;PhD student;PhD students (masculine);education;аспірант;PhD student;noun;пі-ейч-ді стюдент
дисертація;dissertation;dissertations (feminine);education;дисертація;dissertation;noun;дисертейшн
факультет;faculty;faculties (masculine);education;факультет;faculty;noun;факулті
кафедра;department;departments (feminine);education;кафедра;department;noun;діпартмент
залікова книжка;record book;record books (feminine);education;залікова книжка;record book;noun;рекорд бук
студентський квиток;student ID;student IDs (masculine);education;студентський квиток;student ID;noun;стюдент айді
студентське містечко;campus;campuses (neuter);education;студентське містечко;campus;noun;кампус
exam;іспит;exams (masculine);education;exam;іспит;noun;ігзам
test;тест;tests (masculine);education;test;тест;noun;тест
grade;оцінка;grades (feminine);education;grade;оцінка;noun;грейд
mark;відмітка;marks (feminine);education;mark;відмітка;noun;марк
result;результат;results (masculine);education;result;результат;noun;різалт
fail;провалювати;;education;fail;провалювати (imperfective);verb;фейл
retake;перездача;retakes (feminine);education;retake;перездача;noun;рітейк
cheat;списувати;;education;cheat;списувати (imperfective);verb;чіт
revise;повторювати;;education;revise;повторювати (imperfective);verb;рівайз
prepare;готуватися;;education;prepare;готуватися (imperfective);verb;пріпеа
answer;відповідь;answers (feminine);education;answer;відповідь;noun;ансер
question;питання;questions (neuter);education;question;питання;noun;квестчен
correct;правильний;;education;correct;правильний;adj;корект
incorrect;неправильний;;education;incorrect;неправильний;adj;інкорект
mistake;помилка;mistakes (feminine);education;mistake;помилка;noun;містейк
percentage;відсоток;percentages (masculine);education;percentage;відсоток;noun;персентадж
degree;ступінь;degrees (masculine);education;degree;ступінь;noun;дігрі
diploma;диплом;diplomas (masculine);education;diploma;диплом;noun;діплома
certificate;сертифікат;certificates (masculine);education;certificate;сертифікат;noun;сертифікейт
semester;семестр;semesters (masculine);education;semester;семестр;noun;семестер
revision;повторення;revisions (neuter);education;revision;повторення;noun;рівіжн
quiz;контрольна;quizzes (feminine);education;quiz;контрольна;noun;квіз
assessment;оцінювання;assessments (neuter);education;assessment;оцінювання;noun;асесмент
feedback;зворотний зв'язок;feedback (uncountable);education;feedback;зворотний зв'язок;noun;фідбек
anxious;тривожний;;education;anxious;тривожний;adj;анкшес
difficult;важкий;;education;difficult;важкий;adj;діфікалт
easy;легкий;;education;easy;легкий;adj;ізі
