tram;трамвай;trams (masculine);travel;tram;трамвай;noun;трам
trolleybus;тролейбус;trolleybuses (masculine);travel;trolleybus;тролейбус;noun;тролейбас
metro;метро;metro (uncountable);travel;metro;метро;noun;метро
station;станція;stations (feminine);travel;station;станція;noun;стейшн
stop;зупинка;stops (feminine);travel;stop;зупинка;noun;стоп
platform;платформа;platforms (feminine);travel;platform;платформа;noun;платформ
timetable;розклад;timetables (masculine);travel;timetable;розклад;noun;таймтейбл
fare;тариф;fares (masculine);travel;fare;тариф;noun;фер
ticket;квиток;tickets (masculine);travel;ticket;квиток;noun;тікет
pass;проїзний;passes (masculine);travel;pass;проїзний;noun;пас
route;маршрут;routes (masculine);travel;route;маршрут;noun;рут
line;лінія;lines (feminine);travel;line;лінія;noun;лайн
conductor;кондуктор;conductors (masculine);travel;conductor;кондуктор;noun;кондактор
driver;водій;drivers (masculine);travel;driver;водій;noun;драйвер
passenger;пасажир;passengers (masculine);travel;passenger;пасажир;noun;пасенджер
carriage;вагон;carriages (masculine);travel;carriage;вагон;noun;карідж
seat;сидіння;seats (neuter);travel;seat;сидіння;noun;сіт
ticket machine;автомат;ticket machines (masculine);travel;ticket machine;автомат;noun;тікет машін
validator;валідатор;validators (masculine);travel;validator;валідатор;noun;валідейтор
turnstile;турнікет;turnstiles (masculine);travel;turnstile;турнікет;noun;турнстайл
entrance;вхід;entrances (masculine);travel;entrance;вхід;noun;ентренс
exit;вихід;exits (masculine);travel;exit;вихід;noun;ексіт
escalator;ескалатор;escalators (masculine);travel;escalator;ескалатор;noun;ескелейтор
elevator;ліфт;elevators (masculine);travel;elevator;ліфт;noun;елевейтор
announcement;оголошення;announcements (neuter);travel;announcement;оголошення;noun;анаунсмент
departure;відправлення;departures (neuter);travel;departure;відправлення;noun;діпарчур
arrival;прибуття;arrivals (neuter);travel;arrival;прибуття;noun;ерайвал
delay;затримка;delays (feminine);travel;delay;затримка;noun;ділей
rush hour;година пік;rush hours (feminine);travel;rush hour;година пік;noun;раш ауер
transfer;пересадка;transfers (feminine);travel;transfer;пересадка;noun;трансфер
one-way ticket;квиток в один бік;one-way tickets (masculine);travel;one-way ticket;квиток в один бік;noun;уан-вей тікет
return ticket;зворотний квиток;return tickets (masculine);travel;return ticket;зворотний квиток;noun;рітерн тікет
monthly pass;місячний проїзний;monthly passes (masculine);travel;monthly pass;місячний проїзний;noun;манслі пас
travel card;проїзна картка;travel cards (feminine);travel;travel card;проїзна картка;noun;тревел кард
zone;зона;zones (feminine);travel;zone;зона;noun;зоун
wait;чекати;;travel;wait;чекати (imperfective);verb;вейт
board;сідати;;travel;board;сідати (imperfective);verb;борд
get off;виходити;;travel;get off;виходити (imperfective);verb;гет оф
arrive;прибувати;;travel;arrive;прибувати (imperfective);verb;ерайв
