firma;фірма;ж.р.;business
biznes;бізнес;м.р.;business
praca;робота;ж.р.;business
pracownik;працівник;м.р.;business
pracownica;працівниця;ж.р.;business
szef;начальник;м.р.;business
szefowa;начальниця;ж.р.;business
klient;клієнт;м.р.;business
klientka;клієнтка;ж.р.;business
umowa;договір;ж.р.;business
kontrakt;контракт;м.р.;business
zysk;прибуток;м.р.;business
strata;збиток;ж.р.;business
inwestycja;інвестиція;ж.р.;business
rynek;ринок;м.р.;business
konkurencja;конкуренція;ж.р.;business
produkt;продукт;м.р.;business
usługa;послуга;ж.р.;business
marketing;маркетинг;м.р.;business
sprzedaż;продаж;ж.р.;business
cena;ціна;ж.р.;business
rachunek;рахунок;м.р.;business
faktura;рахунок-фактура;ж.р.;business
podatek;податок;м.р.;business
księgowość;бухгалтерія;ж.р.;business
biuro;офіс;с.р.;business
spotkanie;зустріч;с.р.;business
prezentacja;презентація;ж.р.;business
negocjacje;переговори;ж.р.;business
strategia;стратегія;ж.р.;business
plan;план;м.р.;business
budżet;бюджет;м.р.;business
kredyt;кредит;м.р.;business
pożyczka;позика;ж.р.;business
inwestor;інвестор;м.р.;business
akcja;акція;ж.р.;business
obligacja;облігація;ж.р.;business
giełda;біржа;ж.р.;business
zamówienie;замовлення;с.р.;business
dostawa;поставка;ж.р.;business
magazyn;склад;м.р.;business
logistyka;логістика;ж.р.;business
reklama;реклама;ж.р.;business
promocja;промоція;ж.р.;business
analiza;аналіз;ж.р.;business
raport;звіт;м.р.;business
projekt;проєкт;м.р.;business
termin;термін;м.р.;business
ryzyko;ризик;с.р.;business
zarządzanie;управління;с.р.;business
kadry;кадри;ж.р.;business
pensja;зарплата;ж.р.;business
premia;премія;ж.р.;business
