bluzka;блузка;ж.р.;clothing
spódnica;спідниця;ж.р.;clothing
spodnie;штани;мн.;clothing
koszula;сорочка;ж.р.;clothing
marynarka;піджак;ж.р.;clothing
sweter;светр;м.р.;clothing
kurtka;куртка;ж.р.;clothing
płaszcz;пальто;м.р.;clothing
sukienka;сукня;ж.р.;clothing
rajstopy;колготки;мн.;clothing
skarpetki;шкарпетки;мн.;clothing
buty;взуття;мн.;clothing
sandały;сандалі;мн.;clothing
kozaki;чоботи;мн.;clothing
kapelusz;капелюх;м.р.;clothing
czapka;шапка;ж.р.;clothing
szalik;шарф;м.р.;clothing
rękawiczki;рукавички;мн.;clothing
pasek;пояс;м.р.;clothing
krawat;краватка;м.р.;clothing
garnitur;костюм;м.р.;clothing
kamizelka;жилет;ж.р.;clothing
dżinsy;джинси;мн.;clothing
koszulka;футболка;ж.р.;clothing
spodenki;шорти;мн.;clothing
piżama;піжама;ж.р.;clothing
szlafrok;халат;м.р.;clothing
bielizna;білизна;ж.р.;clothing
stanik;бюстгальтер;м.р.;clothing
majtki;труси;мн.;clothing
skarpety;шкарпетки;мн.;clothing
pończochy;панчохи;мн.;clothing
chusta;хустка;ж.р.;clothing
rękaw;рукав;м.р.;clothing
kieszeń;кишеня;ж.р.;clothing
kołnierz;комір;м.р.;clothing
guzik;ґудзик;м.р.;clothing
zamek;блискавка;м.р.;clothing
szew;шов;м.р.;clothing
tkanina;тканина;ж.р.;clothing
wełna;вовна;ж.р.;clothing
bawełna;бавовна;ж.р.;clothing
jedwab;шовк;м.р.;clothing
len;льон;м.р.;clothing
dres;спортивний костюм;м.р.;clothing
kombinezon;комбінезон;м.р.;clothing
fartuch;фартух;м.р.;clothing
szorty;шорти;мн.;clothing
podkoszulek;майка;м.р.;clothing
kalesony;кальсони;мн.;clothing
beret;берет;м.р.;clothing
kapcie;капці;мн.;clothing
trampki;кросівки;мн.;clothing
klapki;в'єтнамки;мн.;clothing
pasek;ремінь;м.р.;clothing
naszyjnik;намисто;м.р.;clothing
bransoletka;браслет;ж.р.;clothing
kolczyki;сережки;мн.;clothing
zegarek;годинник;м.р.;clothing
