matematyka;математика;;education;matematyka;математика;noun;
fizyka;фізика;;education;fizyka;фізика;noun;
chemia;хімія;;education;chemia;хімія;noun;
biologia;біологія;;education;biologia;біологія;noun;
historia;історія;;education;historia;історія;noun;
geografia;географія;;education;geografia;географія;noun;
język polski;польська мова;;education;język polski;польська мова;noun;
język angielski;англійська мова;;education;język angielski;англійська мова;noun;
informatyka;інформатика;;education;informatyka;інформатика;noun;
wychowanie fizyczne;фізичне виховання;;education;wychowanie fizyczne;фізичне виховання;noun;
plastyka;малювання;;education;plastyka;малювання;noun;
religia;релігія;;education;religia;релігія;noun;
etyka;етика;;education;etyka;етика;noun;
wiedza o społeczeństwie;суспільствознавство;;education;wiedza o społeczeństwie;суспільствознавство;noun;
przedsiębiorczość;підприємництво;;education;przedsiębiorczość;підприємництво;noun;
język niemiecki;німецька мова;;education;język niemiecki;німецька мова;noun;
język francuski;французька мова;;education;język francuski;французька мова;noun;
język hiszpański;іспанська мова;;education;język hiszpański;іспанська мова;noun;
przedmiot;предмет;przedmioty;education;przedmiot;предмет;noun;
lekcja;урок;lekcje;education;lekcja;урок;noun;
klasa;клас;klasy;education;klasa;клас;noun;
podręcznik;підручник;podręczniki;education;podręcznik;підручник;noun;
zeszyt;зошит;zeszyty;education;zeszyt;зошит;noun;
sprawdzian;контрольна робота;sprawdziany;education;sprawdzian;контрольна робота;noun;
egzamin;іспит;egzaminy;education;egzamin;іспит;noun;
ocena;оцінка;oceny;education;ocena;оцінка;noun;
stopień;оцінка;stopnie;education;stopień;оцінка;noun;
semestr;семестр;semestry;education;semestr;семестр;noun;
rok szkolny;навчальний рік;;education;rok szkolny;навчальний рік;noun;
wakacje;канікули;;education;wakacje;канікули;noun;
ferie;канікули;;education;ferie;канікули;noun;
dyrektor;директор;dyrektorzy;education;dyrektor;директор;noun;
nauczycielka;вчителька;nauczycielki;education;nauczycielka;вчителька;noun;
uczeń;учень;uczniowie;education;uczeń;учень;noun;
uczennica;учениця;uczennice;education;uczennica;учениця;noun;
student;студент;studenci;education;student;студент;noun;
studentka;студентка;studentki;education;studentka;студентка;noun;
tablica;дошка;tablice;education;tablica;дошка;noun;
kreda;крейда;;education;kreda;крейда;noun;
ołówek;олівець;ołówki;education;ołówek;олівець;noun;
linijka;лінійка;linijki;education;linijka;лінійка;noun;
strój sportowy;спортивна форма;;education;strój sportowy;спортивна форма;noun;
profesor;професор;profesorowie;education;profesor;професор;noun;
wykładowca;викладач;wykładowcy;education;wykładowca;викладач;noun;
doktor;доктор;doktorzy;education;doktor;доктор;noun;
magister;магістр;magistrzy;education;magister;магістр;noun;
dziekan;декан;dziekani;education;dziekan;декан;noun;
rektor;ректор;rektorzy;education;rektor;ректор;noun;
zaliczenie;залік;zaliczenia;education;zaliczenie;залік;noun;
sesja;сесія;sesje;education;sesja;сесія;noun;
indeks;залікова книжка;indeksy;education;indeks;залікова книжка;noun;
dyplom;диплом;dyplomy;education;dyplom;диплом;noun;
praca licencjacka;бакалаврська робота;prace licencjackie;education;praca licencjacka;бакалаврська робота;noun;
praca magisterska;магістерська робота;prace magisterskie;education;praca magisterska;магістерська робота;noun;
seminarium;семінар;seminaria;education;seminarium;семінар;noun;
wykład;лекція;wykłady;education;wykład;лекція;noun;
laboratorium;лабораторія;laboratoria;education;laboratorium;лабораторія;noun;
sala;аудиторія;sale;education;sala;аудиторія;noun;
czytelnia;читальня;czytelnie;education;czytelnia;читальня;noun;
akademik;гуртожиток;akademiki;education;akademik;гуртожиток;noun;
stypendium;стипендія;stypendia;education;stypendium;стипендія;noun;
grupa;група;grupy;education;grupa;група;noun;
dziekanat;деканат;dziekanaty;education;dziekanat;деканат;noun;
rejestracja;реєстрація;rejestracje;education;rejestracja;реєстрація;noun;
kierunek;напрям;kierunki;education;kierunek;напрям;noun;
specjalność;спеціальність;specjalności;education;specjalność;спеціальність;noun;
kolokwium;колоквіум;kolokwia;education;kolokwium;колоквіум;noun;
egzamin poprawkowy;повторний іспит;egzaminy poprawkowe;education;egzamin poprawkowy;повторний іспит;noun;
wpis;запис;wpisy;education;wpis;запис;noun;
warunek;умова;warunki;education;warunek;умова;noun;
obrona;захист;obrony;education;obrona;захист;noun;
nauka;наука;;education;nauka;наука;noun;
wiedza;знання;;education;wiedza;знання;noun;
studiowanie;навчання;;education;studiowanie;навчання;noun;
kampus;кампус;kampusy;education;kampus;кампус;noun;
aula;аула;aule;education;aula;аула;noun;
stołówka;їдальня;stołówki;education;stołówka;їдальня;noun;
bufet;буфет;bufety;education;bufet;буфет;noun;
ksero;ксерокс;ksera;education;ksero;ксерокс;noun;
legitymacja studencka;студентський квиток;legitymacje studenckie;education;legitymacja studencka;студентський квиток;noun;
studiować;навчатися;;education;studiować;навчатися;verb (imperfective);
zdać;скласти;;education;zdać;скласти;verb (perfective);
zaliczyć;зарахувати;;education;zaliczyć;зарахувати;verb (perfective);
kartkówka;контрольна;kartkówki;education;kartkówka;контрольна;noun;
test;тест;testy;education;test;тест;noun;
matura;матура;matury;education;matura;матура;noun;
poprawka;перездача;poprawki;education;poprawka;перездача;noun;
świadectwo;атестат;świadectwa;education;świadectwo;атестат;noun;
egzaminator;екзаменатор;egzaminatorzy;education;egzaminator;екзаменатор;noun;
arkusz;бланк;arkusze;education;arkusz;бланк;noun;
pytanie;питання;pytania;education;pytanie;питання;noun;
odpowiedź;відповідь;odpowiedzi;education;odpowiedź;відповідь;noun;
wypracowanie;твір;wypracowania;education;wypracowanie;твір;noun;
czas;час;;education;czas;час;noun;
próg;поріг;progi;education;próg;поріг;noun;
kryterium;критерій;kryteria;education;kryterium;критерій;noun;
uczyć się;вчитися;;education;uczyć się;вчитися;verb (imperfective);
nauczyć się;вивчити;;education;nauczyć się;вивчити;verb (perfective);
przygotowywać się;готуватися;;education;przygotowywać się;готуватися;verb (imperfective);
przygotować się;підготуватися;;education;przygotować się;підготуватися;verb (perfective);
zdawać;складати;;education;zdawać;складати;verb (imperfective);
oblać;провалити;;education;oblać;провалити;verb (perfective);
oblewać;провалювати;;education;oblewać;провалювати;verb (imperfective);
poprawiać;перездавати;;education;poprawiać;перездавати;verb (imperfective);
