szczęśliwy;щасливий;;emotions
smutny;сумний;;emotions
zły;злий;;emotions
zdziwiony;здивований;;emotions
zaskoczony;збентежений;;emotions
wściekły;розлючений;;emotions
spokojny;спокійний;;emotions
zrelaksowany;розслаблений;;emotions
zmęczony;втомлений;;emotions
znudzony;нудний;;emotions
zainteresowany;зацікавлений;;emotions
zauroczony;зачарований;;emotions
zakochany;закоханий;;emotions
rozczarowany;розчарований;;emotions
zawiedziony;розчарований;;emotions
dumny;гордий;;emotions
wstydliwy;сором’язливий;;emotions
zawstydzony;зніяковілий;;emotions
pewny siebie;впевнений у собі;;emotions
niepewny;невпевнений;;emotions
zaniepokojony;схвильований;;emotions
przestraszony;наляканий;;emotions
przerażony;нажаханий;;emotions
zdezorientowany;збентежений;;emotions
zaskoczony;здивований;;emotions
rozgniewany;розгніваний;;emotions
irytowany;роздратований;;emotions
frustrowany;розчарований;;emotions
zrezygnowany;змирився;;emotions
optymistyczny;оптимістичний;;emotions
pesymistyczny;песимістичний;;emotions
entuzjastyczny;енергійний;;emotions
apatyczny;апатичний;;emotions
obojętny;байдужий;;emotions
współczujący;співчутливий;;emotions
zazdrosny;заздрісний;;emotions
zazdrosny;ревнивий;;emotions
wdzięczny;вдячний;;emotions
rozczulony;розчулений;;emotions
zachwycony;захоплений;;emotions
rozradowany;радісний;;emotions
przygnębiony;пригнічений;;emotions
zrozpaczony;розпачливий;;emotions
rozżalony;ображений;;emotions
zraniony;ображений;;emotions
podekscytowany;схвильований;;emotions
zestresowany;стресований;;emotions
odprężony;розслаблений;;emotions
zachwycony;в захваті;;emotions
zaniepokojony;стурбований;;emotions
zatroskany;стурбований;;emotions
zrezygnowany;збайдужілий;;emotions
zachwycający;чарівний;;emotions
rozczarowujący;розчаровуючий;;emotions
