środowisko;довкілля;środowiska;environment;środowisko;довкілля;noun;
zanieczyszczenie;забруднення;zanieczyszczenia;environment;zanieczyszczenie;забруднення;noun;
smog;смог;;environment;smog;смог;noun;
odpad;відхід;odpady;environment;odpad;відхід;noun;
śmieć;сміття;śmieci;environment;śmieć;сміття;noun;
wysypisko;звалище;wysypiska;environment;wysypisko;звалище;noun;
recykling;рециклінг;;environment;recykling;рециклінг;noun;
segregacja;сортування;;environment;segregacja;сортування;noun;
plastik;пластик;plastiki;environment;plastik;пластик;noun;
szkło;скло;szkła;environment;szkło;скло;noun;
metal;метал;metale;environment;metal;метал;noun;
bateria;батарейка;baterie;environment;bateria;батарейка;noun;
butelka;пляшка;butelki;environment;butelka;пляшка;noun;
pojemnik;контейнер;pojemniki;environment;pojemnik;контейнер;noun;
śmieciarka;сміттєвоз;śmieciarki;environment;śmieciarka;сміттєвоз;noun;
toksyczny;токсичний;;environment;toksyczny;токсичний;adj;
niebezpieczny;небезпечний;;environment;niebezpieczny;небезпечний;adj;
zanieczyszczać;забруднювати;;environment;zanieczyszczać;забруднювати;verb (imperfective);
zanieczyścić;забруднити;;environment;zanieczyścić;забруднити;verb (perfective);
segregować;сортувати;;environment;segregować;сортувати;verb (imperfective);
posegregować;посортувати;;environment;posegregować;посортувати;verb (perfective);
przetwarzać;переробляти;;environment;przetwarzać;переробляти;verb (imperfective);
przetworzyć;переробити;;environment;przetworzyć;переробити;verb (perfective);
redukować;зменшувати;;environment;redukować;зменшувати;verb (imperfective);
zredukować;зменшити;;environment;zredukować;зменшити;verb (perfective);
ponowne użycie;повторне використання;;environment;użycie;використання;noun;
kompost;компост;komposty;environment;kompost;компост;noun;
kompostownik;компостер;kompostowniki;environment;kompostownik;компостер;noun;
spaliny;вихлопні гази;;environment;spalina;вихлопний газ;noun;
pył;пил;;environment;pył;пил;noun;
dziura ozonowa;озонова діра;dziury ozonowe;environment;dziura ozonowa;озонова діра;noun;
efekt cieplarniany;парниковий ефект;;environment;efekt cieplarniany;парниковий ефект;noun;
globalne ocieplenie;глобальне потепління;;environment;globalne ocieplenie;глобальне потепління;noun;
emisja;емісія;emisje;environment;emisja;емісія;noun;
dwutlenek węgla;вуглекислий газ;;environment;dwutlenek węgla;вуглекислий газ;noun;
kwaśny deszcz;кислотний дощ;kwaśne deszcze;environment;kwaśny deszcz;кислотний дощ;noun;
odpady niebezpieczne;небезпечні відходи;;environment;odpad niebezpieczny;небезпечний відхід;noun;
sortownia;сортувальня;sortownie;environment;sortownia;сортувальня;noun;
odzyskiwać;відновлювати;;environment;odzyskiwać;відновлювати;verb (imperfective);
odzyskać;відновити;;environment;odzyskać;відновити;verb (perfective);
składowisko;звалище;składowiska;environment;składowisko;звалище;noun;
biodegradowalny;біорозкладний;;environment;biodegradowalny;біорозкладний;adj;
chomik;хом'як;chomiki;environment;chomik;хом'як;noun;
królik;кролик;króliki;environment;królik;кролик;noun;
papuga;папуга;papugi;environment;papuga;папуга;noun;
rybka;рибка;rybki;environment;rybka;рибка;noun;
żółw;черепаха;żółwie;environment;żółw;черепаха;noun;
świnia;свиня;świnie;environment;świnia;свиня;noun;
koza;коза;kozy;environment;koza;коза;noun;
kaczka;качка;kaczki;environment;kaczka;качка;noun;
gęś;гуска;gęsi;environment;gęś;гуска;noun;
ssak;ссавець;ssaki;environment;ssak;ссавець;noun;
gad;плазун;gady;environment;gad;плазун;noun;
płaz;земноводне;płazy;environment;płaz;земноводне;noun;
owad;комаха;owady;environment;owad;комаха;noun;
pająk;павук;pająki;environment;pająk;павук;noun;
mysz;миша;myszy;environment;mysz;миша;noun;
szczur;щур;szczury;environment;szczur;щур;noun;
kanarek;канарка;kanarki;environment;kanarek;канарка;noun;
świnka morska;морська свинка;świnki morskie;environment;świnka morska;морська свинка;noun;
szczeniak;цуценя;szczeniaki;environment;szczeniak;цуценя;noun;
kociak;кошеня;kociaki;environment;kociak;кошеня;noun;
łapa;лапа;łapy;environment;łapa;лапа;noun;
ogon;хвіст;ogony;environment;ogon;хвіст;noun;
sierść;шерсть;;environment;sierść;шерсть;noun;
futro;хутро;futra;environment;futro;хутро;noun;
dziób;дзьоб;dzioby;environment;dziób;дзьоб;noun;
skrzydło;крило;skrzydła;environment;skrzydło;крило;noun;
pazur;кіготь;pazury;environment;pazur;кіготь;noun;
kaganiec;намордник;kagańce;environment;kaganiec;намордник;noun;
smycz;повідець;smycze;environment;smycz;повідець;noun;
klatka;клітка;klatki;environment;klatka;клітка;noun;
akwarium;акваріум;akwaria;environment;akwarium;акваріум;noun;
terrarium;тераріум;terraria;environment;terrarium;тераріум;noun;
karma;корм;;environment;karma;корм;noun;
karmić;годувати;;environment;karmić;годувати;verb (imperfective);
szczekać;гавкати;;environment;szczekać;гавкати;verb (imperfective);
miauczeć;нявкати;;environment;miauczeć;нявкати;verb (imperfective);
gryźć;гризти;;environment;gryźć;гризти;verb (imperfective);
drapać;дряпати;;environment;drapać;дряпати;verb (imperfective);
opiekować się;доглядати;;environment;opiekować się;доглядати;verb (imperfective);
dziki;дикий;;environment;dziki;дикий;adj;
liść;лист;liście;environment;liść;лист;noun;
korzeń;корінь;korzenie;environment;korzeń;корінь;noun;
gałąź;гілка;gałęzie;environment;gałąź;гілка;noun;
pień;стовбур;pnі;environment;pień;стовбур;noun;
kora;кора;;environment;kora;кора;noun;
nasienie;насіння;nasiona;environment;nasienie;насіння;noun;
pączek;брунька;pączki;environment;pączek;брунька;noun;
krzew;кущ;krzewy;environment;krzew;кущ;noun;
mech;мох;mchy;environment;mech;мох;noun;
paproć;папороть;paprocie;environment;paproć;папороть;noun;
igła;голка;igły;environment;igła;голка;noun;
szyszka;шишка;szyszki;environment;szyszka;шишка;noun;
jagoda;ягода;jagody;environment;jagoda;ягода;noun;
grzyb;гриб;grzyby;environment;grzyb;гриб;noun;
kłącze;кореневище;kłącza;environment;kłącze;кореневище;noun;
sadzonka;саджанець;sadzonki;environment;sadzonka;саджанець;noun;
dąb;дуб;dęby;environment;dąb;дуб;noun;
brzoza;береза;brzozy;environment;brzoza;береза;noun;
sosna;сосна;sosny;environment;sosna;сосна;noun;
świerk;ялина;świerki;environment;świerk;ялина;noun;
jodła;ялиця;jodły;environment;jodła;ялиця;noun;
klon;клен;klony;environment;klon;клен;noun;
lipa;липа;lipy;environment;lipa;липа;noun;
wierzbа;верба;wierzby;environment;wierzba;верба;noun;
topola;тополя;topole;environment;topola;тополя;noun;
żywopłot;живопліт;żywopłoty;environment;żywopłot;живопліт;noun;
kwiaciarnia;квітковий магазин;kwiaciarnie;environment;kwiaciarnia;квітковий магазин;noun;
doniczka;вазон;doniczki;environment;doniczka;вазон;noun;
konewka;лійка;konewki;environment;konewka;лійка;noun;
nawóz;добриво;nawozy;environment;nawóz;добриво;noun;
rosnąć;рости;;environment;rosnąć;рости;verb (imperfective);
zasiać;посіяти;;environment;zasiać;посіяти;verb (perfective);
sadzić;саджати;;environment;sadzić;саджати;verb (imperfective);
kwitnąć;цвісти;;environment;kwitnąć;цвісти;verb (imperfective);
więdnąć;в'янути;;environment;więdnąć;в'янути;verb (imperfective);
zielony;зелений;;environment;zielony;зелений;adj;
leśny;лісовий;;environment;leśny;лісовий;adj;
ogrodniczy;садівничий;;environment;ogrodniczy;садівничий;adj;
botaniczny;ботанічний;;environment;botaniczny;ботанічний;adj;
atmosfera;атмосфера;atmosfery;environment;atmosfera;атмосфера;noun;
zmiana;зміна;zmiany;environment;zmiana;зміна;noun;
ocieplenie;потепління;;environment;ocieplenie;потепління;noun;
efekt;ефект;efekty;environment;efekt;ефект;noun;
