matka;мати;ж.р.;family
ojciec;батько;м.р.;family
syn;син;м.р.;family
córka;дочка;ж.р.;family
brat;брат;м.р.;family
siostra;сестра;ж.р.;family
dziadek;дідусь;м.р.;family
babcia;бабуся;ж.р.;family
wnuk;онук;м.р.;family
wnuczka;онука;ж.р.;family
mąż;чоловік;м.р.;family
żona;дружина;ж.р.;family
dziecko;дитина;с.р.;family
rodzice;батьки;;family
rodzeństwo;брати й сестри;;family
teść;тесть;м.р.;family
teściowa;теща;ж.р.;family
zięć;зять;м.р.;family
synowa;невістка;ж.р.;family
kuzyn;двоюрідний брат;м.р.;family
kuzynka;двоюрідна сестра;ж.р.;family
wujek;дядько;м.р.;family
ciocia;тітка;ж.р.;family
bratanek;племінник;м.р.;family
bratanica;племінниця;ж.р.;family
siostrzeniec;племінник;м.р.;family
siostrzenica;племінниця;ж.р.;family
pradziadek;прадід;м.р.;family
prababcia;прабабуся;ж.р.;family
prawnuk;правнук;м.р.;family
prawnuczka;правнучка;ж.р.;family
szwagier;шурин;м.р.;family
szwagierka;своячка;ж.р.;family
ojczym;вітчим;м.р.;family
macocha;мачуха;ж.р.;family
pasierb;пасинок;м.р.;family
pasierbica;падчерка;ж.р.;family
krewny;родич;м.р.;family
krewna;родичка;ж.р.;family
rodzina;родина;ж.р.;family
małżeństwo;подружжя;с.р.;family
narzeczony;наречений;м.р.;family
narzeczona;наречена;ж.р.;family
chrzestny;хрещений батько;м.р.;family
chrzestna;хрещена мати;ж.р.;family
chrześniak;хрещеник;м.р.;family
chrześniaczka;хрещениця;ж.р.;family
opiekun;опікун;м.р.;family
opiekunka;опікунка;ж.р.;family
sierota;сирота;ж.р.;family
adoptowany;усиновлений;м.р.;family
adoptowana;усиновлена;ж.р.;family
