kelnerka;офіціантка;kelnerki;food;kelnerka;офіціантка;noun;
menu;меню;menu;food;menu;меню;noun;
zamówienie;замовлення;zamówienia;food;zamówienie;замовлення;noun;
stolik;столик;stoliki;food;stolik;столик;noun;
talerz;тарілка;talerze;food;talerz;тарілка;noun;
widelec;виделка;widelce;food;widelec;виделка;noun;
nóż;ніж;noże;food;nóż;ніж;noun;
łyżka;ложка;łyżki;food;łyżka;ложка;noun;
łyżeczka;ложечка;łyżeczki;food;łyżeczka;ложечка;noun;
szklanka;склянка;szklanki;food;szklanka;склянка;noun;
kieliszek;келих;kieliszki;food;kieliszek;келих;noun;
filiżanka;чашка;filiżanki;food;filiżanka;чашка;noun;
serwetka;серветка;serwetki;food;serwetka;серветка;noun;
obrus;скатертина;obrusy;food;obrus;скатертина;noun;
świeczka;свічка;świeczki;food;świeczka;свічка;noun;
danie;страва;dania;food;danie;страва;noun;
przystawka;закуска;przystawki;food;przystawka;закуска;noun;
zupa;суп;zupy;food;zupa;суп;noun;
danie główne;основна страва;dania główne;food;danie główne;основна страва;noun;
deser;десерт;desery;food;deser;десерт;noun;
pieprz;перець;;food;pieprz;перець;noun;
sos;соус;sosy;food;sos;соус;noun;
ryba;риба;ryby;food;ryba;риба;noun;
owoce morza;морепродукти;;food;owoc morza;морепродукт;noun;
sztuciec;столовий прибор;sztućce;food;sztuciec;столовий прибор;noun;
dzbanek;глечик;dzbanki;food;dzbanek;глечик;noun;
popielniczka;попільничка;popielniczki;food;popielniczka;попільничка;noun;
ugotować;зварити;;food;ugotować;зварити;verb (perfective);
smażyć;смажити;;food;smażyć;смажити;verb (imperfective);
usmażyć;посмажити;;food;usmażyć;посмажити;verb (perfective);
piec;пекти;;food;piec;пекти;verb (imperfective);
upiec;спекти;;food;upiec;спекти;verb (perfective);
kroić;різати;;food;kroić;різати;verb (imperfective);
pokroić;порізати;;food;pokroić;порізати;verb (perfective);
siekać;сікти;;food;siekać;сікти;verb (imperfective);
posiekać;посікти;;food;posiekać;посікти;verb (perfective);
mieszać;мішати;;food;mieszać;мішати;verb (imperfective);
wymieszać;перемішати;;food;wymieszać;перемішати;verb (perfective);
dodawać;додавати;;food;dodawać;додавати;verb (imperfective);
dodać;додати;;food;dodać;додати;verb (perfective);
solić;солити;;food;solić;солити;verb (imperfective);
posolić;посолити;;food;posolić;посолити;verb (perfective);
pieprzyć;перчити;;food;pieprzyć;перчити;verb (imperfective);
popieprzyć;поперчити;;food;popieprzyć;поперчити;verb (perfective);
obtaczać;обвалювати;;food;obtaczać;обвалювати;verb (imperfective);
obtoczyć;обваляти;;food;obtoczyć;обваляти;verb (perfective);
panierować;панірувати;;food;panierować;панірувати;verb (imperfective);
opanierować;запанірувати;;food;opanierować;запанірувати;verb (perfective);
parować;парити;;food;parować;парити;verb (imperfective);
