znajomy;знайомий;znajomi;relationships;znajomy;знайомий;noun;
znajoma;знайома;znajome;relationships;znajoma;знайома;noun;
zaufanie;довіра;;relationships;zaufanie;довіра;noun;
zaufany;довірений;;relationships;zaufany;довірений;adj;
wierny;вірний;;relationships;wierny;вірний;adj;
oddanie;відданість;;relationships;oddanie;відданість;noun;
oddany;відданий;;relationships;oddany;відданий;adj;
wsparcie;підтримка;;relationships;wsparcie;підтримка;noun;
wspierać;підтримувати;;relationships;wspierać;підтримувати;verb (imperfective);
pomagać;допомагати;;relationships;pomagać;допомагати;verb (imperfective);
pomoc;допомога;;relationships;pomoc;допомога;noun;
porozmawiać;поговорити;;relationships;porozmawiać;поговорити;verb (perfective);
towarzysz;товариш;towarzysze;relationships;towarzysz;товариш;noun;
bliski;близький;;relationships;bliski;близький;adj;
bliskość;близькість;;relationships;bliskość;близькість;noun;
sympatia;симпатія;;relationships;sympatia;симпатія;noun;
sympatyczny;симпатичний;;relationships;sympatyczny;симпатичний;adj;
lubić;любити;;relationships;lubić;любити;verb (imperfective);
przyjaźnić się;дружити;;relationships;przyjaźnić;дружити;verb (imperfective);
dogadywać się;ладити;;relationships;dogadywać;ладити;verb (imperfective);
godzić się;миритися;;relationships;godzić;мирити;verb (imperfective);
kłótnia;сварка;kłótnie;relationships;kłótnia;сварка;noun;
pogodzić się;помиритися;;relationships;pogodzić;помирити;verb (perfective);
przepraszać;вибачатися;;relationships;przepraszać;вибачатися;verb (imperfective);
przeprosić;вибачитися;;relationships;przeprosić;вибачитися;verb (perfective);
wybaczać;прощати;;relationships;wybaczać;прощати;verb (imperfective);
wybaczyć;пробачити;;relationships;wybaczyć;пробачити;verb (perfective);
żal;жаль;;relationships;żal;жаль;noun;
smutek;сум;;relationships;smutek;сум;noun;
tęsknić;сумувати;;relationships;tęsknić;сумувати;verb (imperfective);
tęsknota;туга;;relationships;tęsknota;туга;noun;
pamiętać;пам’ятати;;relationships;pamiętać;пам’ятати;verb (imperfective);
pamięć;пам’ять;;relationships;pamięć;пам’ять;noun;
obietnica;обіцянка;obietnice;relationships;obietnica;обіцянка;noun;
obiecać;пообіцяти;;relationships;obiecać;пообіцяти;verb (perfective);
dotrzymać;дотримати;;relationships;dotrzymać;дотримати;verb (perfective);
zdrada;зрада;zdrady;relationships;zdrada;зрада;noun;
impreza;вечірка;imprezy;relationships;impreza;вечірка;noun;
przyjęcie;прийом;przyjęcia;relationships;przyjęcie;прийом;noun;
gość;гість;goście;relationships;gość;гість;noun;
zaproszenie;запрошення;zaproszenia;relationships;zaproszenie;запрошення;noun;
zapraszać;запрошувати;;relationships;zapraszać;запрошувати;verb (imperfective);
zaprosić;запросити;;relationships;zaprosić;запросити;verb (perfective);
świętować;святкувати;;relationships;świętować;святкувати;verb (imperfective);
uczcić;відсвяткувати;;relationships;uczcić;відсвяткувати;verb (perfective);
toast;тост;toasty;relationships;toast;тост;noun;
zatańczyć;затанцювати;;relationships;zatańczyć;затанцювати;verb (perfective);
spotkać się;зустрітися;;relationships;spotkać się;зустрітися;verb (perfective);
bawić się;розважатися;;relationships;bawić się;розважатися;verb (imperfective);
zabawa;розвага;zabawy;relationships;zabawa;розвага;noun;
gościnność;гостинність;;relationships;gościnność;гостинність;noun;
dekoracja;декорація;dekoracje;relationships;dekoracja;декорація;noun;
balon;кулька;balony;relationships;balon;кулька;noun;
prezent;подарунок;prezenty;relationships;prezent;подарунок;noun;
dawać;давати;;relationships;dawać;давати;verb (imperfective);
dać;дати;;relationships;dać;дати;verb (perfective);
dziękować;дякувати;;relationships;dziękować;дякувати;verb (imperfective);
podziękować;подякувати;;relationships;podziękować;подякувати;verb (perfective);
uśmiech;усмішка;uśmiechy;relationships;uśmiech;усмішка;noun;
śmiech;сміх;;relationships;śmiech;сміх;noun;
śmiać się;сміятися;;relationships;śmiać się;сміятися;verb (imperfective);
zaśmiać się;засміятися;;relationships;zaśmiać się;засміятися;verb (perfective);
