bluzka;блузка;bluzki;shopping;bluzka;блузка;noun;
sukienka;сукня;sukienki;shopping;sukienka;сукня;noun;
spódnica;спідниця;spódnice;shopping;spódnica;спідниця;noun;
dżinsy;джинси;dżinsy;shopping;dżinsy;джинси;noun;
garnitur;костюм;garnitury;shopping;garnitur;костюм;noun;
marynarka;піджак;marynarki;shopping;marynarka;піджак;noun;
płaszcz;пальто;płaszcze;shopping;płaszcz;пальто;noun;
golf;гольф;golfy;shopping;golf;гольф;noun;
podkoszulek;майка;podkoszulki;shopping;podkoszulek;майка;noun;
krawat;краватка;krawaty;shopping;krawat;краватка;noun;
muszka;метелик;muszki;shopping;muszka;метелик;noun;
trampek;кед;trampki;shopping;trampek;кед;noun;
rajstopy;колготки;rajstopy;shopping;rajstopy;колготки;noun;
szlafrok;халат;szlafroki;shopping;szlafrok;халат;noun;
biustonosz;бюстгальтер;biustonosze;shopping;biustonosz;бюстгальтер;noun;
majtki;труси;majtki;shopping;majtki;труси;noun;
bokserki;боксери;bokserki;shopping;bokserki;боксери;noun;
rozmiar;розмір;rozmiary;shopping;rozmiar;розмір;noun;
przecena;розпродаж;przeceny;shopping;przecena;розпродаж;noun;
metka;бирка;metki;shopping;metka;бирка;noun;
przymierzalnia;примірочна;przymierzalnie;shopping;przymierzalnia;примірочна;noun;
kołnierz;комір;kołnierze;shopping;kołnierz;комір;noun;
rękaw;рукав;rękawy;shopping;rękaw;рукав;noun;
kieszeń;кишеня;kieszenie;shopping;kieszeń;кишеня;noun;
pasek;ремінь;paski;shopping;pasek;ремінь;noun;
mały;малий;;shopping;mały;малий;adj;
duży;великий;;shopping;duży;великий;adj;
ciasny;тісний;;shopping;ciasny;тісний;adj;
luźny;вільний;;shopping;luźny;вільний;adj;
modny;модний;;shopping;modny;модний;adj;
koszyk;кошик;koszyki;shopping;koszyk;кошик;noun;
wózek;візок;wózki;shopping;wózek;візок;noun;
paragon;чек;paragony;shopping;paragon;чек;noun;
pieczywo;хліб;;shopping;pieczywo;хліб;noun;
nabiał;молочні продукти;;shopping;nabiał;молочні продукти;noun;
