komputer;комп'ютер;;technologia
telefon;телефон;;technologia
internet;інтернет;;technologia
oprogramowanie;програмне забезпечення;;technologia
sprzęt;обладнання;;technologia
aplikacja;додаток;;technologia
system;система;;technologia
sieć;мережа;;technologia
serwer;сервер;;technologia
baza danych;база даних;;technologia
chmura;хмара;;technologia
sztuczna inteligencja;штучний інтелект;;technologia
robotyka;робототехніка;;technologia
algorytm;алгоритм;;technologia
programowanie;програмування;;technologia
kod;код;;technologia
debugowanie;налагодження;;technologia
interfejs;інтерфейс;;technologia
procesor;процесор;;technologia
pamięć;пам'ять;;technologia
dysk twardy;жорсткий диск;;technologia
karta graficzna;відеокарта;;technologia
monitor;монітор;;technologia
klawiatura;клавіатура;;technologia
mysz;миша;;technologia
drukarka;принтер;;technologia
skaner;сканер;;technologia
router;роутер;;technologia
modem;модем;;technologia
kabel;кабель;;technologia
bateria;батарея;;technologia
ładowarka;зарядний пристрій;;technologia
ekran;екран;;technologia
dotykowy;сенсорний;;technologia
smartfon;смартфон;;technologia
tablet;планшет;;technologia
laptop;ноутбук;;technologia
komputer stacjonarny;стаціонарний комп'ютер;;technologia
wirus;вірус;;technologia
zabezpieczenia;захист;;technologia
firewall;брандмауер;;technologia
szyfrowanie;шифрування;;technologia
aktualizacja;оновлення;;technologia
backup;резервне копіювання;;technologia
przeglądarka;браузер;;technologia
wyszukiwarka;пошукова система;;technologia
strona internetowa;веб-сайт;;technologia
link;посилання;;technologia
hasło;пароль;;technologia
konto;акаунт;;technologia
logowanie;вхід;;technologia
wylogowanie;вихід;;technologia
multimedia;мультимедіа;;technologia
streaming;потокове мовлення;;technologia
głośnik;динамік;;technologia
mikrofon;мікрофон;;technologia
kamera;камера;;technologia
wirtualna rzeczywistość;віртуальна реальність;;technologia
rozszerzona rzeczywistość;доповнена реальність;;technologia
