samochód;автомобіль;;transport
rower;велосипед;;transport
autobus;автобус;;transport
pociąg;поїзд;;transport
tramwaj;трамвай;;transport
metro;метро;;transport
taksówka;таксі;;transport
ciężarówka;вантажівка;;transport
motocykl;мотоцикл;;transport
statek;корабель;;transport
samolot;літак;;transport
łódź;човен;;transport
helikopter;гелікоптер;;transport
hulajnoga;самокат;;transport
skuter;скутер;;transport
prom;пором;;transport
ciągnik;трактор;;transport
furgonetka;фургон;;transport
karetka;швидка допомога;;transport
wóz strażacki;пожежна машина;;transport
rower elektryczny;електровелосипед;;transport
deskorolka;скейтборд;;transport
monocykl;одноколісний велосипед;;transport
dorożka;фаетон;;transport
riksza;рікша;;transport
balon;повітряна куля;;transport
sterowiec;дирижабль;;transport
poduszkowiec;судно на повітряній подушці;;transport
kajak;каяк;;transport
kajak motorowy;моторний човен;;transport
jacht;яхта;;transport
skuter wodny;гідроцикл;;transport
pociąg towarowy;товарний поїзд;;transport
pociąg podmiejski;електричка;;transport
pociąg ekspresowy;експрес;;transport
stacja benzynowa;автозаправна станція;;transport
dworzec;вокзал;;transport
lotnisko;аеропорт;;transport
port;порт;;transport
przystanek;зупинка;;transport
peron;перон;;transport
tor;колія;;transport
most;міст;;transport
tunel;тунель;;transport
droga;дорога;;transport
autostrada;автострада;;transport
ulica;вулиця;;transport
sygnalizacja świetlna;світлофор;;transport
znak drogowy;дорожній знак;;transport
parking;парковка;;transport
benzyna;бензин;;transport
diesel;дизель;;transport
hamulec;гальмо;;transport
silnik;двигун;;transport
kierownica;кермо;;transport
bilet;квиток;;transport
przejazd;поїздка;;transport
opłata drogowa;дорожній збір;;transport
