autobus;автобус;m;travel
tramwaj;трамвай;m;travel
pociąg;поїзд;m;travel
metro;метро;n;travel
bilet;квиток;m;travel
przystanek;зупинка;m;travel
dworzec;вокзал;m;travel
peron;перон;m;travel
kasa;каса;f;travel
rozkład jazdy;розклад руху;m;travel
stacja;станція;f;travel
wagon;вагон;m;travel
miejsce;місце;n;travel
pasażer;пасажир;m;travel
pasażerka;пасажирка;f;travel
kierowca;водій;m;travel
motorniczy;вагоновод;m;travel
kontrola biletów;контроль квитків;f;travel
bilet miesięczny;місячний квиток;m;travel
bilet ulgowy;пільговий квиток;m;travel
bilet normalny;звичайний квиток;m;travel
linia;лінія;f;travel
komunikacja miejska;міський транспорт;f;travel
przesiadka;пересадка;f;travel
opóźnienie;затримка;n;travel
odjazd;відправлення;m;travel
przyjazd;прибуття;m;travel
podróż;подорож;f;travel
bagaż;багаж;m;travel
walizka;валіза;f;travel
plecak;рюкзак;m;travel
torba;сумка;f;travel
mapa;мапа;f;travel
plan miasta;план міста;m;travel
informacja;інформація;f;travel
poczekalnia;чекальня;f;travel
kiosk;кіоск;m;travel
automat biletowy;квитковий автомат;m;travel
przejście podziemne;підземний перехід;n;travel
schody ruchome;рухомі сходи;pl;travel
winda;ліфт;f;travel
barierka;бар'єр;f;travel
tor;колія;m;travel
zwrotnica;стрілка;f;travel
semafor;семафор;m;travel
zawiadowca;начальник станції;m;travel
konduktor;кондуктор;m;travel
maszynista;машиніст;m;travel
podróżny;подорожній;m;travel
bagażowy;носій;m;travel
lot;рейс;m;travel
samolot;літак;m;travel
bilet;квиток;m;travel
rezerwacja;бронювання;f;travel
lotnisko;аеропорт;n;travel
terminal;термінал;m;travel
odprawa;реєстрація;f;travel
bagaż;багаж;m;travel
walizka;валіза;f;travel
paszport;паспорт;m;travel
wiza;віза;f;travel
bilet elektroniczny;електронний квиток;m;travel
karta pokładowa;посадковий талон;f;travel
miejsce;місце;n;travel
klasa ekonomiczna;економ-клас;f;travel
klasa biznes;бізнес-клас;f;travel
lot bezpośredni;прямий рейс;m;travel
przesiadka;пересадка;f;travel
opóźnienie;затримка;n;travel
