company;компанія;ж.р.;business
corporation;корпорація;ж.р.;business
enterprise;підприємство;с.р.;business
firm;фірма;ж.р.;business
business;бізнес;ч.р.;business
market;ринок;ч.р.;business
economy;економіка;ж.р.;business
trade;торгівля;ж.р.;business
commerce;комерція;ж.р.;business
industry;індустрія;ж.р.;business
management;менеджмент;ч.р.;business
leadership;лідерство;с.р.;business
strategy;стратегія;ж.р.;business
plan;план;ч.р.;business
project;проект;ч.р.;business
investment;інвестиція;ж.р.;business
capital;капітал;ч.р.;business
profit;прибуток;ч.р.;business
loss;збиток;ч.р.;business
revenue;дохід;ч.р.;business
expense;витрата;ж.р.;business
budget;бюджет;ч.р.;business
account;рахунок;ч.р.;business
client;клієнт;ч.р.;business
customer;покупець;ч.р.;business
consumer;споживач;ч.р.;business
partner;партнер;ч.р.;business
supplier;постачальник;ч.р.;business
contract;контракт;ч.р.;business
agreement;угода;ж.р.;business
deal;угода;ж.р.;business
negotiation;переговори;мн.;business
meeting;зустріч;ж.р.;business
presentation;презентація;ж.р.;business
report;звіт;ч.р.;business
analysis;аналіз;ч.р.;business
data;дані;мн.;business
research;дослідження;с.р.;business
development;розвиток;ч.р.;business
innovation;інновація;ж.р.;business
technology;технологія;ж.р.;business
product;продукт;ч.р.;business
service;послуга;ж.р.;business
brand;бренд;ч.р.;business
marketing;маркетинг;ч.р.;business
advertising;реклама;ж.р.;business
sales;продажі;мн.;business
price;ціна;ж.р.;business
cost;вартість;ж.р.;business
value;цінність;ж.р.;business
competition;конкуренція;ж.р.;business
risk;ризик;ч.р.;business
opportunity;можливість;ж.р.;business
growth;зростання;с.р.;business
success;успіх;ч.р.;business
