shirt;сорочка;;clothing
trousers;штани;;clothing
jeans;джинси;;clothing
jacket;куртка;;clothing
coat;пальто;;clothing
dress;сукня;;clothing
skirt;спідниця;;clothing
blouse;блузка;;clothing
T-shirt;футболка;;clothing
sweater;светр;;clothing
hoodie;толстовка з капюшоном;;clothing
sweatshirt;світшот;;clothing
cardigan;кардиган;;clothing
vest;жилет;;clothing
suit;костюм;;clothing
tie;краватка;;clothing
scarf;шарф;;clothing
gloves;рукавички;;clothing
hat;капелюх;;clothing
cap;кепка;;clothing
beanie;шапка;;clothing
socks;шкарпетки;;clothing
shoes;взуття;;clothing
boots;чоботи;;clothing
sneakers;кросівки;;clothing
sandals;сандалі;;clothing
heels;туфлі на підборах;;clothing
belt;ремінь;;clothing
underwear;нижня білизна;;clothing
bra;бюстгальтер;;clothing
panties;трусики;;clothing
boxers;боксери;;clothing
pajamas;піжама;;clothing
robe;халат;;clothing
swimsuit;купальник;;clothing
bikini;бікіні;;clothing
shorts;шорти;;clothing
leggings;легінси;;clothing
tights;колготки;;clothing
polo shirt;поло;;clothing
blazer;блейзер;;clothing
overcoat;шинель;;clothing
raincoat;дощовик;;clothing
waistcoat;жилет (частина костюма);;clothing
mittens;рукавиці;;clothing
earmuffs;навушники (теплі);;clothing
apron;фартух;;clothing
suspenders;підтяжки;;clothing
bow tie;метелик (краватка);;clothing
pocket;кишеня;;clothing
zipper;блискавка;;clothing
button;ґудзик;;clothing
fabric;тканина;;clothing
lace;мереживо;;clothing
cotton;бавовна;;clothing
wool;вовна;;clothing
silk;шовк;;clothing
linen;льон;;clothing
