biology;біологія;;education;biology;біологія;noun
chemistry;хімія;;education;chemistry;хімія;noun
physics;фізика;;education;physics;фізика;noun
mathematics;математика;;education;mathematics;математика;noun
algebra;алгебра;;education;algebra;алгебра;noun
geometry;геометрія;;education;geometry;геометрія;noun
history;історія;;education;history;історія;noun
geography;географія;;education;geography;географія;noun
literature;література;;education;literature;література;noun
art;мистецтво;;education;art;мистецтво;noun
music;музика;;education;music;музика;noun
physical education;фізкультура;;education;physical education;фізкультура;noun
computer science;інформатика;;education;computer science;інформатика;noun
economics;економіка;;education;economics;економіка;noun
psychology;психологія;;education;psychology;психологія;noun
philosophy;філософія;;education;philosophy;філософія;noun
sociology;соціологія;;education;sociology;соціологія;noun
law;право;;education;law;право;noun
medicine;медицина;;education;medicine;медицина;noun
engineering;інженерія;;education;engineering;інженерія;noun
architecture;архітектура;;education;architecture;архітектура;noun
astronomy;астрономія;;education;astronomy;астрономія;noun
ecology;екологія;;education;ecology;екологія;noun
ethics;етика;;education;ethics;етика;noun
religious studies;релігієзнавство;;education;religious studies;релігієзнавство;noun
civics;громадянська освіта;;education;civics;громадянська освіта;noun
drama;драма;;education;drama;драма;noun
dance;танці;танці (masculine);education;dance;танець;noun
photography;фотографія;;education;photography;фотографія;noun
film studies;кінознавство;;education;film studies;кінознавство;noun
media studies;медіазнавство;;education;media studies;медіазнавство;noun
graphic design;графічний дизайн;;education;graphic design;графічний дизайн;noun
business studies;бізнес-освіта;;education;business studies;бізнес-освіта;noun
accounting;бухгалтерський облік;;education;accounting;бухгалтерський облік;noun
marketing;маркетинг;;education;marketing;маркетинг;noun
tourism;туризм;;education;tourism;туризм;noun
hospitality;готельна справа;;education;hospitality;готельна справа;noun
fashion design;дизайн одягу;;education;fashion design;дизайн одягу;noun
textiles;текстильна справа;;education;textiles;текстильна справа;noun
culinary arts;кулінарія;;education;culinary arts;кулінарія;noun
health education;здоров'язбереження;;education;health education;здоров'язбереження;noun
sex education;сексуальна освіта;;education;sex education;сексуальна освіта;noun
environmental science;екологічна наука;;education;environmental science;екологічна наука;noun
political science;політологія;;education;political science;політологія;noun
anthropology;антропологія;;education;anthropology;антропологія;noun
foreign language;іноземна мова;іноземні мови (feminine);education;foreign language;іноземна мова;noun
English;англійська мова;англійські мови (feminine);education;English;англійська мова;noun
Spanish;іспанська мова;іспанські мови (feminine);education;Spanish;іспанська мова;noun
German;німецька мова;німецькі мови (feminine);education;German;німецька мова;noun
French;французька мова;французькі мови (feminine);education;French;французька мова;noun
lecture;лекція;lectures (feminine);education;lecture;лекція;noun
professor;професор;professors (masculine);education;professor;професор;noun
student;студент;students (masculine);education;student;студент;noun
campus;кампус;campuses (masculine);education;campus;кампус;noun
degree;ступінь;degrees (masculine);education;degree;ступінь;noun
exam;іспит;exams (masculine);education;exam;іспит;noun
library;бібліотека;libraries (feminine);education;library;бібліотека;noun
assignment;завдання;assignments (neuter);education;assignment;завдання;noun
deadline;дедлайн;deadlines (masculine);education;deadline;дедлайн;noun
scholarship;стипендія;scholarships (feminine);education;scholarship;стипендія;noun
dormitory;гуртожиток;dormitories (masculine);education;dormitory;гуртожиток;noun
tuition;плата за навчання;;education;tuition;плата за навчання;noun
freshman;першокурсник;freshmen (masculine);education;freshman;першокурсник;noun
sophomore;другокурсник;sophomores (masculine);education;sophomore;другокурсник;noun
junior;третьокурсник;juniors (masculine);education;junior;третьокурсник;noun
senior;четвертокурсник;seniors (masculine);education;senior;четвертокурсник;noun
major;спеціальність;majors (feminine);education;major;спеціальність;noun
minor;додаткова спеціальність;minors (feminine);education;minor;додаткова спеціальність;noun
textbook;підручник;textbooks (masculine);education;textbook;підручник;noun
notebook;зошит;notebooks (masculine);education;notebook;зошит;noun
research;дослідження;researches (neuter);education;research;дослідження;noun
seminar;семінар;seminars (masculine);education;seminar;семінар;noun
thesis;дипломна робота;theses (feminine);education;thesis;дипломна робота;noun
graduate;випускник;graduates (masculine);education;graduate;випускник;noun
undergraduate;студент бакалаврату;undergraduates (masculine);education;undergraduate;студент бакалаврату;noun
postgraduate;аспірант;postgraduates (masculine);education;postgraduate;аспірант;noun
lecture hall;лекційна зала;lecture halls (feminine);education;lecture hall;лекційна зала;noun
diploma;диплом;diplomas (masculine);education;diploma;диплом;noun
enrollment;зарахування;enrollments (neuter);education;enrollment;зарахування;noun
semester;семестр;semesters (masculine);education;semester;семестр;noun
schedule;розклад;schedules (masculine);education;schedule;розклад;noun
lab;лабораторія;labs (feminine);education;lab;лабораторія;noun
course;курс;courses (masculine);education;course;курс;noun
elective;вибірковий предмет;electives (masculine);education;elective;вибірковий предмет;noun
grade;оцінка;grades (feminine);education;grade;оцінка;noun
credit;кредит;credits (masculine);education;credit;кредит;noun
lecture notes;конспект лекцій;lecture notes (masculine);education;lecture notes;конспект лекцій;noun
study group;навчальна група;study groups (feminine);education;study group;навчальна група;noun
exam period;екзаменаційна сесія;exam periods (feminine);education;exam period;екзаменаційна сесія;noun
part-time job;робота на півставки;part-time jobs (feminine);education;part-time job;робота на півставки;noun
student loan;студентський кредит;student loans (masculine);education;student loan;студентський кредит;noun
graduate school;аспірантура;graduate schools (feminine);education;graduate school;аспірантура;noun
academic advisor;науковий керівник;academic advisors (masculine);education;academic advisor;науковий керівник;noun
dean;декан;deans (masculine);education;dean;декан;noun
faculty;факультет;faculties (masculine);education;faculty;факультет;noun
lecture series;цикл лекцій;lecture series (masculine);education;lecture series;цикл лекцій;noun
syllabus;програма курсу;syllabi (feminine);education;syllabus;програма курсу;noun
workshop;воркшоп;workshops (masculine);education;workshop;воркшоп;noun
internship;стажування;internships (neuter);education;internship;стажування;noun
tutor;репетитор;tutors (masculine);education;tutor;репетитор;noun
exam;іспит;іспити (masculine);education;exam;іспит;noun
test;тест;тести (masculine);education;test;тест;noun
grade;оцінка;оцінки (feminine);education;grade;оцінка;noun
score;бал;бали (masculine);education;score;бал;noun
result;результат;результати (masculine);education;result;результат;noun
pass;здавати;;education;pass;здавати;verb
fail;провалити;;education;fail;провалити;verb
revise;повторювати;;education;revise;повторювати;verb
study;вчитися;;education;study;вчитися;verb
cheat;списувати;;education;cheat;списувати;verb
certificate;сертифікат;сертифікати (masculine);education;certificate;сертифікат;noun
diploma;диплом;дипломи (masculine);education;diploma;диплом;noun
degree;ступінь;ступені (masculine);education;degree;ступінь;noun
graduation;випуск;випуски (masculine);education;graduation;випуск;noun
transcript;табель;табелі (masculine);education;transcript;табель;noun
scholarship;стипендія;стипендії (feminine);education;scholarship;стипендія;noun
