happy;щасливий;m;emotion
sad;сумний;m;emotion
angry;злий;m;emotion
afraid;наляканий;m;emotion
excited;схвильований;m;emotion
bored;нудний;m;emotion
surprised;здивований;m;emotion
disappointed;розчарований;m;emotion
proud;гордий;m;emotion
jealous;ревнивий;m;emotion
guilty;винний;m;emotion
ashamed;сором’язливий;m;emotion
lonely;самотній;m;emotion
hopeful;сповнений надії;m;emotion
anxious;тривожний;m;emotion
calm;спокійний;m;emotion
confused;збентежений;m;emotion
curious;допитливий;m;emotion
delighted;задоволений;m;emotion
embarrassed;зніяковілий;m;emotion
grateful;вдячний;m;emotion
hurt;ображений;m;emotion
insecure;невпевнений;m;emotion
joyful;радісний;m;emotion
loving;люблячий;m;emotion
nervous;нервовий;m;emotion
optimistic;оптимістичний;m;emotion
pessimistic;песимістичний;m;emotion
relaxed;розслаблений;m;emotion
scared;наляканий;m;emotion
shy;сором’язливий;m;emotion
stressed;стресований;m;emotion
thankful;вдячний;m;emotion
upset;розчарований;m;emotion
worried;схвильований;m;emotion
content;задоволений;m;emotion
desperate;відчайдушний;m;emotion
ecstatic;у захваті;m;emotion
furious;розлючений;m;emotion
grumpy;дратівливий;m;emotion
miserable;нещасний;m;emotion
overwhelmed;приголомшений;m;emotion
peaceful;мирний;m;emotion
relieved;полегшений;m;emotion
satisfied;задоволений;m;emotion
terrified;наляканий;m;emotion
trusting;довірливий;m;emotion
unhappy;нещасний;m;emotion
amused;розважений;m;emotion
annoyed;роздратований;m;emotion
compassionate;співчутливий;m;emotion
eager;нетерплячий;m;emotion
nostalgic;ностальгічний;m;emotion
