pollution;забруднення;(neuter);environment;pollution;забруднення;noun
recycling;переробка;(feminine);environment;recycling;переробка;noun
waste;відходи;відходи (masculine plural);environment;waste;відходи;noun
garbage;сміття;(neuter);environment;garbage;сміття;noun
dump;звалище;звалища (neuter);environment;dump;звалище;noun
landfill;полігон;полігони (masculine);environment;landfill;полігон;noun
incinerator;сміттєспалювальна установка;сміттєспалювальні установки (feminine);environment;incinerator;сміттєспалювальна установка;noun
emission;викид;викиди (masculine);environment;emission;викид;noun
smog;смог;(masculine);environment;smog;смог;noun
fumes;випари;випари (masculine plural);environment;fumes;випари;noun
toxic;токсичний;;environment;toxic;токсичний;adj
hazardous;небезпечний;;environment;hazardous;небезпечний;adj
chemical;хімікат;хімікати (masculine);environment;chemical;хімікат;noun
pesticide;пестицид;пестициди (masculine);environment;pesticide;пестицид;noun
fertilizer;добриво;добрива (neuter);environment;fertilizer;добриво;noun
sewage;стічні води;стічні води (feminine plural);environment;sewage;стічні води;noun
oil spill;нафтовий розлив;нафтові розливи (masculine);environment;oil spill;нафтовий розлив;noun
deforestation;знеліснення;(neuter);environment;deforestation;знеліснення;noun
greenhouse gas;парниковий газ;парникові гази (masculine);environment;greenhouse gas;парниковий газ;noun
carbon dioxide;вуглекислий газ;вуглекислі гази (masculine);environment;carbon dioxide;вуглекислий газ;noun
climate change;зміна клімату;зміни клімату (feminine);environment;climate change;зміна клімату;noun
global warming;глобальне потепління;(neuter);environment;global warming;глобальне потепління;noun
ozone layer;озоновий шар;озонові шари (masculine);environment;ozone layer;озоновий шар;noun
renewable;відновлюваний;;environment;renewable;відновлюваний;adj
non-renewable;невідновлюваний;;environment;non-renewable;невідновлюваний;adj
sustainable;стійкий;;environment;sustainable;стійкий;adj
compost;компост;(masculine);environment;compost;компост;noun
biodegradable;біорозкладаний;;environment;biodegradable;біорозкладаний;adj
reusable;багаторазовий;;environment;reusable;багаторазовий;adj
reduce;зменшувати;;environment;reduce;зменшувати;verb
reuse;повторно використовувати;;environment;reuse;повторно використовувати;verb
recycle;переробляти;;environment;recycle;переробляти;verb
dispose;утилізувати;;environment;dispose;утилізувати;verb
litter;сміття;(neuter);environment;litter;сміття;noun
litter;смітити;;environment;litter;смітити;verb
pollutant;забруднювач;забруднювачі (masculine);environment;pollutant;забруднювач;noun
contaminant;забруднювальна речовина;забруднювальні речовини (feminine);environment;contaminant;забруднювальна речовина;noun
effluent;стік;стоки (masculine);environment;effluent;стік;noun
incinerate;спалювати;;environment;incinerate;спалювати;verb
decompose;розкладатися;;environment;decompose;розкладатися;verb
separate;сортувати;;environment;separate;сортувати;verb
collect;збирати;;environment;collect;збирати;verb
bin;смітник;смітники (masculine);environment;bin;смітник;noun
container;контейнер;контейнери (masculine);environment;container;контейнер;noun
plastic;пластик;(masculine);environment;plastic;пластик;noun
paper;папір;(masculine);environment;paper;папір;noun
glass;скло;(neuter);environment;glass;скло;noun
metal;метал;(masculine);environment;metal;метал;noun
aluminum;алюміній;(masculine);environment;aluminum;алюміній;noun
waste disposal;утилізація відходів;(feminine);environment;waste disposal;утилізація відходів;noun
dog;собака;собаки (чоловічий);environment;dog;собака;noun
cat;кіт;коти (чоловічий);environment;cat;кіт;noun
bird;птах;птахи (чоловічий);environment;bird;птах;noun
fish;риба;риби (жіночий);environment;fish;риба;noun
rabbit;кролик;кролики (чоловічий);environment;rabbit;кролик;noun
hamster;хом'як;хом'яки (чоловічий);environment;hamster;хом'як;noun
guinea pig;морська свинка;морські свинки (жіночий);environment;guinea pig;морська свинка;noun
parrot;папуга;папуги (чоловічий);environment;parrot;папуга;noun
turtle;черепаха;черепахи (жіночий);environment;turtle;черепаха;noun
snake;змія;змії (жіночий);environment;snake;змія;noun
lizard;ящірка;ящірки (жіночий);environment;lizard;ящірка;noun
horse;кінь;коні (чоловічий);environment;horse;кінь;noun
cow;корова;корови (жіночий);environment;cow;корова;noun
pig;свиня;свині (жіночий);environment;pig;свиня;noun
sheep;вівця;вівці (жіночий);environment;sheep;вівця;noun
goat;коза;кози (жіночий);environment;goat;коза;noun
chicken;курка;курки (жіночий);environment;chicken;курка;noun
duck;качка;качки (жіночий);environment;duck;качка;noun
goose;гуска;гуски (жіночий);environment;goose;гуска;noun
fox;лисиця;лисиці (жіночий);environment;fox;лисиця;noun
wolf;вовк;вовки (чоловічий);environment;wolf;вовк;noun
bear;ведмідь;ведмеді (чоловічий);environment;bear;ведмідь;noun
deer;олень;олені (чоловічий);environment;deer;олень;noun
squirrel;білка;білки (жіночий);environment;squirrel;білка;noun
butterfly;метелик;метелики (чоловічий);environment;butterfly;метелик;noun
bee;бджола;бджоли (жіночий);environment;bee;бджола;noun
ant;мураха;мурахи (жіночий);environment;ant;мураха;noun
spider;павук;павуки (чоловічий);environment;spider;павук;noun
frog;жаба;жаби (жіночий);environment;frog;жаба;noun
mouse;миша;миші (жіночий);environment;mouse;миша;noun
rat;щур;щури (чоловічий);environment;rat;щур;noun
pet;домашня тварина;домашні тварини (жіночий);environment;pet;домашня тварина;noun
collar;нашийник;нашийники (чоловічий);environment;collar;нашийник;noun
leash;повідець;повідці (чоловічий);environment;leash;повідець;noun
cage;клітка;клітки (жіночий);environment;cage;клітка;noun
aquarium;акваріум;акваріуми (чоловічий);environment;aquarium;акваріум;noun
food;корм;корми (чоловічий);environment;food;корм;noun
water;вода;;environment;water;вода;noun
feed;годувати;;environment;feed;годувати;verb
walk;вигулювати;;environment;walk;вигулювати;verb
groom;доглядати;;environment;groom;доглядати;verb
pet;гладити;;environment;pet;гладити;verb
train;дресирувати;;environment;train;дресирувати;verb
fur;шерсть;;environment;fur;шерсть;noun
tail;хвіст;хвости (чоловічий);environment;tail;хвіст;noun
paw;лапа;лапи (жіночий);environment;paw;лапа;noun
beak;дзьоб;дзьоби (чоловічий);environment;beak;дзьоб;noun
wing;крило;крила (середній);environment;wing;крило;noun
feather;перо;пера (середній);environment;feather;перо;noun
scale;луска;луски (жіночий);environment;scale;луска;noun
tree;дерево;trees (neuter);environment;tree;дерево;noun
leaf;листок;leaves (masculine);environment;leaf;листок;noun
root;корінь;roots (masculine);environment;root;корінь;noun
branch;гілка;branches (feminine);environment;branch;гілка;noun
trunk;стовбур;trunks (masculine);environment;trunk;стовбур;noun
bark;кора;;environment;bark;кора;noun
flower;квітка;flowers (feminine);environment;flower;квітка;noun
petal;пелюстка;petals (feminine);environment;petal;пелюстка;noun
stem;стебло;stems (neuter);environment;stem;стебло;noun
seed;насінина;seeds (feminine);environment;seed;насінина;noun
fruit;фрукт;fruits (masculine);environment;fruit;фрукт;noun
nut;горіх;nuts (masculine);environment;nut;горіх;noun
pine;сосна;pines (feminine);environment;pine;сосна;noun
oak;дуб;oaks (masculine);environment;oak;дуб;noun
birch;береза;birches (feminine);environment;birch;береза;noun
willow;верба;willows (feminine);environment;willow;верба;noun
bamboo;бамбук;bamboos (masculine);environment;bamboo;бамбук;noun
fern;папороть;ferns (feminine);environment;fern;папороть;noun
moss;мох;;environment;moss;мох;noun
ivy;плющ;;environment;ivy;плющ;noun
bush;кущ;bushes (masculine);environment;bush;кущ;noun
shrub;чагарник;shrubs (masculine);environment;shrub;чагарник;noun
hedge;живопліт;hedges (masculine);environment;hedge;живопліт;noun
vine;лоза;vines (feminine);environment;vine;лоза;noun
blossom;цвіт;blossoms (masculine);environment;blossom;цвіт;noun
bud;брунька;buds (feminine);environment;bud;брунька;noun
thorn;колючка;thorns (feminine);environment;thorn;колючка;noun
pollen;пилок;;environment;pollen;пилок;noun
nectar;нектар;;environment;nectar;нектар;noun
chlorophyll;хлорофіл;;environment;chlorophyll;хлорофіл;noun
photosynthesis;фотосинтез;;environment;photosynthesis;фотосинтез;noun
oxygen;кисень;;environment;oxygen;кисень;noun
carbon dioxide;вуглекислий газ;;environment;carbon dioxide;вуглекислий газ;noun
soil;ґрунт;;environment;soil;ґрунт;noun
compost;компост;;environment;compost;компост;noun
fertilizer;добриво;fertilizers (neuter);environment;fertilizer;добриво;noun
plant;садити;;environment;plant;садити;verb
grow;рости;;environment;grow;рости;verb
bloom;цвісти;;environment;bloom;цвісти;verb
wilt;в'янути;;environment;wilt;в'янути;verb
prune;обрізати;;environment;prune;обрізати;verb
water;поливати;;environment;water;поливати;verb
sow;сіяти;;environment;sow;сіяти;verb
harvest;збирати врожай;;environment;harvest;збирати врожай;verb
gardening;садівництво;;environment;gardening;садівництво;noun
garden;сад;gardens (masculine);environment;garden;сад;noun
forest;ліс;forests (masculine);environment;forest;ліс;noun
jungle;джунглі;jungles (plural);environment;jungle;джунглі;noun
meadow;лука;meadows (feminine);environment;meadow;лука;noun
lawn;газон;lawns (masculine);environment;lawn;газон;noun
climate;клімат;клімати (masculine);environment;climate;клімат;noun
change;зміна;зміни (feminine);environment;change;зміна;noun
global warming;глобальне потепління;;environment;global warming;глобальне потепління;noun
greenhouse effect;парниковий ефект;ефекти (masculine);environment;greenhouse effect;парниковий ефект;noun
carbon dioxide;вуглекислий газ;гази (masculine);environment;carbon dioxide;вуглекислий газ;noun
emission;викид;викиди (masculine);environment;emission;викид;noun
fossil fuel;викопне паливо;;environment;fossil fuel;викопне паливо;noun
renewable energy;відновлювана енергія;;environment;renewable energy;відновлювана енергія;noun
deforestation;знеліснення;;environment;deforestation;знеліснення;noun
sea level;рівень моря;рівні (masculine);environment;sea level;рівень моря;noun
flood;повінь;повені (feminine);environment;flood;повінь;noun
drought;посуха;посухи (feminine);environment;drought;посуха;noun
hurricane;ураган;урагани (masculine);environment;hurricane;ураган;noun
storm;шторм;шторми (masculine);environment;storm;шторм;noun
temperature;температура;температури (feminine);environment;temperature;температура;noun
degree;градус;градуси (masculine);environment;degree;градус;noun
weather;погода;;environment;weather;погода;noun
atmosphere;атмосфера;атмосфери (feminine);environment;atmosphere;атмосфера;noun
carbon footprint;вуглецевий слід;сліди (masculine);environment;carbon footprint;вуглецевий слід;noun
recycling;переробка;;environment;recycling;переробка;noun
pollution;забруднення;;environment;pollution;забруднення;noun
waste;відходи;;environment;waste;відходи;noun
landfill;сміттєзвалище;сміттєзвалища (neuter);environment;landfill;сміттєзвалище;noun
ozone layer;озоновий шар;шари (masculine);environment;ozone layer;озоновий шар;noun
ice cap;льодовикова шапка;шапки (feminine);environment;ice cap;льодовикова шапка;noun
glacier;льодовик;льодовики (masculine);environment;glacier;льодовик;noun
melt;танути;;environment;melt;танути;verb
rise;підвищуватися;;environment;rise;підвищуватися;verb
increase;збільшуватися;;environment;increase;збільшуватися;verb
reduce;зменшувати;;environment;reduce;зменшувати;verb
emit;викидати;;environment;emit;викидати;verb
protect;захищати;;environment;protect;захищати;verb
recycle;переробляти;;environment;recycle;переробляти;verb
sustainable;стійкий;;environment;sustainable;стійкий;adj
renewable;відновлюваний;;environment;renewable;відновлюваний;adj
solar;сонячний;;environment;solar;сонячний;adj
wind turbine;вітряна турбіна;турбіни (feminine);environment;wind turbine;вітряна турбіна;noun
energy;енергія;;environment;energy;енергія;noun
power plant;електростанція;електростанції (feminine);environment;power plant;електростанція;noun
coal;вугілля;;environment;coal;вугілля;noun
oil;нафта;;environment;oil;нафта;noun
gas;газ;гази (masculine);environment;gas;газ;noun
fuel;паливо;;environment;fuel;паливо;noun
public transport;громадський транспорт;;environment;public transport;громадський транспорт;noun
carbon;вуглець;;environment;carbon;вуглець;noun
greenhouse;теплиця;теплиці (feminine);environment;greenhouse;теплиця;noun
climate crisis;кліматична криза;кризи (feminine);environment;climate crisis;кліматична криза;noun
activist;активіст;активісти (masculine);environment;activist;активіст;noun
solution;рішення;рішення (neuter);environment;solution;рішення;noun
environment;довкілля;;environment;environment;довкілля;noun
