menu;меню;menus (neuter);food;menu;меню;noun;меню
waiter;офіціант;waiters (masculine);food;waiter;офіціант;noun;вейтер
waitress;офіціантка;waitresses (feminine);food;waitress;офіціантка;noun;вейтрес
tip;чайові;tips (plural only);food;tip;чайові;noun;тип
order;замовлення;orders (neuter);food;order;замовлення;noun;ордер
dish;страва;dishes (feminine);food;dish;страва;noun;діш
appetizer;закуска;appetizers (feminine);food;appetizer;закуска;noun;апетайзер
soup;суп;soups (masculine);food;soup;суп;noun;суп
salad;салат;salads (masculine);food;salad;салат;noun;салад
entrée;антре;entrées (neuter);food;entrée;антре;noun;онтрей
dessert;десерт;desserts (masculine);food;dessert;десерт;noun;дезерт
wine;вино;wines (neuter);food;wine;вино;noun;вайн
beer;пиво;beers (neuter);food;beer;пиво;noun;бір
coffee;кава;coffees (feminine);food;coffee;кава;noun;кофі
tea;чай;teas (masculine);food;tea;чай;noun;ті
juice;сік;juices (masculine);food;juice;сік;noun;джус
milk;молоко;milk (uncountable);food;milk;молоко;noun;мілк
bread;хліб;bread (uncountable);food;bread;хліб;noun;бред
butter;масло;butter (uncountable);food;butter;масло;noun;батер
cheese;сир;cheese (uncountable);food;cheese;сир;noun;чіз
meat;м'ясо;meat (uncountable);food;meat;м'ясо;noun;міт
fish;риба;fish (uncountable);food;fish;риба;noun;фіш
chicken;курка;chickens (feminine);food;chicken;курка;noun;чікен
beef;яловичина;beef (uncountable);food;beef;яловичина;noun;біф
pork;свинина;pork (uncountable);food;pork;свинина;noun;порк
rice;рис;rice (uncountable);food;rice;рис;noun;райс
noodle;локшина;noodles (uncountable);food;noodle;локшина;noun;нудл
pizza;піца;pizzas (feminine);food;pizza;піца;noun;піца
sandwich;бутерброд;sandwiches (masculine);food;sandwich;бутерброд;noun;сендвіч
bowl;миска;bowls (feminine);food;bowl;миска;noun;боул
glass;склянка;glasses (feminine);food;glass;склянка;noun;глас
napkin;серветка;napkins (feminine);food;napkin;серветка;noun;напкін
delicious;смачний;;food;delicious;смачний;adj;делішес
spicy;гострий;;food;spicy;гострий;adj;спайсі
chop;рубати;;food;chop;рубати (imperfective);verb;чоп
slice;нарізувати;;food;slice;нарізувати (imperfective);verb;слайс
mince;подрібнювати;;food;mince;подрібнювати (imperfective);verb;мінс
grate;терти;;food;grate;терти (imperfective);verb;грейт
peel;чистити;;food;peel;чистити (imperfective);verb;піл
mash;товкти;;food;mash;товкти (imperfective);verb;маш
whisk;збивати;;food;whisk;збивати (imperfective);verb;віск
beat;збивати;;food;beat;збивати (imperfective);verb;біт
mix;змішувати;;food;mix;змішувати (imperfective);verb;мікс
stir;помішувати;;food;stir;помішувати (imperfective);verb;стьор
knead;замішувати;;food;knead;замішувати (imperfective);verb;нід
roll;розкачувати;;food;roll;розкачувати (imperfective);verb;роул
trim;обрізати;;food;trim;обрізати (perfective);verb;трім
fillet;філерувати;;food;fillet;філерувати (imperfective);verb;філей
boil;варити;;food;boil;варити (imperfective);verb;бойл
simmer;тушкувати;;food;simmer;тушкувати (imperfective);verb;сімер
poach;варити без шкаралупи;;food;poach;варити без шкаралупи (imperfective);verb;поуч
steam;готувати на парі;;food;steam;готувати на парі (imperfective);verb;стім
fry;смажити;;food;fry;смажити (imperfective);verb;фрай
sauté;сотирувати;;food;sauté;сотирувати (imperfective);verb;соутей
deep-fry;смажити у фритюрі;;food;deep-fry;смажити у фритюрі (imperfective);verb;діп-фрай
roast;запікати;;food;roast;запікати (imperfective);verb;роуст
bake;пекти;;food;bake;пекти (imperfective);verb;бейк
grill;смажити на грилі;;food;grill;смажити на грилі (imperfective);verb;гріл
broil;смажити на відкритому вогні;;food;broil;смажити на відкритому вогні (imperfective);verb;бройл
melt;розтоплювати;;food;melt;розтоплювати (imperfective);verb;мелт
dissolve;розчиняти;;food;dissolve;розчиняти (imperfective);verb;дізолв
blend;змішувати;;food;blend;змішувати (imperfective);verb;бленд
puree;пюрувати;;food;puree;пюрувати (imperfective);verb;пюре
strain;проціджувати;;food;strain;проціджувати (imperfective);verb;стрейн
drain;зливати;;food;drain;зливати (imperfective);verb;дрейн
marinate;маринувати;;food;marinate;маринувати (imperfective);verb;мерінейт
season;приправляти;;food;season;приправляти (imperfective);verb;сізон
taste;куштувати;;food;taste;куштувати (imperfective);verb;тейст
garnish;гарнірувати;;food;garnish;гарнірувати (imperfective);verb;гарніш
sprinkle;посипати;;food;sprinkle;посипати (imperfective);verb;спрінкл
pour;наливати;;food;pour;наливати (imperfective);verb;пор
add;додавати;;food;add;додавати (imperfective);verb;ед
measure;відміряти;;food;measure;відміряти (imperfective);verb;межер
weigh;зважувати;;food;weigh;зважувати (imperfective);verb;вей
heat;нагрівати;;food;heat;нагрівати (imperfective);verb;хіт
preheat;розігрівати;;food;preheat;розігрівати (imperfective);verb;пріхіт
microwave;готувати в мікрохвильовці;;food;microwave;готувати в мікрохвильовці (imperfective);verb;майкроувейв
cool;охолоджувати;;food;cool;охолоджувати (imperfective);verb;кул
flour;борошно;flour (uncountable);food;flour;борошно;noun;флауер
pepper;перець;pepper (uncountable);food;pepper;перець;noun;пепер
egg;яйце;eggs (neuter);food;egg;яйце;noun;еґ
pasta;макарони;pasta (uncountable);food;pasta;макарони;noun;паста
onion;цибуля;onions (feminine);food;onion;цибуля;noun;аньйон
garlic;часник;garlic (uncountable);food;garlic;часник;noun;ґарлік
tomato;помідор;tomatoes (masculine);food;tomato;помідор;noun;томато
potato;картопля;potatoes (feminine);food;potato;картопля;noun;потейто
carrot;морква;carrots (feminine);food;carrot;морква;noun;керот
apple;яблуко;apples (neuter);food;apple;яблуко;noun;епл
banana;банан;bananas (masculine);food;banana;банан;noun;банана
orange;апельсин;oranges (masculine);food;orange;апельсин;noun;ориндж
lemon;лимон;lemons (masculine);food;lemon;лимон;noun;лемон
honey;мед;honey (uncountable);food;honey;мед;noun;хані
vanilla;ваніль;vanilla (uncountable);food;vanilla;ваніль;noun;ваніла
cinnamon;кориця;cinnamon (uncountable);food;cinnamon;кориця;noun;сінемон
nutmeg;мускатний горіх;nutmeg (uncountable);food;nutmeg;мускатний горіх;noun;натмеґ
ginger;імбир;ginger (uncountable);food;ginger;імбир;noun;джинджер
clove;гвоздика;cloves (feminine);food;clove;гвоздика;noun;клов
basil;базилік;basil (uncountable);food;basil;базилік;noun;бейзіл
oregano;орегано;oregano (uncountable);food;oregano;орегано;noun;ореґано
parsley;петрушка;parsley (uncountable);food;parsley;петрушка;noun;парслі
dill;кріп;dill (uncountable);food;dill;кріп;noun;діл
mint;м'ята;mint (uncountable);food;mint;м'ята;noun;мінт
chili;чилі;chili (uncountable);food;chili;чилі;noun;чілі
soy sauce;соєвий соус;soy sauce (uncountable);food;soy sauce;соєвий соус;noun;сой сос
vinegar;оцет;vinegar (uncountable);food;vinegar;оцет;noun;вінеґар
baking powder;розпушувач;baking powder (uncountable);food;baking powder;розпушувач;noun;бейкінґ паудер
yeast;дріжджі;yeast (uncountable);food;yeast;дріжджі;noun;йіст
cornstarch;кукурудзяний крохмаль;cornstarch (uncountable);food;cornstarch;кукурудзяний крохмаль;noun;корнстарч
baking soda;харчова сода;baking soda (uncountable);food;baking soda;харчова сода;noun;бейкінґ сода
cocoa powder;какао-порошок;cocoa powder (uncountable);food;cocoa powder;какао-порошок;noun;коко паудер
yogurt;йогурт;yogurt (uncountable);food;yogurt;йогурт;noun;йогурт
mayonnaise;майонез;mayonnaise (uncountable);food;mayonnaise;майонез;noun;мейонейз
ketchup;кетчуп;ketchup (uncountable);food;ketchup;кетчуп;noun;кетчуп
olive oil;оливкова олія;olive oil (uncountable);food;olive oil;оливкова олія;noun;олів ойл
mustard;гірчиця;mustard (uncountable);food;mustard;гірчиця;noun;мастард
nutrient;поживна речовина;nutrients (feminine);food;nutrient;поживна речовина;noun;нутрієнт
balanced;збалансований;;food;balanced;збалансований;adj;баланст
vegetarian;вегетаріанський;;food;vegetarian;вегетаріанський;adj;веджетеріан
vegan;веганський;;food;vegan;веганський;adj;віган
gluten;глютен;gluten (uncountable);food;gluten;глютен;noun;глютен
lactose;лактоза;lactose (uncountable);food;lactose;лактоза;noun;лактоуз
metabolism;метаболізм;metabolisms (masculine);food;metabolism;метаболізм;noun;метаболізм
appetite;апетит;appetites (masculine);food;appetite;апетит;noun;епетайт
portion;порція;portions (feminine);food;portion;порція;noun;поршн
serving;порція;servings (feminine);food;serving;порція;noun;сервінг
ingredient;інгредієнт;ingredients (masculine);food;ingredient;інгредієнт;noun;інгрідієнт
recipe;рецепт;recipes (masculine);food;recipe;рецепт;noun;ресепі
raw;сирий;;food;raw;сирий;adj;ро
supper;вечеря;suppers (feminine);food;supper;вечеря;noun;сапер
beverage;напій;beverages (masculine);food;beverage;напій;noun;беверидж
dairy;молочні продукти;dairy products (plural only, neuter);food;dairy;молочні продукти;noun;дері
poultry;птиця;poultry (uncountable);food;poultry;птиця;noun;поултрі
seafood;морепродукти;seafood (uncountable);food;seafood;морепродукти;noun;сіфуд
legume;бобова культура;legumes (feminine);food;legume;бобова культура;noun;леґюм
nut;горіх;nuts (masculine);food;nut;горіх;noun;нат
seed;насіння;seeds (neuter);food;seed;насіння;noun;сід
