pants;штани;shtany / pl.;shopping;pants;штани;noun;
skirt;спідниця;spidnytsya / f.;shopping;skirt;спідниця;noun;
suit;костюм;kostyum / m.;shopping;suit;костюм;noun;
tie;краватка;kravatka / f.;shopping;tie;краватка;noun;
sock;шкарпетка;shkarpetka / f.;shopping;sock;шкарпетка;noun;
boot;чобіт;chobit / m.;shopping;boot;чобіт;noun;
sandal;босоніжка;bosonizhka / f.;shopping;sandal;босоніжка;noun;
cap;кепка;kepka / f.;shopping;cap;кепка;noun;
glove;рукавичка;rukavychka / f.;shopping;glove;рукавичка;noun;
size;розмір;rozmir / m.;shopping;size;розмір;noun;
small;маленький;malen'kyi;shopping;small;маленький;adj;
medium;середній;serednii;shopping;medium;середній;adj;
large;великий;velykyi;shopping;large;великий;adj;
fitting room;примірювальна;prymiryuval'na / f.;shopping;fitting room;примірювальна;noun;
cashier;касир;kasyr / m.;shopping;cashier;касир;noun;
receipt;чек;chek / m.;shopping;receipt;чек;noun;
try on;приміряти;prymiryaty;shopping;try on;приміряти (imperfective);verb;
return;повертати;povertaty;shopping;return;повертати (imperfective);verb;
exchange;обмінювати;obminyuvaty;shopping;exchange;обмінювати (imperfective);verb;
tight;тісний;tisnyi;shopping;tight;тісний;adj;
loose;вільний;vil'nyi;shopping;loose;вільний;adj;
colour;колір;kolir / m.;shopping;colour;колір;noun;
pattern;візерунок;vizerunok / m.;shopping;pattern;візерунок;noun;
striped;смугастий;smuhastyi;shopping;striped;смугастий;adj;
checked;картатий;kartatyi;shopping;checked;картатий;adj;
cotton;бавовна;bavovna / f.;shopping;cotton;бавовна;noun;
wool;вовна;vovna / f.;shopping;wool;вовна;noun;
leather;шкіра;shkira / f.;shopping;leather;шкіра;noun;
polyester;поліестер;poliester / m.;shopping;polyester;поліестер;noun;
button;ґудзик;gudzyk / m.;shopping;button;ґудзик;noun;
pocket;кишеня;kyshenya / f.;shopping;pocket;кишеня;noun;
sleeve;рукав;rukav / m.;shopping;sleeve;рукав;noun;
collar;комір;komir / m.;shopping;collar;комір;noun;
shopping cart;візок;vizok / m.;shopping;cart;візок;noun;
basket;кошик;koshyk / m.;shopping;basket;кошик;noun;
aisle;прохід;prokhid / m.;shopping;aisle;прохід;noun;
product;продукт;produkt / m.;shopping;product;продукт;noun;
checkout;каса;kasa / f.;shopping;checkout;каса;noun;
wallet;гаманець;hamanets' / m.;shopping;wallet;гаманець;noun;
shopping list;список покупок;spysok pokupok / m.;shopping;shopping list;список покупок;noun;
fresh;свіжий;svizhyi;shopping;fresh;свіжий;adj;
frozen;заморожений;zamorozhenyi;shopping;frozen;заморожений;adj;
organic;органічний;orhanichnyi;shopping;organic;органічний;adj;
bread;хліб;khlib / m.;shopping;bread;хліб;noun;
milk;молоко;moloko / n.;shopping;milk;молоко;noun;
cheese;сир;syr / m.;shopping;cheese;сир;noun;
butter;масло;maslo / n.;shopping;butter;масло;noun;
yogurt;йогурт;yohurt / m.;shopping;yogurt;йогурт;noun;
egg;яйце;yaytse / n.;shopping;egg;яйце;noun;
meat;м'ясо;myaso / n.;shopping;meat;м'ясо;noun;
fish;риба;ryba / f.;shopping;fish;риба;noun;
vegetable;овоч;ovoch / m.;shopping;vegetable;овоч;noun;
fruit;фрукт;frukt / m.;shopping;fruit;фрукт;noun;
rice;рис;rys / m.;shopping;rice;рис;noun;
sugar;цукор;tsukor / m.;shopping;sugar;цукор;noun;
salt;сіль;sil' / f.;shopping;salt;сіль;noun;
oil;олія;oliya / f.;shopping;oil;олія;noun;
