football;футбол;m;sports
basketball;баскетбол;m;sports
tennis;теніс;m;sports
volleyball;волейбол;m;sports
hockey;хокей;m;sports
swimming;плавання;n;sports
running;біг;m;sports
cycling;велоспорт;m;sports
boxing;бокс;m;sports
gymnastics;гімнастика;f;sports
athletics;легка атлетика;f;sports
skiing;лижний спорт;m;sports
snowboarding;сноубординг;m;sports
surfing;серфінг;m;sports
golf;гольф;m;sports
rugby;регбі;n;sports
cricket;крикет;m;sports
baseball;бейсбол;m;sports
badminton;бадмінтон;m;sports
table tennis;настільний теніс;m;sports
archery;стрільба з лука;f;sports
fencing;фехтування;n;sports
judo;дзюдо;n;sports
karate;карате;n;sports
wrestling;боротьба;f;sports
weightlifting;важка атлетика;f;sports
rowing;веслування;n;sports
sailing;вітрильний спорт;m;sports
diving;стрибки у воду;m;sports
shooting;стрільба;f;sports
handball;гандбол;m;sports
water polo;водне поло;n;sports
curling;керлінг;m;sports
biathlon;біатлон;m;sports
triathlon;тріатлон;m;sports
marathon;марафон;m;sports
sprint;спринт;m;sports
javelin;метання списа;n;sports
discus;метання диска;n;sports
shot put;штовхання ядра;n;sports
high jump;стрибки у висоту;m;sports
long jump;стрибки у довжину;m;sports
pole vault;стрибки з жердиною;m;sports
gym;спортзал;m;sports
coach;тренер;m;sports
team;команда;f;sports
player;гравець;m;sports
referee;арбітр;m;sports
tournament;турнір;m;sports
championship;чемпіонат;m;sports
medal;медаль;f;sports
cup;кубок;m;sports
score;рахунок;m;sports
goal;гол;m;sports
point;очко;n;sports
match;матч;m;sports
training;тренування;n;sports
warm-up;розминка;f;sports
stretching;розтяжка;f;sports
