bus;автобус;avtobus / m.;travel;bus;автобус;noun;
tram;трамвай;tramvai / m.;travel;tram;трамвай;noun;
trolleybus;тролейбус;troleibus / m.;travel;trolleybus;тролейбус;noun;
metro;метро;metro / n.;travel;metro;метро;noun;
station;станція;stantsiya / f.;travel;station;станція;noun;
stop;зупинка;zupynka / f.;travel;stop;зупинка;noun;
single ticket;разовий квиток;razovyi kvytok / m.;travel;single ticket;разовий квиток;noun;
return ticket;зворотний квиток;zvorotnyi kvytok / m.;travel;return ticket;зворотний квиток;noun;
pass;проїзний;proyiznyi / m.;travel;pass;проїзний;noun;
conductor;кондуктор;konduktor / m.;travel;conductor;кондуктор;noun;
driver;водій;vodiy / m.;travel;driver;водій;noun;
passenger;пасажир;pasazhyr / m.;travel;passenger;пасажир;noun;
timetable;розклад;rozklad / m.;travel;timetable;розклад;noun;
route;маршрут;marshrut / m.;travel;route;маршрут;noun;
fare;проїзд;proyizd / m.;travel;fare;проїзд;noun;
ticket machine;квитковий автомат;kvytkovyi avtomat / m.;travel;ticket machine;квитковий автомат;noun;
platform;платформа;platforma / f.;travel;platform;платформа;noun;
waiting room;зал очікування;zal ochikuvannya / m.;travel;waiting room;зал очікування;noun;
entrance;вхід;vkhid / m.;travel;entrance;вхід;noun;
exit;вихід;vykhid / m.;travel;exit;вихід;noun;
elevator;ліфт;lift / m.;travel;elevator;ліфт;noun;
escalator;ескалатор;eskalator / m.;travel;escalator;ескалатор;noun;
delay;затримка;zatrymka / f.;travel;delay;затримка;noun;
rush hour;година пік;hodyna pik / f.;travel;rush hour;година пік;noun;
get on;сідати;sidaty;travel;get on;сідати (imperfective);verb;
get off;виходити;vykhodyty;travel;get off;виходити (imperfective);verb;
ride;їхати;yikhaty;travel;ride;їхати (imperfective);verb;
buy a ticket;купувати квиток;kupuvaty kvytok;travel;buy a ticket;купувати квиток (imperfective);verb;
check;перевіряти;pereviryaty;travel;check;перевіряти (imperfective);verb;
validate;компостувати;kompostuvaty;travel;validate;компостувати (imperfective);verb;
arrive;прибувати;prybuvaty;travel;arrive;прибувати (imperfective);verb;
depart;відправлятися;vidpravlyatysya;travel;depart;відправлятися (imperfective);verb;
next;наступний;nastupnyi;travel;next;наступний;adj;
last;останній;ostanniy;travel;last;останній;adj;
crowded;переповнений;perepovnenyi;travel;crowded;переповнений;adj;
empty;порожній;porozhniy;travel;empty;порожній;adj;
often;часто;chasto;travel;often;часто;adv;
here;тут;tut;travel;here;тут;adv;
there;там;tam;travel;there;там;adv;
left;ліворуч;livoruch;travel;left;ліворуч;adv;
right;праворуч;pravoruch;travel;right;праворуч;adv;
straight ahead;прямо;pryamo;travel;straight ahead;прямо;adv;
flight;рейс;reis / m.;travel;flight;рейс;noun;
hotel;готель;gotel / m.;travel;hotel;готель;noun;
reservation;бронювання;bronyuvannya / n.;travel;reservation;бронювання;noun;
passport;паспорт;pasport / m.;travel;passport;паспорт;noun;
boarding pass;посадковий талон;posadkovyi talon / m.;travel;boarding pass;посадковий талон;noun;
luggage;багаж;bagazh / unc.;travel;luggage;багаж;noun;
suitcase;валіза;valiza / f.;travel;suitcase;валіза;noun;
airport;аеропорт;aeroport / m.;travel;airport;аеропорт;noun;
departure;відправлення;vidpravlennya / n.;travel;departure;відправлення;noun;
arrival;прибуття;prybuttya / n.;travel;arrival;прибуття;noun;
check-in;реєстрація;reyestratsiya / f.;travel;check-in;реєстрація;noun;
boarding;посадка;posadka / f.;travel;boarding;посадка;noun;
one-way ticket;квиток в один кінець;kvytok v odyn kinets' / m.;travel;one-way ticket;квиток в один кінець;noun;
round-trip ticket;квиток туди й назад;kvytok tudy y nazad / m.;travel;round-trip ticket;квиток туди й назад;noun;
price;ціна;tsina / f.;travel;price;ціна;noun;
cancellation;скасування;skasuvannya / n.;travel;cancellation;скасування;noun;
connection;пересадка;peresadka / f.;travel;connection;пересадка;noun;
direct flight;прямий рейс;pryamyi reis / m.;travel;direct flight;прямий рейс;noun;
window seat;місце біля вікна;mistse bilya vikna / n.;travel;window seat;місце біля вікна;noun;
aisle seat;місце біля проходу;mistse bilya prokhodu / n.;travel;aisle seat;місце біля проходу;noun;
itinerary;маршрут;marshrut / m.;travel;itinerary;маршрут;noun;
visa;віза;viza / f.;travel;visa;віза;noun;
terminal;термінал;terminal / m.;travel;terminal;термінал;noun;
cancel;скасовувати;skasovuvaty;travel;cancel;скасовувати (imperfective);verb;
check in;реєструватися;reyestruvatysya;travel;check in;реєструватися (imperfective);verb;
check out;виселятися;vyselyatysya;travel;check out;виселятися (imperfective);verb;
pay;платити;platyty;travel;pay;платити (imperfective);verb;
reserve;резервувати;rezervuvaty;travel;reserve;резервувати (imperfective);verb;
purchase;купувати;kupuvaty;travel;purchase;купувати (imperfective);verb;
search;шукати;shukaty;travel;search;шукати (imperfective);verb;
select;вибирати;vybyraty;travel;select;вибирати (imperfective);verb;
international;міжнародний;mizhnarodnyi;travel;international;міжнародний;adj;
domestic;внутрішній;vnutrishniy;travel;domestic;внутрішній;adj;
cheap;дешевий;deshevyi;travel;cheap;дешевий;adj;
expensive;дорогий;dorohyi;travel;expensive;дорогий;adj;
comfortable;зручний;zruchnyi;travel;comfortable;зручний;adj;
online;онлайн;onlain;travel;online;онлайн;adj;
sight;визначна пам'ятка;vyznachna pamyatka / f.;travel;sight;визначна пам'ятка;noun;
tour;екскурсія;ekskursiya / f.;travel;tour;екскурсія;noun;
guide;гід;hid / m.;travel;guide;гід;noun;
guidebook;путівник;putivnyk / m.;travel;guidebook;путівник;noun;
map;карта;karta / f.;travel;map;карта;noun;
fee;плата;plata / f.;travel;fee;плата;noun;
view;вид;vyd / m.;travel;view;вид;noun;
viewpoint;оглядовий майданчик;ohlyadovyi maydanchyk / m.;travel;viewpoint;оглядовий майданчик;noun;
observation deck;оглядова площадка;ohlyadova ploshchadka / f.;travel;observation deck;оглядова площадка;noun;
tower;вежа;vezha / f.;travel;tower;вежа;noun;
castle;замок;zamok / m.;travel;castle;замок;noun;
palace;палац;palats / m.;travel;palace;палац;noun;
cathedral;собор;sobor / m.;travel;cathedral;собор;noun;
temple;храм;khram / m.;travel;temple;храм;noun;
ruin;руїна;ruyina / f.;travel;ruin;руїна;noun;
old town;старе місто;stare misto / n.;travel;old town;старе місто;noun;
historic center;історичний центр;istorychnyi tsentr / m.;travel;historic center;історичний центр;noun;
audio guide;аудіогід;audiohid / m.;travel;audio guide;аудіогід;noun;
souvenir;сувенір;suvenir / m.;travel;souvenir;сувенір;noun;
photo;фото;foto / n.;travel;photo;фото;noun;
